Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
362,Harold Moukoudi,CMR,DF,Saint-Étienne,21,1997,11.0,3,0.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
363,Jessy Moulin,FRA,GK,Saint-Étienne,33,1986,5.0,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
364,Wesley Moustache,FRA,DF,Nantes,20,1999,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
365,Samuel Moutoussamy,COD,DF|MF,Nantes,22,1996,5.8,17,2.93,13,0,2,1,1,0,0,0.00,0,0,0,0,0,0
366,Marshall Munetsi,ZIM,MF,Reims,23,1996,9.3,18,1.93,15,0,0,0,0,3,2,0.21,2,0,0,0,0,0
367,Kévin N'Doram,FRA,MF,Metz,23,1996,18.3,40,2.19,31,1,2,1,3,2,0,0.00,0,0,0,0,0,0
368,Abdallah N'dour,SEN,DF,Strasbourg,25,1993,4.1,10,2.41,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0
369,Ferris N'Goma,FRA,MF|FW,Brest,26,1993,0.3,1,3.60,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
370,Nathan N'Goumou,FRA,FW,Toulouse,19,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
371,Stanley N'Soki,FRA,DF,Nice,20,1999,14.1,18,1.27,14,1,1,1,1,0,2,0.14,2,0,0,0,0,0
372,Keylor Navas,CRC,GK,Paris S-G,32,1986,21.0,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
373,Papa Ndiaga Yade,SEN,FW,Metz,19,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
374,Neymar,BRA,MF|FW,Paris S-G,27,1992,14.6,100,6.83,66,7,13,3,11,0,18,1.23,14,0,3,0,1,0
375,Muzinga Ngonda,COD,DF,Dijon,24,1994,6.0,3,0.50,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
376,Ahmad Ngouyamsa,CMR,DF,Dijon,18,2000,0.6,1,1.64,0,1,0,0,0,0,1,1.64,0,1,0,0,0,0
377,Opa Nguette,SEN,FW,Metz,25,1994,20.3,53,2.61,31,0,12,2,5,3,7,0.34,3,0,3,0,1,0
378,Ibrahima Niane,SEN,FW,Metz,20,1999,10.6,25,2.37,15,1,3,1,5,0,0,0.00,0,0,0,0,0,0
379,M'Baye Niang,SEN,FW,Rennes,24,1994,23.6,34,1.44,18,0,3,6,6,1,4,0.17,0,0,0,3,1,0
380,Tanguy Nianzou,FRA,DF|MF,Paris S-G,17,2002,5.0,7,1.39,5,0,1,0,1,0,0,0.00,0,0,0,0,0,0
381,Cheikh Niasse,SEN,MF,Lille,19,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
382,Casimir Ninga,CHA,MF|FW,Angers,26,1993,7.6,35,4.61,25,0,1,6,2,1,3,0.40,1,0,0,1,1,0
383,Timothée Nkada,FRA,FW,Reims,20,1999,1.6,6,3.65,4,0,0,0,2,0,1,0.61,0,0,0,0,1,0
384,Arnaud Nordin,FRA,FW|MF,Saint-Étienne,21,1998,10.1,26,2.58,16,3,1,2,4,0,5,0.50,3,0,0,0,2,0
385,Gerzino Nyamsi,FRA,DF,Rennes,22,1997,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
386,Steven Nzonzi,FRA,MF,Rennes,30,1988,4.3,5,1.17,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
387,Jean Onana,CMR,MF,Lille,19,2000,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
388,Henry Onyekuru,NGA,MF|FW,Monaco,22,1997,1.8,5,2.81,3,0,1,0,1,0,1,0.56,1,0,0,0,0,0
389,Nicholas Opoku,GHA,DF,Amiens,21,1997,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
390,Victor Osimhen,NGA,FW,Lille,20,1998,25.4,47,1.85,28,0,3,5,11,0,7,0.28,4,0,1,0,2,0
391,Otávio,BRA,MF,Bordeaux,25,1994,24.6,26,1.06,20,0,2,2,0,2,6,0.24,4,0,1,1,0,0
392,Abou Ouattara,BFA,FW,Lille,19,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
393,Remi Oudin,FRA,FW|MF,Bordeaux,22,1996,6.2,11,1.76,8,1,1,0,1,0,1,0.16,1,0,0,0,0,0
394,Remi Oudin,FRA,FW|MF,Reims,22,1996,15.5,42,2.71,34,0,4,2,2,0,3,0.19,3,0,0,0,0,0
395,Alexandre Oukidja,ALG,GK,Metz,31,1988,26.5,7,0.26,5,2,0,0,0,0,1,0.04,0,1,0,0,0,0
396,Zinédine Ould Khaled,FRA,MF,Angers,19,2000,0.7,1,1.53,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
397,Adam Ounas,ALG,FW|MF,Nice,22,1996,12.5,53,4.25,35,3,8,3,3,1,5,0.40,4,0,0,0,1,0
398,Ambroise Oyongo,CMR,DF|FW,Montpellier,28,1991,20.2,31,1.53,23,4,2,1,1,0,2,0.10,2,0,0,0,0,0
399,Pablo,BRA,DF,Bordeaux,28,1991,24.1,14,0.58,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0
400,Vincent Pajot,FRA,MF,Angers,28,1990,1.3,3,2.39,2,0,0,1,0,0,1,0.80,0,0,0,1,0,0
401,Vincent Pajot,FRA,MF,Metz,28,1990,5.8,14,2.43,8,6,0,0,0,0,2,0.35,1,1,0,0,0,0
402,Sergi Palencia,ESP,DF,Saint-Étienne,23,1996,5.2,8,1.54,5,0,1,0,1,1,0,0.00,0,0,0,0,0,0
403,Nicolas Pallois,FRA,DF,Nantes,31,1987,21.0,21,1.00,15,0,1,2,2,1,1,0.05,1,0,0,0,0,0
404,Jonathan Panzo,ENG,DF,Monaco,18,2000,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
405,Gaëtan Paquiez,FRA,DF,Nîmes,25,1994,17.0,15,0.88,11,3,1,0,0,0,1,0.06,1,0,0,0,0,0
406,Rubén Pardo,ESP,MF,Bordeaux,26,1992,2.1,3,1.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
407,Leandro Paredes,ARG,MF,Paris S-G,25,1994,9.0,28,3.10,25,0,1,2,0,0,3,0.33,2,0,0,1,0,0
