Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
42,Mitchel Bakker,NED,DF,Paris S-G,19,2000,1.0,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,2,0
43,Keita Baldé,SEN,FW|MF,Monaco,24,1995,9.5,6,5,1,1,4,3,9,33.3,6,4,1,3,2,8,7,1
44,Fodé Ballo-Touré,SEN,DF,Monaco,22,1997,18.7,36,25,21,11,4,17,32,53.1,15,10,1,9,24,60,45,0
45,Florent Balmont,FRA,MF,Dijon,39,1980,4.5,12,6,5,7,0,7,12,58.3,5,6,0,6,1,13,3,0
46,Abdoulaye Bamba,CIV,DF,Angers,29,1990,6.2,10,7,7,1,2,8,15,53.3,7,4,1,3,4,14,18,0
47,Jonathan Bamba,CIV,FW|MF,Lille,23,1996,21.5,12,6,5,5,2,7,29,24.1,22,19,3,16,16,28,8,2
48,Danilo Barbosa,BRA,DF|MF,Nice,23,1996,12.5,28,21,17,9,2,13,29,44.8,16,21,6,15,20,48,38,0
49,Melvin Bard,FRA,DF,Lyon,18,2000,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
50,Toma Bašić,CRO,MF,Bordeaux,22,1996,11.0,26,22,9,16,1,12,27,44.4,15,14,2,12,9,35,12,1
51,Thomas Basila,FRA,DF,Nantes,20,1999,4.6,6,3,2,4,0,4,4,100.0,0,0,0,0,4,10,14,0
52,Gil Bastião Dias,POR,DF|MF,Monaco,22,1996,11.7,53,33,30,21,2,29,58,50.0,29,15,1,14,13,66,22,1
53,Cristian Battocchio,ITA,MF,Brest,27,1992,15.5,31,24,13,13,5,14,36,38.9,22,13,4,9,19,50,21,0
54,Gaëtan Belaud,FRA,DF,Brest,32,1986,6.4,13,7,10,2,1,4,8,50.0,4,8,3,5,15,28,15,0
55,Haris Belkebla,ALG,MF,Brest,25,1994,20.2,44,24,17,17,10,10,28,35.7,18,25,5,20,53,97,21,2
56,Raoul Bellanova,ITA,DF,Bordeaux,19,2000,0.7,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
57,Jean-Ricner Bellegarde,FRA,MF,Strasbourg,21,1998,16.6,40,27,18,19,3,13,21,61.9,8,16,3,13,22,62,6,0
58,Sami Ben Amar,MAR,FW,Nîmes,21,1998,0.2,1,1,0,0,1,1,1,100.0,0,1,0,1,1,2,0,0
59,Wissam Ben Yedder,FRA,FW,Monaco,28,1990,24.0,22,16,2,12,8,8,19,42.1,11,12,0,12,4,26,1,0
60,Cristian Benavente,PER,MF|FW,Nantes,25,1994,3.9,8,5,2,5,1,2,8,25.0,6,1,0,1,3,11,0,0
61,Darío Benedetto,ARG,FW,Marseille,29,1990,23.3,12,9,0,9,3,3,18,16.7,15,15,2,13,3,15,23,1
62,Walter Benítez,ARG,GK,Nice,26,1993,26.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,8,0
63,Loris Benito,SUI,DF,Bordeaux,27,1992,21.1,40,25,23,11,6,16,43,37.2,27,14,5,9,29,69,58,1
64,Bilal Benkhedim,FRA,MF|FW,Saint-Étienne,18,2001,1.5,3,3,1,1,1,1,4,25.0,3,1,0,1,1,4,0,0
