Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
51,Jean-Paul Boëtius,NED,MF,Hertha BSC,28,1994,11.7,30,16,19,9,2,8,25,32.0,17,25,5,20,14,44,10,0
52,Yvandro Borges Sanches,LUX,FW|MF,M'Gladbach,18,2004,0.3,2,2,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
53,Sebastiaan Bornauw,BEL,DF,Wolfsburg,23,1999,21.4,29,17,17,10,2,16,22,72.7,6,27,12,15,31,60,83,1
54,Rafael Borré,COL,MF|FW,Eint Frankfurt,26,1995,12.0,25,15,4,13,8,4,17,23.5,13,10,2,8,2,27,9,0
55,Julian Brandt,GER,MF|FW,Dortmund,26,1996,26.6,29,20,6,14,9,12,43,27.9,31,23,0,23,15,44,9,1
56,Fabian Bredlow,GER,GK,Stuttgart,27,1995,15.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,2
57,Josip Brekalo,CRO,MF|FW,Wolfsburg,24,1998,3.0,2,1,2,0,0,0,4,0.0,4,0,0,0,2,4,2,0
58,John Brooks,USA,DF,Hoffenheim,29,1993,15.0,18,12,10,8,0,13,18,72.2,5,17,12,5,10,28,105,0
59,Moritz Broschinski,GER,FW|MF,Bochum,21,2000,2.4,0,0,0,0,0,0,5,0.0,5,1,0,1,0,0,6,0
60,Cédric Brunner,SUI,DF,Schalke 04,28,1994,25.7,39,27,26,11,2,30,45,66.7,15,24,7,17,43,82,79,0
61,Jacob Bruun Larsen,DEN,FW,Hoffenheim,23,1998,3.6,4,3,0,1,3,3,4,75.0,1,3,1,2,1,5,0,0
62,Lee Buchanan,ENG,DF|FW,Werder Bremen,21,2001,5.2,14,10,2,11,1,6,12,50.0,6,5,0,5,12,26,21,0
63,Marius Bülter,GER,FW|MF,Schalke 04,29,1993,28.9,22,11,8,7,7,12,32,37.5,20,34,1,33,10,32,20,0
64,Delano Burgzorg,NED,FW|MF,Mainz 05,23,1998,2.7,3,3,1,1,1,2,3,66.7,1,2,0,2,0,3,2,0
65,Jonathan Burkardt,GER,MF|FW,Mainz 05,22,2000,5.9,3,1,0,1,2,1,4,25.0,3,6,1,5,1,4,1,0
66,Oliver Burke,SCO,FW|MF,Werder Bremen,25,1997,3.0,1,0,0,0,1,0,0,,0,2,0,2,0,1,0,0
67,Aurélio Buta,POR,DF,Eint Frankfurt,25,1997,14.6,33,19,15,13,5,15,27,55.6,12,18,1,17,9,42,34,0
68,Jamie Bynoe-Gittens,ENG,FW|MF,Dortmund,17,2004,5.9,8,4,2,5,1,2,7,28.6,5,1,0,1,1,9,2,0
69,Anthony Caci,FRA,DF,Mainz 05,25,1997,22.6,58,33,32,20,6,28,42,66.7,14,28,4,24,54,112,40,0
70,Kerim Calhanoglu,GER,DF,Schalke 04,19,2002,0.7,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,3,0
71,Daniel Caligiuri,ITA,DF|MF,Augsburg,34,1988,3.2,8,5,5,3,0,4,5,80.0,1,3,2,1,3,11,2,0
72,Emre Can,GER,MF,Dortmund,28,1994,21.1,57,28,25,27,5,22,43,51.2,21,16,6,10,25,82,39,1
73,João Cancelo,POR,DF|FW,Bayern Munich,28,1994,11.2,23,14,9,10,4,10,23,43.5,13,14,2,12,15,38,22,0
74,Irvin Cardona,FRA,MF|FW,Augsburg,24,1997,3.5,1,1,1,0,0,1,5,20.0,4,3,0,3,4,5,8,0
75,Koen Casteels,BEL,GK,Wolfsburg,30,1992,34.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,1
76,Julian Chabot,GER,DF,Köln,24,1998,20.0,36,23,19,14,3,20,35,57.1,15,30,18,12,41,77,105,0
77,Timothy Chandler,USA,DF,Eint Frankfurt,32,1990,1.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,3,0
78,Fabio Chiarodia,ITA,DF,Werder Bremen,17,2005,0.7,0,0,0,0,0,0,0,,0,1,0,1,2,2,4,0
79,Oliver Christensen,DEN,GK,Hertha BSC,23,1999,33.0,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,22,2
80,Darko Churlinov,MKD,FW,Stuttgart,22,2000,0.3,3,2,2,1,0,2,3,66.7,1,1,0,1,0,3,0,0
81,Tolga Ciğerci,TUR,MF,Hertha BSC,30,1992,7.5,16,13,6,9,1,10,16,62.5,6,6,2,4,8,24,5,0
82,David Čolina,CRO,DF|FW,Augsburg,22,2000,1.8,4,1,1,1,2,2,2,100.0,0,8,0,8,4,8,3,0
