Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
710,Isaac Success,NGA,FW|MF,Udinese,25,1996,22,911,41,26.6,10.1,11,65,1,11,18,2,1.23,19,20,-1,-0.10,-0.24,15.5,15.0,+0.5,+0.05,+0.10
711,Vladyslav Supriaha,UKR,FW,Sampdoria,21,2000,1,22,22,0.6,0.2,0,,0,1,22,10,3.00,0,0,0,0.00,+0.45,0.2,0.5,-0.3,-1.11,-0.60
712,Bosko Sutalo,CRO,DF,Hellas Verona,21,2000,24,920,38,26.9,10.2,6,77,4,18,26,9,1.21,14,20,-6,-0.59,-1.02,13.1,12.5,+0.6,+0.06,+0.03
713,Bosko Sutalo,CRO,DF,Atalanta,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
714,Mattias Svanberg,SWE,MF,Bologna,22,1999,36,2564,71,75.0,28.5,31,79,15,5,26,1,1.11,25,42,-17,-0.60,-1.23,27.8,39.1,-11.3,-0.40,-0.78
715,Michael Svoboda,AUT,DF,Venezia,22,1998,18,1236,69,36.1,13.7,13,85,10,5,26,17,0.78,14,29,-15,-1.09,-0.27,15.7,28.6,-12.9,-0.94,-0.01
716,Wojciech Szczęsny,POL,GK,Juventus,31,1990,33,2970,90,86.8,33.0,33,90,33,0,,4,1.91,50,29,+21,+0.64,+0.84,46.2,33.3,+12.9,+0.39,+0.29
717,Adrien Tameze,CMR,MF|DF,Hellas Verona,27,1994,38,2574,68,75.3,28.6,26,85,16,12,30,0,1.39,45,36,+9,+0.31,+0.63,35.6,35.0,+0.6,+0.02,-0.06
718,Ciprian Tătărușanu,ROU,GK,Milan,35,1986,6,540,90,15.8,6.0,6,90,6,0,,30,2.17,14,10,+4,+0.67,-0.40,8.3,8.3,0.0,0.00,-0.74
719,Filippo Terracciano,ITA,DF,Hellas Verona,18,2003,1,7,7,0.2,0.1,0,,0,1,7,2,1.00,0,0,0,0.00,-0.16,0.1,0.0,+0.1,+0.88,+0.85
720,Pietro Terracciano,ITA,GK,Fiorentina,31,1990,32,2862,89,83.7,31.8,31,90,31,1,72,5,1.66,52,43,+9,+0.28,+0.44,52.9,33.1,+19.8,+0.62,+0.68
721,Aleksa Terzić,SRB,DF,Fiorentina,21,1999,14,274,20,8.0,3.0,1,90,1,13,14,24,2.07,4,3,+1,+0.33,+0.13,3.7,1.9,+1.9,+0.62,+0.12
722,Tanner Tessmann,USA,MF,Venezia,19,2001,20,680,34,19.9,7.6,6,65,2,14,21,17,0.75,3,13,-10,-1.32,-0.50,5.6,17.2,-11.6,-1.53,-0.76
723,Arthur Theate,BEL,DF,Bologna,21,2000,31,2424,78,70.9,26.9,28,84,22,3,24,3,1.03,29,36,-7,-0.26,+0.10,29.0,37.9,-8.9,-0.33,-0.43
724,Morten Thorsby,NOR,MF,Sampdoria,25,1996,35,2943,84,86.1,32.7,35,84,25,0,,0,0.91,41,58,-17,-0.52,-0.52,31.0,49.1,-18.1,-0.55,-0.31
725,Eljon Toci,ALB,FW,Fiorentina,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
726,Jeremy Toljan,GER,DF,Sassuolo,26,1994,20,1399,70,40.9,15.5,15,84,12,5,28,5,1.25,30,25,+5,+0.32,+0.63,26.6,24.7,+1.9,+0.12,+0.68
727,Rafael Tolói,ITA,DF,Atalanta,30,1990,20,1438,72,42.0,16.0,16,84,12,4,26,1,1.80,33,22,+11,+0.69,+0.42,27.2,18.7,+8.5,+0.53,+0.13
728,Takehiro Tomiyasu,JPN,DF,Bologna,22,1998,1,10,10,0.3,0.1,0,,0,1,10,0,1.00,0,0,0,0.00,+0.29,0.1,0.1,0.0,+0.08,+0.29
729,Fikayo Tomori,ENG,DF,Milan,23,1997,31,2718,88,79.5,30.2,30,90,28,1,32,1,2.45,56,20,+36,+1.19,+0.94,45.7,28.8,+16.9,+0.56,-0.32
730,Sandro Tonali,ITA,MF,Milan,21,2000,36,2600,72,76.0,28.9,31,80,18,5,22,1,2.31,54,18,+36,+1.25,+1.03,46.1,23.6,+22.5,+0.78,+0.64
731,Lorenzo Tonelli,ITA,DF,Sampdoria,31,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,
732,Lorenzo Tonelli,ITA,DF,Empoli,31,1990,14,870,62,25.4,9.7,8,82,7,6,36,11,1.21,14,19,-5,-0.52,+0.01,13.3,18.8,-5.5,-0.57,-0.02
733,Giacomo Toniolo,ITA,GK,Hellas Verona,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
734,Ernesto Torregrossa,VEN,FW,Sampdoria,29,1992,10,116,12,3.4,1.3,0,,0,10,12,4,0.50,2,3,-1,-0.78,-0.34,1.5,2.8,-1.3,-1.00,-0.51
