Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
409,Blaise Matuidi,FRA,MF,Juventus,31,1987,31,2418,78,70.7,26.9,29,83,17,2,13,4,2.58,50,17,+33,+1.23,+0.60,43.2,24.5,+18.7,+0.70,+0.14
410,José Mauri,ITA,MF,Milan,22,1996,5,208,42,6.1,2.3,2,59,0,3,30,27,2.00,3,2,+1,+0.43,-0.07,1.9,1.8,+0.1,+0.04,-0.17
411,Stephy Mavididi,ENG,FW,Juventus,20,1998,1,22,22,0.6,0.2,0,,0,1,22,3,0.00,0,1,-1,-4.09,-5.18,0.2,0.3,-0.1,-0.50,-1.16
412,Luca Mazzitelli,ITA,MF,Genoa,22,1995,10,323,32,9.4,3.6,3,65,0,7,18,12,1.40,2,4,-2,-0.56,-0.09,2.8,3.9,-1.1,-0.32,-0.16
413,Ibrahima Mbaye,SEN,DF,Bologna,23,1994,23,2010,87,58.8,22.3,22,90,22,1,30,13,1.65,37,26,+11,+0.49,+1.71,32.3,27.1,+5.2,+0.23,+0.71
414,Levan Mchedlidze,GEO,FW,Empoli,28,1990,11,208,19,6.1,2.3,0,,0,11,19,10,0.55,4,5,-1,-0.43,+0.07,2.8,3.1,-0.2,-0.11,+0.20
415,Iuri Medeiros,POR,MF|FW,Genoa,24,1994,2,106,53,3.1,1.2,2,53,0,0,,14,0.00,2,6,-4,-3.40,-3.02,1.4,2.8,-1.4,-1.19,-1.06
416,Nicky Medja,SUI,FW|MF,Fiorentina,18,2000,1,45,45,1.3,0.5,0,,0,1,45,2,0.00,0,0,0,0.00,-0.05,0.3,0.2,+0.1,+0.11,-0.24
417,Riccardo Meggiorini,ITA,FW,Chievo,32,1985,24,1548,65,45.3,17.2,18,77,8,6,26,12,0.50,10,33,-23,-1.34,-0.04,13.8,26.9,-13.1,-0.76,-0.22
418,Soualiho Meïté,FRA,MF,Torino,24,1994,35,2659,76,77.7,29.5,30,85,21,5,24,0,1.71,39,29,+10,+0.34,-0.25,36.0,34.6,+1.4,+0.05,+0.34
