Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
428,Fabio Quagliarella,ITA,FW,Sampdoria,35,1983,35.5,598,899,66.5,8560,1791,337,443,76.1,188,277,67.9,36,79,45.6,8,4.5,3.6,+3.5,37,40,31,4,66
429,Ivan Radovanović,SRB,MF,Genoa,29,1988,14.2,559,696,80.3,10992,2900,212,247,85.8,247,285,86.7,87,132,65.9,0,0.2,0.5,-0.2,5,60,7,1,79
430,Ivan Radovanović,SRB,MF,Chievo,29,1988,19.0,876,1028,85.2,18465,5720,326,365,89.3,353,396,89.1,181,238,76.1,0,0.5,0.4,-0.5,9,105,6,0,110
431,Ionuț Radu,ROU,GK,Genoa,21,1997,33.0,478,960,49.8,19841,17574,47,47,100.0,133,136,97.8,297,771,38.5,0,0.1,0.2,-0.1,3,43,4,0,0
432,Ștefan Radu,ROU,DF,Lazio,31,1986,24.9,1117,1329,84.0,17315,7405,604,647,93.4,409,478,85.6,71,135,52.6,1,1.3,1.4,-0.3,9,125,17,8,134
433,Gastón Ramírez,URU,MF,Sampdoria,27,1990,17.5,650,875,74.3,9116,2518,396,454,87.2,159,214,74.3,49,115,42.6,4,3.7,3.7,+0.3,33,54,25,4,70
434,Andrea Ranocchia,ITA,DF|FW,Inter,30,1988,0.7,16,30,53.3,374,200,3,7,42.9,8,13,61.5,5,8,62.5,0,0.0,0.0,0.0,0,3,0,0,1
435,Jacob Rasmussen,DEN,DF|MF,Empoli,21,1997,11.3,572,659,86.8,11330,4169,186,204,91.2,314,340,92.4,68,100,68.0,1,0.2,0.3,+0.8,3,40,0,0,43
436,Giacomo Raspadori,ITA,DF,Sassuolo,18,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
437,Arkadiusz Reca,POL,DF,Atalanta,23,1995,0.5,26,34,76.5,412,110,14,17,82.4,7,8,87.5,3,4,75.0,0,0.3,0.2,-0.3,2,1,3,2,1
438,Vasco Regini,ITA,DF|FW,SPAL,27,1990,0.9,34,45,75.6,517,227,19,22,86.4,12,14,85.7,2,7,28.6,0,0.0,0.0,0.0,0,2,0,0,4
439,Pepe Reina,ESP,GK,Milan,35,1982,3.7,85,115,73.9,2356,1812,14,14,100.0,44,45,97.8,27,55,49.1,0,0.0,0.0,0.0,0,0,0,0,0
440,Emiliano Rigoni,ARG,FW|MF,Atalanta,25,1993,5.8,148,242,61.2,2499,541,67,83,80.7,49,81,60.5,20,44,45.5,0,0.4,0.6,-0.4,9,11,7,3,29
441,Luca Rigoni,ITA,MF,Parma,33,1984,19.6,432,546,79.1,7624,2652,183,221,82.8,191,231,82.7,45,66,68.2,1,0.6,0.4,+0.4,10,44,8,1,65
442,Nicola Rigoni,ITA,MF,Chievo,27,1990,21.7,722,908,79.5,12127,4964,334,390,85.6,303,360,84.2,58,111,52.3,1,0.3,0.5,+0.7,8,105,3,0,106
443,Tomás Rincón,VEN,MF,Torino,30,1988,31.1,1081,1412,76.6,19933,6681,474,553,85.7,423,526,80.4,143,247,57.9,1,1.3,1.4,-0.3,28,127,27,6,144
444,Alejandro Rodríguez,ESP,MF,Empoli,27,1991,0.3,1,3,33.3,12,0,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
445,Ricardo Rodríguez,SUI,DF,Milan,25,1992,33.9,1845,2192,84.2,31787,10817,947,1003,94.4,664,773,85.9,199,328,60.7,3,1.4,1.7,+1.6,21,150,33,14,177
446,Marko Rog,CRO,MF,Napoli,23,1995,3.7,167,187,89.3,2122,526,110,116,94.8,46,49,93.9,3,4,75.0,0,0.0,0.0,0.0,0,11,1,0,11
447,Rogério,BRA,DF|MF,Sassuolo,20,1998,29.7,1369,1743,78.5,21885,7593,728,800,91.0,503,623,80.7,104,208,50.0,2,2.3,1.5,-0.3,19,75,18,13,102
448,Esteban Rolón,ARG,MF,Genoa,23,1995,11.6,283,376,75.3,4115,1211,159,189,84.1,96,123,78.0,15,37,40.5,0,0.4,0.4,-0.4,10,24,5,0,34
449,Filippo Romagna,ITA,DF,Cagliari,21,1997,16.4,598,679,88.1,12036,3923,175,192,91.1,338,368,91.8,72,104,69.2,0,0.0,0.1,0.0,0,15,1,0,32
450,Alessio Romagnoli,ITA,DF,Milan,23,1995,31.6,1615,1776,90.9,30490,10433,576,612,94.1,873,925,94.4,154,209,73.7,0,0.2,0.4,-0.2,6,50,1,1,86
451,Cristian Romero,ARG,DF,Genoa,20,1998,26.0,660,821,80.4,13430,4657,192,209,91.9,361,417,86.6,98,160,61.3,2,0.5,0.5,+1.5,3,33,1,0,38
452,Rômulo,ITA,MF|FW,Genoa,31,1987,15.0,484,682,71.0,7396,2589,274,317,86.4,137,205,66.8,47,102,46.1,2,2.0,2.0,0.0,24,36,14,6,43
453,Rômulo,ITA,DF,Lazio,31,1987,8.6,340,418,81.3,4836,1323,199,214,93.0,103,131,78.6,19,39,48.7,1,1.5,1.8,-0.5,12,15,9,8,12
454,Cristiano Ronaldo,POR,FW,Juventus,33,1985,29.9,915,1114,82.1,12868,2096,554,628,88.2,256,311,82.3,53,75,70.7,8,4.6,3.5,+3.4,47,51,39,14,130
455,Marten de Roon,NED,MF,Atalanta,27,1991,33.1,1940,2239,86.6,33188,11114,914,1003,91.1,799,883,90.5,178,250,71.2,3,2.0,2.6,+1.0,31,251,31,6,254
