Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
255,Alexandre Lacazette,FRA,FW,Arsenal,29,1991,21.4,3,0,0,37,54,8,3,12,10,1,0,0,59,27,61,30.7
256,Adam Lallana,ENG,MF|FW,Brighton,32,1988,17.7,0,0,0,18,20,3,12,15,13,0,1,0,117,10,26,27.8
257,Érik Lamela,ARG,FW|MF,Tottenham,28,1992,8.0,6,1,1,24,10,0,23,6,9,0,0,0,40,6,12,33.3
258,Tariq Lamptey,GHA,DF|MF,Brighton,19,2000,9.8,4,1,1,21,28,1,34,19,9,2,1,0,59,5,11,31.3
259,Manuel Lanzini,ARG,MF|FW,West Ham,27,1993,6.3,1,0,0,7,10,3,3,7,2,0,0,0,59,2,8,20.0
260,Aymeric Laporte,ESP,DF,Manchester City,26,1994,14.9,1,0,0,9,9,2,1,11,6,0,1,0,66,41,21,66.1
261,Jamaal Lascelles,ENG,DF,Newcastle Utd,26,1993,18.1,4,0,0,17,9,0,3,12,7,0,0,0,65,46,24,65.7
262,Maxime Le Marchand,FRA,DF,Fulham,30,1989,1.4,2,0,0,3,1,0,0,0,2,0,0,0,9,3,3,50.0
263,Mario Lemina,GAB,MF,Fulham,26,1993,18.9,5,0,0,32,15,0,4,30,35,1,0,0,118,23,25,47.9
264,Bernd Leno,GER,GK,Arsenal,28,1992,34.8,0,1,0,2,4,0,0,0,0,0,0,1,39,10,0,100.0
265,Khanya Leshabela,RSA,MF,Leicester City,20,1999,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
266,Jamal Lewis,NIR,DF,Newcastle Utd,22,1998,20.4,4,0,0,18,16,1,44,11,20,0,1,0,109,10,15,40.0
267,Victor Lindelöf,SWE,DF,Manchester Utd,26,1994,28.7,0,0,0,24,8,1,1,30,10,0,1,0,145,64,33,66.0
268,Jesse Lingard,ENG,MF|FW,West Ham,27,1992,15.8,3,0,0,21,24,6,38,4,6,2,0,0,62,0,5,0.0
269,Jake Livermore,ENG,MF,West Brom,30,1989,13.8,2,1,0,30,7,0,5,16,18,0,0,1,73,12,17,41.4
270,Diego Llorente,ESP,DF,Leeds United,26,1993,13.4,1,0,0,15,9,0,2,20,21,0,0,0,103,33,24,57.9
271,Hugo Lloris,FRA,GK,Tottenham,33,1986,38.0,0,0,0,0,5,0,0,0,0,0,0,0,28,5,0,100.0
272,Giovani Lo Celso,ARG,MF,Tottenham,24,1996,10.5,5,0,0,19,20,0,31,7,22,0,0,0,60,14,15,48.3
273,Ruben Loftus-Cheek,ENG,FW,Chelsea,24,1996,0.7,0,0,0,1,2,0,0,0,0,0,0,0,4,1,5,16.7
274,Ruben Loftus-Cheek,ENG,MF|FW,Fulham,24,1996,21.2,3,0,0,28,51,3,9,7,14,1,0,0,100,44,74,37.3
