Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
112,Benjamin Corgnet,FRA,MF|FW,Strasbourg,31,1987,7.5,1,19,8,42.1,2.55,1.07,0.05,0.13,17.5,0,0,0,1.6,1.6,0.09,-0.6,-0.6
113,Andreas Cornelius,DEN,FW,Bordeaux,25,1993,8.8,3,22,9,40.9,2.50,1.02,0.14,0.33,14.2,0,0,0,2.3,2.3,0.11,+0.7,+0.7
114,Maxwel Cornet,CIV,FW,Lyon,21,1996,14.2,7,47,22,46.8,3.30,1.55,0.15,0.32,15.5,2,0,0,7.4,7.4,0.16,-0.4,-0.4
115,Quentin Cornette,FRA,FW|MF,Amiens,24,1994,2.3,0,5,1,20.0,2.15,0.43,0.00,0.00,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
116,Nuno da Costa,CPV,FW,Strasbourg,27,1991,22.8,8,45,17,37.8,1.97,0.75,0.16,0.41,17.1,0,1,1,5.4,4.7,0.10,+2.6,+2.3
117,Benoît Costil,FRA,GK,Bordeaux,31,1987,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
118,Kalifa Coulibaly,MLI,FW,Nantes,26,1991,19.5,8,55,17,30.9,2.83,0.87,0.13,0.41,13.3,0,1,1,9.5,8.7,0.16,-1.5,-1.7
119,Senou Coulibaly,MLI,DF,Dijon,23,1994,4.6,1,2,1,50.0,0.44,0.22,0.50,1.00,10.7,0,0,0,0.2,0.2,0.11,+0.8,+0.8
120,Nicolas Cozza,FRA,DF,Montpellier,19,1999,10.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
121,Enzo Crivelli,FRA,FW,Caen,23,1995,25.1,6,21,10,47.6,0.84,0.40,0.29,0.60,11.3,0,0,0,5.1,5.1,0.24,+0.9,+0.9
