Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
209,Romain Faivre,FRA,FW|MF,Lyon,23,1998,9.9,10,4,2,6,2,4,13,30.8,9,4,0,4,3,13,2,0
210,Romain Faivre,FRA,MF,Brest,23,1998,19.9,30,18,12,13,5,12,30,40.0,18,11,0,11,13,43,10,0
211,Wuilker Faríñez,VEN,GK,Lens,23,1998,12.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
212,Noah Fatar,FRA,DF|MF,Angers,19,2002,0.1,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,0,0
213,Julien Faussurier,FRA,MF|DF,Brest,34,1987,5.4,10,6,3,3,4,6,13,46.2,7,12,1,11,5,15,6,0
214,Jordan Ferri,FRA,MF,Montpellier,29,1992,32.3,55,35,28,23,4,29,87,33.3,58,21,5,16,30,85,35,0
215,Karol Fila,POL,DF,Strasbourg,23,1998,6.2,10,8,5,4,1,4,8,50.0,4,7,2,5,4,14,6,0
216,Alexis Flips,FRA,MF|DF,Reims,21,2000,11.7,37,21,21,9,7,22,45,48.9,23,21,0,21,24,61,17,0
217,Mamadou Fofana,MLI,DF,Metz,23,1998,0.4,1,1,0,1,0,1,2,50.0,1,2,1,1,1,2,2,0
218,Seko Fofana,CIV,MF,Lens,26,1995,37.3,27,19,11,13,3,12,58,20.7,46,24,2,22,26,53,17,1
219,Youssouf Fofana,FRA,MF,Monaco,22,1999,24.3,69,43,19,41,9,29,56,51.8,27,29,7,22,32,101,22,2
220,Thomas Foket,BEL,DF|FW,Reims,26,1994,24.8,28,19,12,13,3,18,40,45.0,22,26,4,22,33,61,35,0
221,Thomas Fontaine,MAD,DF,Lorient,30,1991,1.9,2,0,1,0,1,0,1,0.0,1,3,3,0,2,4,4,0
222,José Fonte,POR,DF,Lille,37,1983,38.0,23,12,14,7,2,11,25,44.0,14,39,32,7,44,67,159,1
223,Steven Fortes,CPV,DF,Lens,29,1992,1.0,2,0,2,0,0,1,2,50.0,1,2,1,1,0,2,4,0
224,Przemysław Frankowski,POL,DF,Lens,26,1995,27.2,57,39,22,27,8,36,74,48.6,38,27,0,27,28,85,52,0
225,Fransérgio,BRA,MF,Bordeaux,30,1990,14.0,24,10,8,12,4,12,43,27.9,31,18,6,12,23,47,23,0
226,Angelo Fulgini,FRA,MF|FW,Angers,24,1996,32.5,35,25,8,18,9,14,44,31.8,30,21,5,16,22,57,5,1
227,Gauthier Gallon,FRA,GK,Troyes,28,1993,31.0,3,0,3,0,0,1,1,100.0,0,0,0,0,2,5,12,1
228,Kévin Gameiro,FRA,FW,Strasbourg,34,1987,26.5,19,10,5,9,5,6,18,33.3,12,22,1,21,6,25,1,0
229,Idrissa Gana Gueye,SEN,MF,Paris S-G,31,1989,18.2,60,36,24,24,12,18,44,40.9,26,23,4,19,24,84,13,0
230,Ignatius Ganago,CMR,FW,Lens,22,1999,11.4,3,2,1,2,0,2,6,33.3,4,4,0,4,2,5,3,0
231,Djeidi Gassama,FRA,FW,Paris S-G,17,2003,0.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
232,Johan Gastien,FRA,MF,Clermont Foot,33,1988,30.5,56,34,26,25,5,27,74,36.5,47,45,11,34,53,109,49,1
233,Valère Germain,FRA,FW,Montpellier,31,1990,21.9,23,14,6,11,6,8,31,25.8,23,13,1,12,9,32,27,0
234,Gerson,BRA,MF|FW,Marseille,24,1997,28.3,42,17,16,20,6,8,35,22.9,27,26,4,22,16,58,16,2
235,Willem Geubbels,FRA,FW|MF,Nantes,19,2001,6.0,8,5,4,2,2,5,12,41.7,7,5,0,5,6,14,5,0
236,Ismaël Gharbi,ESP,FW,Paris S-G,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
237,Lamine Ghezali,FRA,DF,Saint-Étienne,22,1999,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
238,Nicholas Gioacchini,USA,FW|MF,Montpellier,21,2000,5.5,7,5,3,2,2,4,10,40.0,6,8,0,8,4,11,5,0
239,Jimmy Giraudon,FRA,DF,Troyes,29,1992,18.0,14,6,10,4,0,7,22,31.8,15,24,14,10,37,51,68,1
240,Andrei Girotto,BRA,DF|MF,Nantes,29,1992,35.0,85,52,49,32,4,52,103,50.5,51,67,33,34,69,154,143,0
241,Aleksandr Golovin,RUS,FW|MF,Monaco,25,1996,16.7,40,22,10,18,12,18,41,43.9,23,26,1,25,12,52,8,0
242,Angel Gomes,ENG,MF|FW,Lille,20,2000,10.6,23,13,6,12,5,10,15,66.7,5,4,0,4,3,26,4,0
243,Alfred Gomis,SEN,GK,Rennes,27,1993,25.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,8,2
244,Vagner Gonçalves,CPV,FW,Metz,25,1996,1.0,2,1,0,2,0,1,1,100.0,0,0,0,0,1,3,0,0
245,Álvaro González,ESP,DF,Marseille,31,1990,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,9,0
246,Amine Gouiri,ALG,FW|MF,Nice,21,2000,30.6,22,13,2,13,7,10,32,31.3,22,22,5,17,11,33,17,1
247,Lucas Gourna-Douath,FRA,MF,Saint-Étienne,17,2003,20.0,45,26,22,18,5,21,36,58.3,15,22,3,19,13,58,9,2
248,Jonathan Gradit,FRA,DF,Lens,28,1992,34.1,60,28,24,28,8,25,45,55.6,20,39,27,12,65,125,106,0
249,Andrew Gravillon,GLP,DF,Reims,23,1998,23.7,32,24,19,13,0,17,27,63.0,10,25,15,10,33,65,83,1
250,Adrian Grbić,AUT,FW|MF,Lorient,24,1996,5.8,2,1,0,2,0,2,6,33.3,4,3,1,2,0,2,7,0
251,Ivo Grbić,CRO,GK,Lille,25,1996,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1
252,Etienne Green,ENG,GK,Saint-Étienne,21,2000,13.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,9,0
253,Gabriel Gudmundsson,SWE,DF|MF,Lille,22,1999,14.9,43,31,24,16,3,17,35,48.6,18,15,3,12,20,63,13,0
254,Noah Guede-Nadje,FRA,MF,Angers,17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
255,Mattéo Guendouzi,FRA,MF,Marseille,22,1999,35.0,45,30,10,26,9,13,47,27.7,34,15,1,14,16,61,18,0
256,Yanis Guermouche,FRA,MF|FW,Montpellier,20,2001,0.1,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0
257,Evann Guessand,FRA,FW,Nice,20,2001,4.9,9,8,2,5,2,3,8,37.5,5,4,0,4,0,9,1,0
258,Lamine Gueye,SEN,FW|MF,Metz,23,1998,6.2,5,5,1,1,3,3,7,42.9,4,4,0,4,6,11,1,0
259,Pape Gueye,SEN,MF,Marseille,22,1999,17.0,38,19,15,22,1,16,31,51.6,15,15,3,12,24,62,16,0
260,Josuha Guilavogui,FRA,MF|DF,Bordeaux,30,1990,14.8,39,16,18,17,4,14,29,48.3,15,16,8,8,36,75,23,0
261,Frederic Guilbert,FRA,DF,Strasbourg,26,1994,28.0,69,39,33,24,12,32,62,51.6,30,37,11,26,55,124,39,0
262,Bruno Guimarães,BRA,MF,Lyon,23,1997,18.2,50,31,20,25,5,23,59,39.0,36,21,4,17,21,71,11,1
