Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
88,Ismaëlben Boura,FRA,DF,Lens,20,2000,1.1,0,1,0,0.0,0.95,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0
89,Benjamin Bourigeaud,FRA,FW|MF,Rennes,27,1994,35.5,11,51,21,41.2,1.44,0.59,0.22,0.52,17.3,8,0,0,5.7,5.7,0.11,+5.3,+5.3
90,Redwan Bourles,FRA,MF|FW,Lorient,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
91,Domagoj Bradarić,CRO,DF,Lille,21,1999,4.6,0,1,0,0.0,0.22,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
92,Bilal Brahimi,ALG,MF,Nice,21,2000,4.2,0,4,0,0.0,0.95,0.00,0.00,,14.5,0,0,0,0.6,0.6,0.16,-0.6,-0.6
93,Bilal Brahimi,ALG,FW,Angers,21,2000,3.8,0,6,2,33.3,1.60,0.53,0.00,0.00,17.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
94,Lilian Brassier,FRA,DF,Brest,21,1999,25.1,1,11,2,18.2,0.44,0.08,0.09,0.50,18.5,0,0,0,1.1,1.1,0.10,-0.1,-0.1
95,Jimmy Briand,FRA,FW|MF,Bordeaux,35,1985,2.5,2,8,2,25.0,3.19,0.80,0.13,0.50,17.2,0,1,2,2.2,0.7,0.08,-0.2,+0.3
96,Dylan Bronn,TUN,DF,Metz,26,1995,28.3,1,15,7,46.7,0.53,0.25,0.07,0.14,13.6,0,0,0,1.8,1.8,0.12,-0.8,-0.8
97,Osman Bukari,GHA,FW|MF,Nantes,22,1998,11.2,2,20,9,45.0,1.78,0.80,0.10,0.22,18.2,0,0,0,1.4,1.4,0.07,+0.6,+0.6
98,Maxime Busi,BEL,DF,Reims,21,1999,14.4,1,6,2,33.3,0.42,0.14,0.17,0.50,13.6,0,0,0,0.6,0.6,0.10,+0.4,+0.4
99,Oriol Busquets,ESP,MF,Clermont Foot,22,1999,2.2,0,1,0,0.0,0.45,0.00,0.00,,23.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
100,Marcin Bułka,POL,GK,Nice,21,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
101,Rémy Cabella,FRA,MF|FW,Montpellier,31,1990,3.5,0,2,0,0.0,0.58,0.00,0.00,,10.3,0,0,0,0.3,0.3,0.14,-0.3,-0.3
102,Jimmy Cabot,FRA,DF,Angers,27,1994,22.3,0,11,3,27.3,0.49,0.13,0.00,0.00,22.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
103,Anthony Caci,FRA,DF,Strasbourg,24,1997,26.6,1,15,4,26.7,0.56,0.15,0.07,0.25,18.1,0,0,0,0.9,0.9,0.06,+0.1,+0.1
104,Mathieu Cafaro,FRA,MF|FW,Reims,24,1997,2.1,0,6,2,33.3,2.81,0.94,0.00,0.00,22.5,1,0,0,0.4,0.4,0.07,-0.4,-0.4
105,Yannick Cahuzac,FRA,MF,Lens,36,1985,6.9,0,1,0,0.0,0.15,0.00,0.00,,17.0,0,0,0,0.0,0.0,0.03,0.0,0.0
106,Marc-Aurèle Caillard,FRA,GK,Metz,27,1994,17.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
107,Jens Cajuste,SWE,MF|FW,Reims,21,1999,4.0,2,8,6,75.0,1.98,1.48,0.13,0.17,16.9,0,1,1,1.7,0.9,0.12,+0.3,+0.1
108,Duje Ćaleta-Car,CRO,DF,Marseille,24,1996,22.9,2,12,4,33.3,0.53,0.18,0.17,0.50,10.6,0,0,0,1.8,1.8,0.15,+0.2,+0.2
109,Lucas Calodat,FRA,DF,Saint-Étienne,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
110,Mahdi Camara,FRA,MF|DF,Saint-Étienne,23,1998,34.1,3,28,15,53.6,0.82,0.44,0.11,0.20,18.7,0,0,0,2.5,2.5,0.09,+0.5,+0.5
111,Mamadou Camara,FRA,FW,Troyes,20,2001,0.4,0,1,1,100.0,2.25,2.25,0.00,0.00,12.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1
112,Eduardo Camavinga,FRA,MF,Rennes,18,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
113,Fali Candé,GNB,DF,Metz,23,1998,10.8,0,6,2,33.3,0.55,0.18,0.00,0.00,27.0,3,0,0,0.3,0.3,0.05,-0.3,-0.3
114,Pierrick Capelle,FRA,MF|DF,Angers,34,1987,13.3,0,17,1,5.9,1.28,0.08,0.00,0.00,19.5,0,0,0,1.5,1.5,0.09,-1.5,-1.5
115,Maxence Caqueret,FRA,MF,Lyon,21,2000,25.9,0,15,2,13.3,0.58,0.08,0.00,0.00,22.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7
116,Irvin Cardona,FRA,FW|MF,Brest,23,1997,14.8,4,26,12,46.2,1.75,0.81,0.15,0.33,15.4,0,0,0,2.9,2.9,0.11,+1.1,+1.1
117,Igor Carioca,BRA,DF,Lorient,24,1996,17.5,0,14,6,42.9,0.80,0.34,0.00,0.00,22.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4
118,Moreto Cassamã,GNB,MF,Reims,23,1998,8.9,2,11,7,63.6,1.24,0.79,0.18,0.29,26.8,0,0,0,0.6,0.6,0.06,+1.4,+1.4
