Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
102,Arturo Calabresi,ITA,DF,Amiens,23,1996,20.9,5,0,0,28,30,0,34,29,33,0,0,0,125,30,36,45.5
103,Duje Ćaleta-Car,CRO,DF,Marseille,22,1996,21.0,6,0,0,23,12,0,1,26,15,0,1,0,89,56,23,70.9
104,Mahdi Camara,FRA,MF,Saint-Étienne,21,1998,10.0,2,1,1,17,14,0,7,18,20,0,0,0,39,16,14,53.3
105,Souleymane Camara,SEN,FW,Montpellier,36,1982,1.8,0,0,0,4,3,4,1,0,0,0,0,0,3,14,13,51.9
106,Eduardo Camavinga,FRA,MF,Rennes,16,2002,23.4,4,0,0,48,59,0,1,34,64,0,0,0,147,31,35,47.0
107,Pierrick Capelle,FRA,MF|DF,Angers,32,1987,19.4,7,0,0,27,13,2,32,21,32,0,1,0,124,32,40,44.4
108,Maxence Caqueret,FRA,MF,Lyon,19,2000,6.3,2,0,0,15,12,0,2,9,15,0,0,0,48,2,9,18.2
109,Irvin Cardona,FRA,FW|MF,Brest,21,1997,16.1,3,0,0,25,13,3,29,1,8,1,0,0,52,22,18,55.0
110,Lionel Carole,FRA,DF,Strasbourg,28,1991,14.1,3,0,0,11,20,2,50,19,8,1,1,0,82,23,7,76.7
111,Matis Carvalho,POR,GK,Montpellier,20,1999,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,Moreto Cassamã,GNB,MF,Reims,21,1998,6.6,3,0,0,6,11,0,17,5,11,0,0,0,51,5,3,62.5
113,Jean-Charles Castelletto,CMR,DF,Brest,24,1995,20.4,3,1,0,27,11,2,4,33,9,0,0,0,106,62,42,59.6
114,Edinson Cavani,URU,FW,Paris S-G,32,1987,6.7,2,0,0,8,2,3,2,1,1,0,0,0,15,4,7,36.4
115,Zeki Çelik,TUR,DF,Lille,22,1997,23.0,4,0,0,39,11,4,53,26,28,1,0,1,134,24,30,44.4
116,Fabien Centonze,FRA,DF,Metz,23,1996,28.0,3,0,0,19,36,2,68,59,49,0,0,0,150,39,28,58.2
117,Florian Chabrolle,FRA,MF,Marseille,21,1998,0.2,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,
118,Fouad Chafik,MAR,DF,Dijon,32,1986,17.0,1,0,0,18,20,0,50,26,21,0,1,0,109,12,12,50.0
119,Gaëtan Charbonnier,FRA,FW|MF,Brest,30,1988,22.9,5,0,0,40,33,9,31,7,16,1,0,0,66,43,87,33.1
120,Brendan Chardonnet,FRA,DF,Brest,24,1994,9.1,4,0,0,7,5,0,2,15,6,0,2,0,45,31,18,63.3
121,Xavier Chavalerin,FRA,MF,Reims,28,1991,23.9,6,0,0,40,9,4,107,36,52,0,0,0,131,11,18,37.9
122,Aurélien Chedjou,CMR,DF,Amiens,34,1985,21.9,4,1,1,14,11,0,0,40,19,0,1,0,155,37,36,50.7
123,Rayan Cherki,FRA,MF|FW,Lyon,15,2003,1.6,0,0,0,1,6,0,5,0,2,0,0,0,14,0,2,0.0
124,Joris Chotard,FRA,MF,Montpellier,17,2001,13.9,5,1,1,27,22,1,10,20,18,0,0,0,93,22,14,61.1
125,Mounir Chouiar,FRA,MF|FW,Dijon,20,1999,16.7,4,1,0,34,20,4,91,13,23,0,0,0,110,13,13,50.0
126,Ibrahim Cissé,CIV,DF,Nice,20,1999,0.6,0,0,0,0,1,0,0,0,1,0,0,0,3,3,3,50.0
127,Ibrahim Cissé,SEN,DF,Angers,23,1996,0.7,1,0,0,2,0,0,1,0,1,0,0,0,8,1,1,50.0
128,Alexis Claude-Maurice,FRA,FW|MF,Nice,21,1998,18.1,2,0,0,13,44,1,28,11,16,0,0,0,73,9,7,56.3
129,Yannis Clementia,MTQ,GK,Nice,22,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
130,Marcus Coco,FRA,FW,Nantes,23,1996,0.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
131,Renaud Cohade,FRA,MF,Metz,34,1984,8.5,3,0,0,20,4,1,22,8,20,0,0,0,54,14,9,60.9
132,Racine Coly,SEN,DF|FW,Nice,23,1995,7.2,5,2,2,12,8,1,9,12,13,0,0,0,36,15,10,60.0
133,Daniel Congré,FRA,DF,Montpellier,34,1985,21.6,4,0,0,16,16,0,7,47,27,1,0,1,95,49,35,58.3
134,Benjamin Corgnet,FRA,MF|FW,Strasbourg,32,1987,2.9,0,0,0,3,3,0,9,2,1,0,0,0,8,11,12,47.8
135,Maxwel Cornet,CIV,FW|DF,Lyon,22,1996,14.8,1,0,0,15,29,2,79,21,19,0,0,0,88,16,17,48.5
136,Quentin Cornette,FRA,FW|MF,Amiens,25,1994,3.9,0,0,0,6,5,1,47,6,3,0,0,0,26,2,2,50.0
137,Edmilson Correia,GNB,FW|DF,Saint-Étienne,19,2000,0.5,0,0,0,2,3,0,0,1,0,0,0,0,2,1,0,100.0
138,Nuno da Costa,CPV,FW,Strasbourg,28,1991,5.9,4,0,0,13,13,0,6,4,10,0,0,0,18,21,14,60.0
139,Benoît Costil,FRA,GK,Bordeaux,32,1987,28.0,1,0,0,0,2,0,0,2,0,0,0,0,44,3,0,100.0
140,Kalifa Coulibaly,MLI,FW,Nantes,27,1991,18.0,1,0,0,34,12,23,9,6,7,0,0,0,29,98,91,51.9
141,Senou Coulibaly,MLI,DF,Dijon,24,1994,7.4,0,0,0,7,5,0,1,10,7,0,0,0,32,14,7,66.7
142,Yoann Court,FRA,FW|MF,Brest,29,1990,16.3,6,0,0,23,22,6,70,15,26,1,0,0,64,11,21,34.4
143,Nicolas Cozza,FRA,DF,Montpellier,20,1999,6.2,1,0,0,4,6,1,0,9,5,0,0,0,32,9,9,50.0
144,Wylan Cyprien,FRA,MF,Nice,24,1995,19.7,3,1,1,13,32,1,97,19,11,0,1,0,122,14,10,58.3
145,Lucas Da Cunha,FRA,MF,Rennes,18,2001,0.8,0,0,0,0,0,0,1,0,0,0,0,0,3,1,3,25.0
146,Damien Da Silva,FRA,DF,Rennes,31,1988,24.9,3,0,0,25,12,2,4,26,14,0,1,1,111,81,41,66.4
147,Colin Dagba,FRA,DF,Paris S-G,20,1998,7.4,1,0,0,13,3,2,25,6,4,0,0,0,39,2,6,25.0
148,Dante,BRA,DF,Nice,35,1983,21.0,7,0,0,17,6,1,1,26,21,0,1,1,133,51,28,64.6
149,Lucas Deaux,FRA,MF,Nîmes,30,1988,14.8,2,0,0,26,22,2,15,15,26,0,0,0,120,66,35,65.3
150,Mathieu Debuchy,FRA,DF,Saint-Étienne,34,1985,19.7,2,0,0,32,23,2,63,43,26,0,3,0,96,90,47,65.7
151,Romain Del Castillo,FRA,FW|MF,Rennes,23,1996,13.8,2,0,0,21,22,4,24,7,14,0,0,0,79,20,32,38.5
152,Thomas Delaine,FRA,DF,Metz,27,1992,13.9,4,0,0,22,11,0,67,15,16,0,0,0,58,6,12,33.3
153,Paul Delecroix,GNB,GK,Metz,30,1988,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
154,Andy Delort,ALG,FW,Montpellier,27,1991,25.3,5,0,0,69,39,21,93,3,18,0,0,0,62,75,71,51.4
155,Moussa Dembélé,FRA,FW,Lyon,23,1996,24.3,3,0,0,43,24,11,5,5,7,2,0,0,47,68,75,47.6
156,Jason Denayer,BEL,DF,Lyon,24,1995,23.7,0,0,0,9,1,0,1,20,13,0,0,0,123,40,32,55.6
157,Kevin Denkey,TOG,FW,Nîmes,18,2000,6.7,1,0,0,24,12,2,7,2,5,0,0,0,21,15,29,34.1
158,Ángel Di María,ARG,FW|MF,Paris S-G,31,1988,22.2,2,0,0,12,22,6,175,11,12,0,0,0,86,1,3,25.0
159,Boulaye Dia,SEN,FW,Reims,22,1996,20.1,0,0,0,24,25,13,4,7,9,1,0,0,57,28,84,25.0
160,Fousseni Diabaté,MLI,FW|MF,Amiens,23,1995,13.2,3,0,0,12,9,2,32,8,10,0,0,0,80,8,17,32.0
161,Bafodé Diakité,FRA,DF,Toulouse,18,2001,15.2,1,1,0,5,4,0,6,20,19,0,0,0,83,23,23,50.0
162,Abdou Diallo,SEN,DF,Paris S-G,23,1996,13.3,4,0,0,24,7,0,4,10,11,0,0,0,95,16,10,61.5
163,Habib Diallo,SEN,FW,Metz,24,1995,24.4,2,1,0,35,22,18,4,4,1,0,0,0,56,111,154,41.9
164,Ibrahima Diallo,FRA,MF,Brest,20,1999,17.3,2,0,0,18,22,0,6,23,24,0,0,0,145,15,11,57.7
165,Moussa Diarra,MLI,DF,Toulouse,18,2000,1.0,0,0,0,0,1,0,0,3,3,0,0,0,6,1,6,14.3
166,Lucas Dias,FRA,GK,Nîmes,20,1999,3.5,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,100.0
167,Bakaye Dibassy,MLI,DF,Amiens,29,1989,20.8,5,1,0,21,13,0,10,37,14,0,0,1,114,25,37,40.3
168,Tristan Dingomé,CMR,MF,Reims,28,1991,9.9,1,0,0,20,10,0,17,6,4,0,0,0,42,2,6,25.0
169,Lois Diony,FRA,FW,Saint-Étienne,26,1992,7.4,1,0,0,11,8,4,7,1,5,0,0,0,15,10,25,28.6
170,Assane Dioussé,SEN,MF,Saint-Étienne,21,1997,1.3,1,0,0,3,0,0,0,0,1,0,0,0,10,1,1,50.0
171,Axel Disasi,FRA,DF,Reims,21,1998,27.0,3,0,0,37,24,0,4,26,21,0,2,0,130,71,50,58.7
172,Tiago Djaló,POR,DF,Lille,19,2000,7.3,1,0,0,9,5,0,3,11,4,0,1,0,54,9,10,47.4
173,Alexander Djiku,GHA,DF|MF,Strasbourg,24,1994,22.9,6,0,0,37,23,0,6,55,32,0,1,0,128,60,27,69.0
174,Kasper Dolberg,DEN,FW,Nice,21,1997,21.0,2,0,0,25,36,7,3,10,6,0,0,0,32,19,21,47.5
175,Keagan Dolly,RSA,MF,Montpellier,26,1993,1.6,1,0,0,6,0,0,4,1,3,0,0,0,12,0,2,0.0
176,Anastasios Donis,GRE,FW,Reims,22,1996,6.8,1,0,0,18,8,5,23,1,2,0,0,0,20,8,24,25.0
177,Gabriel Dos Santos,BRA,DF,Lille,21,1997,23.2,3,0,0,18,26,0,2,22,29,0,0,1,136,81,44,64.8
178,Mathieu Dossevi,TOG,MF|FW,Toulouse,31,1988,19.5,0,0,0,22,22,5,199,14,20,0,0,0,79,6,25,19.4
179,Moussa Doumbia,MLI,FW|MF,Reims,24,1994,19.1,8,1,1,20,56,1,46,9,8,1,0,0,122,4,19,17.4
180,Souleyman Doumbia,CIV,DF,Angers,22,1996,5.0,1,0,0,5,2,0,16,6,4,0,0,0,39,4,7,36.4
181,Souleyman Doumbia,CIV,DF,Rennes,22,1996,1.0,0,0,0,1,0,0,3,0,1,0,0,0,3,1,1,50.0
182,Julian Draxler,GER,MF,Paris S-G,25,1993,7.6,5,0,0,17,4,0,11,10,10,0,0,0,52,3,1,75.0
183,Leo Dubois,FRA,DF,Lyon,24,1994,15.0,3,0,0,17,11,1,59,18,23,0,0,0,74,19,6,76.0
184,Haris Duljević,BIH,FW|MF,Nîmes,25,1993,5.8,0,0,0,4,8,1,11,2,6,0,0,0,24,4,10,28.6
185,Riza Durmisi,DEN,DF|MF,Nice,25,1994,1.8,0,0,0,1,0,0,9,1,1,0,0,0,8,0,3,0.0
186,Jean-Kevin Duverne,HAI,DF,Brest,22,1997,13.1,0,0,0,10,9,0,0,20,8,0,1,0,73,21,28,42.9
187,Bruno Ecuele Manga,GAB,DF,Dijon,31,1988,28.0,2,0,0,10,15,1,2,37,15,0,0,0,172,84,39,68.3
188,Renaud Emond,BEL,FW,Nantes,27,1991,3.2,1,0,0,4,6,0,0,0,1,0,0,0,14,10,24,29.4
189,Fábio,BRA,DF,Nantes,29,1990,9.3,4,0,0,12,3,0,20,18,22,0,0,0,52,15,19,44.1
190,Cesc Fàbregas,ESP,MF,Monaco,32,1987,10.3,1,1,0,11,8,1,30,7,4,0,0,0,48,15,5,75.0
191,Julien Faussurier,FRA,DF,Brest,32,1987,22.0,1,0,0,17,15,2,80,33,22,0,0,0,118,18,24,42.9
192,Zinedine Ferhat,ALG,FW|MF,Nîmes,26,1993,25.0,1,0,0,17,54,8,165,16,16,0,0,0,114,68,45,60.2
