Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
124,Jean-Charles Castelletto,CMR,DF,Brest,24,1995,22,1838,84,72.9,20.4,22,84,19,0,,3,1.18,27,31,-4,-0.20,-0.33,23.5,35.2,-11.8,-0.58,-0.18
125,Edinson Cavani,URU,FW,Paris S-G,32,1987,14,605,43,24.9,6.7,7,73,3,7,13,2,2.29,15,9,+6,+0.89,-1.33,19.7,6.6,+13.0,+1.94,+0.07
126,Zeki Çelik,TUR,DF,Lille,22,1997,23,2070,90,82.1,23.0,23,90,23,0,,3,1.83,30,22,+8,+0.35,+0.35,34.3,25.1,+9.2,+0.40,+0.48
127,Fabien Centonze,FRA,DF,Metz,23,1996,28,2520,90,100.0,28.0,28,90,28,0,,0,1.21,27,35,-8,-0.29,,27.1,38.1,-11.0,-0.39,
128,Florian Chabrolle,FRA,MF,Marseille,21,1998,1,18,18,0.7,0.2,0,,0,1,17,14,0.00,0,1,-1,-5.00,-5.47,0.2,0.4,-0.2,-1.00,-1.16
129,Nacer Chadli,BEL,FW|MF,Monaco,29,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,
130,Fouad Chafik,MAR,DF,Dijon,32,1986,20,1528,76,60.6,17.0,18,84,14,2,6,5,1.20,18,20,-2,-0.12,+0.61,20.1,21.3,-1.2,-0.07,+0.55
131,Gaëtan Charbonnier,FRA,FW|MF,Brest,30,1988,26,2065,79,81.9,22.9,23,87,17,3,24,0,1.31,31,29,+2,+0.09,+1.08,23.6,37.0,-13.4,-0.58,-0.31
132,Brendan Chardonnet,FRA,DF,Brest,24,1994,12,823,69,32.7,9.1,9,88,8,3,11,9,1.25,7,13,-6,-0.66,-0.82,8.8,13.7,-4.9,-0.54,-0.02
133,Xavier Chavalerin,FRA,MF,Reims,28,1991,24,2147,89,85.2,23.9,24,89,23,0,,0,1.46,22,19,+3,+0.13,-0.36,26.0,23.1,+2.9,+0.12,+0.32
134,Aurélien Chedjou,CMR,DF,Amiens,34,1985,22,1971,90,78.2,21.9,22,90,21,0,,1,0.91,25,36,-11,-0.50,+0.81,23.4,27.0,-3.6,-0.16,+1.21
135,Pape Cheikh Diop,SEN,MF,Lyon,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
