Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
1,Yunis Abdelhamid,MAR,DF,Reims,31,1987,28.0,1854,194,1052,768,51,29,1854,26,20,76.9,6,23.1,1031,5773,3542,21,12,0,15,5,1216,6
2,Mehdi Abeid,ALG,MF,Nantes,26,1992,20.2,1159,14,163,766,249,17,1159,23,16,69.6,7,30.4,650,3350,1494,25,24,3,24,21,754,42
3,Charles Abi,FRA,FW,Saint-Étienne,19,2000,6.9,195,7,14,100,86,20,195,19,13,68.4,6,31.6,108,680,346,12,4,5,26,7,144,33
4,Amine Adli,MAR,MF|FW,Toulouse,19,2000,0.5,31,0,3,16,13,1,31,4,3,75.0,1,25.0,23,190,104,4,1,0,1,1,22,5
5,Yacine Adli,FRA,MF,Bordeaux,19,2000,11.3,704,10,70,457,186,11,704,48,26,54.2,22,45.8,485,2646,1418,38,31,3,27,24,537,47
6,Nayef Aguerd,MAR,DF,Dijon,23,1996,10.6,717,75,426,284,11,8,717,4,3,75.0,1,25.0,352,1490,859,0,0,0,4,3,467,0
7,Ruben Aguilar,FRA,DF,Monaco,26,1993,11.9,913,32,209,441,268,21,913,22,12,54.5,10,45.5,534,2573,1482,32,19,4,9,11,581,80
8,Jean-Eudes Aholou,CIV,MF,Saint-Étienne,25,1994,7.0,404,14,78,257,71,13,404,16,12,75.0,4,25.0,225,1210,572,14,9,1,19,7,267,15
9,Youssef Aït Bennasser,MAR,MF,Bordeaux,23,1996,6.0,465,11,71,354,43,0,465,7,4,57.1,3,42.9,305,1096,567,6,4,0,7,4,338,6
10,Rayan Aït Nouri,ALG,DF,Angers,18,2001,14.2,972,34,302,440,238,13,972,35,19,54.3,16,45.7,445,2684,1611,45,36,10,27,24,550,69
11,Ludovic Ajorque,FRA,FW,Strasbourg,25,1994,22.9,712,21,40,386,291,95,711,19,7,36.8,12,63.2,376,1503,584,21,15,8,53,15,553,137
12,Marley Aké,FRA,FW|MF,Marseille,18,2001,1.1,40,1,7,16,17,2,40,5,4,80.0,1,20.0,25,188,72,1,1,0,1,0,24,6
13,Chadrac Akolo,COD,FW|MF,Amiens,24,1995,6.0,280,4,52,141,92,14,280,12,5,41.7,7,58.3,168,688,340,11,14,5,14,15,198,53
14,Sofiane Alakouch,MAR,DF,Nîmes,21,1998,15.6,984,39,284,473,242,17,984,33,17,51.5,16,48.5,454,2492,1477,32,22,8,21,7,488,39
15,Haitam Aleesami,NOR,DF,Amiens,28,1991,21.3,1421,72,412,759,262,15,1421,19,13,68.4,6,31.6,573,2813,1426,21,17,4,23,22,756,72
16,Rúnar Alex Rúnarsson,ISL,GK,Dijon,24,1995,10.0,350,304,349,1,0,0,350,0,0,,0,,157,734,504,0,0,0,0,0,147,0
17,Rachid Alioui,MAR,FW,Angers,27,1992,17.4,631,9,29,300,306,67,631,22,16,72.7,6,27.3,353,1638,704,24,18,12,40,17,496,108
18,Mickaël Alphonse,GLP,DF,Dijon,30,1989,15.3,935,58,330,437,173,11,935,22,15,68.2,7,31.8,400,2485,1458,37,26,3,19,10,472,45
19,Romain Amalfitano,FRA,MF,Dijon,29,1989,18.8,1098,35,241,728,146,7,1098,33,26,78.8,7,21.2,626,3565,1691,24,27,3,31,19,727,28
20,Jordan Amavi,FRA,DF,Marseille,25,1994,24.0,1591,78,510,746,352,28,1591,52,30,57.7,22,42.3,788,4457,2377,62,54,9,32,19,835,92
21,Thierry Ambrose,GLP,FW,Metz,22,1997,6.1,302,5,24,124,159,30,302,44,25,56.8,19,43.2,185,1476,713,31,24,7,24,23,219,49
22,Kelvin Amian,FRA,DF,Toulouse,21,1998,18.1,844,75,287,392,173,11,844,24,11,45.8,13,54.2,416,2730,1615,38,28,5,18,10,427,27
