Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
127,John Egan,IRL,DF,Sheffield Utd,26,1992,35.4,2,27,4,14.8,0.76,0.11,0.07,0.50,9.4,0,0,0,2.7,2.7,0.10,-0.7,-0.7
128,Harvey Elliott,ENG,DF,Liverpool,16,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
129,Ahmed Elmohamady,EGY,DF,Aston Villa,31,1987,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,11.1,0,0,0,0.2,0.2,0.05,+0.8,+0.8
130,Björn Engels,BEL,DF,Aston Villa,24,1994,16.1,1,8,1,12.5,0.50,0.06,0.13,1.00,7.8,0,0,0,1.0,0.9,0.11,0.0,+0.1
131,Christian Eriksen,DEN,MF|FW,Tottenham,27,1992,12.2,2,26,9,34.6,2.13,0.74,0.08,0.22,25.1,7,0,0,1.9,1.9,0.07,+0.1,+0.1
132,Jonny Evans,NIR,DF,Leicester City,31,1988,37.6,1,23,8,34.8,0.61,0.21,0.04,0.13,8.4,0,0,0,3.7,3.7,0.16,-2.7,-2.7
133,Łukasz Fabiański,POL,GK,West Ham,34,1985,23.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
134,Fabinho,BRA,MF,Liverpool,25,1993,23.1,2,12,4,33.3,0.52,0.17,0.17,0.50,28.7,2,0,0,0.4,0.4,0.04,+1.6,+1.6
135,Ralf Fährmann,GER,GK,Norwich City,30,1988,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
136,Akin Famewo,ENG,MF,Norwich City,20,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
137,Kiko Femenía,ESP,DF,Watford,28,1991,24.9,0,5,1,20.0,0.20,0.04,0.00,0.00,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
138,Bruno Fernandes,POR,MF,Manchester Utd,24,1994,13.2,8,40,14,35.0,3.04,1.06,0.10,0.29,24.6,7,4,4,6.2,3.0,0.08,+1.8,+1.0
139,Gedson Fernandes,POR,MF|DF,Tottenham,20,1999,0.8,0,1,0,0.0,1.32,0.00,0.00,,26.4,0,0,0,0.0,0.0,0.03,0.0,0.0
140,Federico Fernández,ARG,DF,Newcastle Utd,30,1989,29.1,2,15,7,46.7,0.52,0.24,0.13,0.29,11.5,0,0,0,1.4,1.4,0.10,+0.6,+0.6
141,Fernandinho,BRA,DF,Manchester City,34,1985,26.6,0,17,2,11.8,0.64,0.08,0.00,0.00,14.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0
142,Roberto Firmino,BRA,FW,Liverpool,27,1991,33.2,9,99,38,38.4,2.98,1.14,0.09,0.24,13.7,0,0,0,14.0,14.0,0.14,-5.0,-5.0
143,John Fleck,SCO,MF,Sheffield Utd,27,1991,28.0,5,31,11,35.5,1.11,0.39,0.16,0.45,20.1,0,0,0,3.1,3.1,0.10,+1.9,+1.9
144,Phil Foden,ENG,FW|MF,Manchester City,19,2000,10.0,5,34,14,41.2,3.40,1.40,0.15,0.36,16.8,0,0,0,3.3,3.3,0.10,+1.7,+1.7
145,Pablo Fornals,ESP,MF|FW,West Ham,23,1996,24.1,2,36,11,30.6,1.49,0.46,0.06,0.18,18.1,0,0,0,2.3,2.3,0.06,-0.3,-0.3
146,Ben Foster,ENG,GK,Watford,36,1983,38.0,0,1,1,100.0,0.03,0.03,0.00,0.00,10.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1
147,Timothy Fosu-Mensah,NED,DF,Manchester Utd,21,1998,1.5,0,1,0,0.0,0.66,0.00,0.00,,11.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1
148,Dimitri Foulquier,FRA,DF|MF,Watford,26,1993,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
149,Juan Foyth,ARG,DF,Tottenham,21,1998,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
150,Simon Francis,ENG,DF,Bournemouth,34,1985,10.8,0,3,0,0.0,0.28,0.00,0.00,,12.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
151,Ryan Fraser,SCO,MF|FW,Bournemouth,25,1994,23.0,1,27,11,40.7,1.18,0.48,0.04,0.09,17.2,2,0,0,3.7,3.7,0.14,-2.7,-2.7
152,Fred,BRA,MF,Manchester Utd,26,1993,24.0,0,40,10,25.0,1.66,0.42,0.00,0.00,24.5,3,0,0,1.7,1.7,0.04,-1.7,-1.7
