,Player,Nation,Pos,Squad,Born,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Score,Gk_Score
313,Arthur Masuaku,COD,DF|FW,West Ham,1993.0,31.0,23.0,19.0,11.0,1.0,14.0,23.0,60.9,9.0,9.0,1.0,8.0,9.0,40.0,17.0,0.0,7.0,0.97,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.28,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,23.0,9.0,23.0,0.0,0.0,0.0,50.0,16.0,6.0,72.7,289.0,382.0,75.7,4058.0,1291.0,171.0,189.0,90.5,87.0,121.0,71.9,15.0,40.0,37.5,1.0,0.8,0.8,0.2,2.0,30.0,6.0,2.0,33.0,8.0,518.0,65.0,15.1,5.8,6.0,77.0,5.0,2.0,29.0,6.0,1.25,8.0,10.0,-2.0,-0.35,-0.16,7.3,7.5,-0.2,-0.03,0.05,479.0,26.0,138.0,198.0,145.0,9.0,479.0,17.0,10.0,58.8,7.0,41.2,223.0,1001.0,525.0,16.0,8.0,5.0,8.0,9.0,272.0,26.0,1.0,4.0,1.0,25.0,0.55,0.14,0.25,1.0,26.5,0.0,0.0,0.0,0.1,0.1,0.01,0.9,0.9,,0
314,Juan Mata,ESP,MF,Manchester Utd,1988.0,6.0,4.0,2.0,3.0,1.0,3.0,5.0,60.0,2.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,9.0,3.45,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,1.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,187.0,217.0,86.2,2589.0,580.0,119.0,127.0,93.7,43.0,52.0,82.7,14.0,19.0,73.7,0.0,0.2,0.3,-0.2,2.0,16.0,6.0,2.0,16.0,11.0,922.0,84.0,27.0,10.2,11.0,84.0,9.0,0.0,0.0,8.0,0.18,4.0,25.0,-21.0,-2.05,-0.61,8.0,18.7,-10.7,-1.04,0.13,245.0,0.0,38.0,124.0,85.0,7.0,245.0,6.0,3.0,50.0,3.0,50.0,157.0,821.0,355.0,8.0,8.0,0.0,6.0,2.0,194.0,13.0,0.0,5.0,1.0,20.0,1.91,0.38,0.0,0.0,16.2,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,,0
315,Jean-Philippe Mateta,FRA,FW,Crystal Palace,1997.0,8.0,4.0,2.0,5.0,1.0,3.0,18.0,16.7,15.0,11.0,3.0,8.0,4.0,12.0,13.0,0.0,20.0,1.57,14.0,0.0,0.0,4.0,0.0,2.0,2.0,0.16,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,16.0,7.0,13.0,6.0,4.0,4.0,0.0,0.0,0.0,30.0,39.0,43.0,47.6,158.0,238.0,66.4,1749.0,253.0,106.0,142.0,74.6,29.0,44.0,65.9,2.0,7.0,28.6,1.0,1.3,0.6,-0.3,7.0,4.0,3.0,1.0,6.0,16.0,1193.0,75.0,34.9,13.3,12.0,90.0,12.0,4.0,28.0,15.0,0.69,10.0,30.0,-20.0,-1.51,-0.58,12.5,21.4,-8.9,-0.67,-0.04,387.0,16.0,36.0,194.0,160.0,63.0,387.0,17.0,10.0,58.8,7.0,41.2,199.0,882.0,366.0,16.0,6.0,7.0,28.0,23.0,273.0,46.0,5.0,37.0,18.0,48.6,2.91,1.41,0.14,0.28,11.2,0.0,0.0,0.0,5.8,5.8,0.17,-0.8,-0.8,,0
316,Nemanja Matić,SRB,MF,Manchester Utd,1988.0,31.0,18.0,19.0,11.0,1.0,15.0,31.0,48.4,16.0,21.0,6.0,15.0,31.0,62.0,21.0,3.0,30.0,1.96,28.0,0.0,1.0,0.0,0.0,1.0,6.0,0.39,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,3.0,0.0,6.0,31.0,18.0,0.0,0.0,0.0,124.0,28.0,17.0,62.2,911.0,1053.0,86.5,15189.0,4882.0,447.0,493.0,90.7,344.0,384.0,89.6,88.0,110.0,80.0,4.0,2.0,1.4,2.0,13.0,97.0,7.0,2.0,98.0,4.0,222.0,56.0,6.5,2.5,2.0,88.0,1.0,2.0,24.0,7.0,0.25,1.0,6.0,-5.0,-2.03,-0.96,1.8,3.6,-1.9,-0.75,-0.11,1215.0,55.0,335.0,709.0,182.0,8.0,1215.0,22.0,17.0,77.3,5.0,22.7,715.0,4173.0,2561.0,32.0,32.0,2.0,19.0,21.0,851.0,7.0,0.0,6.0,1.0,16.7,0.39,0.07,0.0,0.0,23.5,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,,0
317,Joël Matip,CMR,DF,Liverpool,1991.0,47.0,34.0,23.0,19.0,5.0,20.0,31.0,64.5,11.0,26.0,14.0,12.0,44.0,91.0,93.0,1.0,42.0,1.35,33.0,0.0,0.0,8.0,1.0,0.0,9.0,0.29,7.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,13.0,11.0,0.0,1.0,44.0,34.0,0.0,0.0,0.0,185.0,108.0,50.0,68.4,2074.0,2344.0,88.5,39370.0,13117.0,675.0,757.0,89.2,1170.0,1262.0,92.7,202.0,271.0,74.5,3.0,1.3,2.0,1.7,12.0,186.0,9.0,0.0,186.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,2651.0,232.0,991.0,1489.0,185.0,63.0,2651.0,10.0,9.0,90.0,1.0,10.0,1612.0,9763.0,7174.0,55.0,62.0,2.0,13.0,7.0,1837.0,7.0,3.0,35.0,7.0,20.0,1.13,0.23,0.09,0.43,9.9,0.0,0.0,0.0,3.4,3.4,0.1,-0.4,-0.4,,0
318,Neal Maupay,FRA,FW,Brighton,1996.0,17.0,10.0,2.0,6.0,9.0,4.0,18.0,22.2,14.0,21.0,2.0,19.0,2.0,19.0,2.0,0.0,59.0,2.33,42.0,0.0,3.0,9.0,5.0,0.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,33.0,31.0,6.0,8.0,2.0,10.0,0.0,0.0,0.0,76.0,21.0,56.0,27.3,479.0,622.0,77.0,6208.0,920.0,279.0,326.0,85.6,144.0,174.0,82.8,11.0,19.0,57.9,2.0,2.4,2.0,-0.4,23.0,20.0,25.0,2.0,48.0,19.0,1623.0,85.0,47.5,18.0,18.0,88.0,15.0,1.0,45.0,0.0,0.47,10.0,37.0,-27.0,-1.5,-0.7,16.9,28.5,-11.6,-0.64,0.01,843.0,8.0,40.0,338.0,474.0,108.0,841.0,41.0,21.0,51.2,20.0,48.8,499.0,2081.0,808.0,21.0,34.0,7.0,53.0,51.0,615.0,164.0,8.0,59.0,14.0,23.7,2.33,0.55,0.12,0.5,16.8,0.0,1.0,2.0,8.7,7.1,0.12,-0.7,-0.1,,0
319,Bryan Mbeumo,CMR,FW,Brentford,1999.0,28.0,16.0,1.0,12.0,15.0,6.0,20.0,30.0,14.0,21.0,6.0,15.0,11.0,39.0,20.0,0.0,86.0,2.66,53.0,10.0,10.0,6.0,7.0,0.0,12.0,0.37,10.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,20.0,38.0,13.0,75.0,11.0,16.0,0.0,0.0,0.0,130.0,29.0,103.0,22.0,527.0,817.0,64.5,7739.0,1649.0,315.0,409.0,77.0,149.0,229.0,65.1,38.0,81.0,46.9,7.0,3.7,3.3,3.3,34.0,33.0,28.0,7.0,56.0,37.0,3232.0,87.0,94.5,35.9,36.0,89.0,35.0,1.0,19.0,0.0,1.84,66.0,40.0,26.0,0.72,-0.71,58.2,36.2,22.0,0.61,0.63,1188.0,18.0,126.0,427.0,655.0,137.0,1187.0,80.0,39.0,48.8,41.0,51.3,713.0,4405.0,2052.0,81.0,39.0,33.0,87.0,57.0,828.0,273.0,4.0,76.0,19.0,25.0,2.35,0.59,0.04,0.16,16.3,4.0,1.0,1.0,9.3,8.5,0.11,-5.3,-5.5,,0
320,James McArthur,SCO,MF,Crystal Palace,1987.0,33.0,23.0,13.0,19.0,1.0,16.0,44.0,36.4,28.0,23.0,9.0,14.0,30.0,63.0,27.0,0.0,35.0,2.19,30.0,1.0,1.0,1.0,2.0,0.0,4.0,0.25,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,20.0,3.0,18.0,30.0,23.0,0.0,0.0,0.0,135.0,22.0,31.0,41.5,773.0,940.0,82.2,13033.0,3152.0,357.0,397.0,89.9,330.0,366.0,90.2,61.0,114.0,53.5,3.0,1.4,1.0,1.6,16.0,64.0,19.0,4.0,84.0,26.0,1773.0,68.0,51.8,19.7,21.0,79.0,11.0,5.0,22.0,1.0,1.92,34.0,19.0,15.0,0.76,-0.77,30.8,15.5,15.3,0.78,-0.03,1127.0,45.0,271.0,641.0,226.0,19.0,1127.0,30.0,21.0,70.0,9.0,30.0,629.0,3305.0,1472.0,29.0,26.0,4.0,22.0,14.0,699.0,22.0,0.0,9.0,3.0,33.3,0.56,0.19,0.0,0.0,20.9,0.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,,0
321,James Mcatee,ENG,MF|FW,Manchester City,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0,9.0,13.0,69.2,141.0,7.0,3.0,5.0,60.0,6.0,6.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,16.0,0.0,1.0,10.0,5.0,3.0,16.0,1.0,1.0,100.0,0.0,0.0,7.0,55.0,30.0,2.0,0.0,1.0,1.0,2.0,12.0,3.0,0.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,,0
323,Liam McCarron,SCO,FW,Leeds United,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,100.0,42.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
324,Alex McCarthy,ENG,GK,Southampton,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,100.0,318.0,508.0,62.6,8708.0,6548.0,79.0,79.0,100.0,139.0,141.0,98.6,97.0,283.0,34.3,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,32.0,2792.0,87.0,81.6,31.0,31.0,88.0,29.0,1.0,73.0,4.0,1.09,36.0,54.0,-18.0,-0.58,0.14,31.5,46.5,-15.0,-0.49,-0.61,536.0,427.0,533.0,3.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,0.0,278.0,1311.0,913.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
325,John McGinn,SCO,MF,Aston Villa,1994.0,106.0,64.0,35.0,55.0,16.0,54.0,104.0,51.9,50.0,53.0,6.0,47.0,35.0,141.0,34.0,0.0,103.0,3.0,72.0,21.0,4.0,2.0,3.0,1.0,6.0,0.17,4.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,57.0,81.0,0.0,110.0,35.0,64.0,0.0,0.0,0.0,200.0,22.0,17.0,56.4,1023.0,1365.0,74.9,20891.0,8296.0,394.0,464.0,84.9,416.0,515.0,80.8,187.0,318.0,58.8,4.0,5.3,5.3,-1.3,51.0,163.0,48.0,12.0,196.0,23.0,1173.0,51.0,34.3,13.0,14.0,74.0,4.0,9.0,16.0,6.0,2.43,30.0,6.0,24.0,1.84,0.08,28.0,12.7,15.4,1.18,-0.41,1754.0,70.0,346.0,962.0,466.0,26.0,1754.0,68.0,44.0,64.7,24.0,35.3,991.0,4882.0,2410.0,52.0,32.0,7.0,48.0,28.0,1075.0,67.0,3.0,43.0,16.0,37.2,1.25,0.47,0.07,0.19,25.1,0.0,0.0,0.0,1.5,1.5,0.04,1.5,1.5,,0
327,Kenny McLean,SCO,MF,Norwich City,1992.0,42.0,22.0,18.0,20.0,4.0,17.0,59.0,28.8,42.0,29.0,7.0,22.0,34.0,76.0,54.0,0.0,41.0,1.36,34.0,3.0,0.0,3.0,0.0,1.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,38.0,3.0,37.0,34.0,22.0,0.0,1.0,0.0,149.0,68.0,72.0,48.6,786.0,1090.0,72.1,13086.0,4130.0,390.0,488.0,79.9,301.0,386.0,78.0,71.0,143.0,49.7,0.0,0.8,1.0,-0.8,10.0,73.0,21.0,0.0,99.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,29.0,,,,,,0.0,,,,,0.0,1387.0,71.0,363.0,715.0,328.0,44.0,1387.0,30.0,19.0,63.3,11.0,36.7,776.0,3976.0,1631.0,32.0,25.0,4.0,41.0,14.0,903.0,61.0,1.0,33.0,6.0,18.2,1.1,0.2,0.03,0.17,20.4,0.0,0.0,0.0,1.8,1.8,0.05,-0.8,-0.8,,0
328,Dwight McNeil,ENG,MF,Burnley,1999.0,78.0,49.0,27.0,38.0,13.0,33.0,73.0,45.2,40.0,64.0,11.0,53.0,35.0,113.0,31.0,1.0,112.0,3.24,62.0,22.0,11.0,7.0,7.0,3.0,6.0,0.17,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,36.0,1.0,199.0,35.0,49.0,0.0,0.0,0.0,223.0,13.0,16.0,44.8,782.0,1154.0,67.8,14022.0,4010.0,377.0,434.0,86.9,265.0,358.0,74.0,112.0,245.0,45.7,1.0,4.6,5.3,-3.6,47.0,67.0,43.0,21.0,104.0,1.0,58.0,58.0,1.7,0.6,1.0,58.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,1.55,0.43,1.6,0.4,1.2,1.86,1.09,1620.0,46.0,280.0,731.0,668.0,57.0,1620.0,150.0,90.0,60.0,60.0,40.0,933.0,6787.0,2598.0,93.0,81.0,16.0,79.0,51.0,942.0,112.0,0.0,52.0,15.0,28.8,1.51,0.43,0.0,0.0,22.8,4.0,0.0,0.0,2.3,2.3,0.04,-2.3,-2.3,,0
329,Scott McTominay,SCO,MF,Manchester Utd,1996.0,65.0,33.0,32.0,24.0,9.0,30.0,61.0,49.2,31.0,45.0,10.0,35.0,31.0,96.0,60.0,1.0,51.0,1.92,43.0,0.0,3.0,1.0,2.0,2.0,6.0,0.23,4.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,55.0,33.0,1.0,13.0,31.0,33.0,0.0,1.0,0.0,171.0,67.0,34.0,66.3,1060.0,1254.0,84.5,18096.0,5343.0,492.0,561.0,87.7,427.0,482.0,88.6,108.0,134.0,80.6,1.0,1.5,2.0,-0.5,23.0,113.0,9.0,2.0,125.0,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,0.0,1585.0,92.0,386.0,919.0,297.0,27.0,1585.0,47.0,36.0,76.6,11.0,23.4,902.0,5275.0,2529.0,40.0,36.0,3.0,44.0,32.0,997.0,37.0,1.0,27.0,7.0,25.9,1.02,0.26,0.04,0.14,20.9,0.0,0.0,0.0,1.4,1.4,0.05,-0.4,-0.4,,0
330,Ben Mee,ENG,DF,Burnley,1989.0,26.0,12.0,16.0,7.0,3.0,12.0,19.0,63.2,7.0,28.0,22.0,6.0,24.0,50.0,94.0,1.0,13.0,0.64,8.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,7.0,2.0,4.0,24.0,12.0,0.0,0.0,1.0,132.0,68.0,41.0,62.4,535.0,763.0,70.1,11809.0,4762.0,175.0,215.0,81.4,245.0,301.0,81.4,111.0,218.0,50.9,0.0,1.0,0.1,-1.0,5.0,51.0,2.0,1.0,38.0,15.0,1018.0,68.0,29.8,11.3,11.0,87.0,9.0,4.0,14.0,22.0,0.67,10.0,24.0,-14.0,-1.24,-0.9,12.1,21.5,-9.4,-0.83,-0.65,980.0,137.0,477.0,463.0,47.0,31.0,980.0,5.0,4.0,80.0,1.0,20.0,437.0,1967.0,957.0,3.0,1.0,0.0,4.0,0.0,446.0,2.0,3.0,19.0,4.0,21.1,0.93,0.2,0.16,0.75,8.7,0.0,0.0,0.0,2.3,2.3,0.12,0.7,0.7,,0
331,Hannibal Mejbri,TUN,FW,Manchester Utd,2003.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,17.0,21.0,81.0,180.0,9.0,12.0,13.0,92.3,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,0.0,,,,,0.0,32.0,0.0,6.0,13.0,14.0,0.0,32.0,2.0,1.0,50.0,1.0,50.0,18.0,111.0,28.0,0.0,2.0,0.0,1.0,1.0,23.0,4.0,0.0,1.0,1.0,100.0,1.32,1.32,0.0,0.0,22.9,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,,0
332,Benjamin Mendy,FRA,DF,Manchester City,1994.0,2.0,2.0,1.0,1.0,0.0,2.0,6.0,33.3,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,5.77,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,80.0,94.0,85.1,1225.0,387.0,42.0,46.0,91.3,33.0,35.0,94.3,3.0,7.0,42.9,0.0,0.1,0.1,-0.1,2.0,9.0,1.0,1.0,9.0,30.0,2687.0,90.0,78.6,29.9,30.0,90.0,28.0,0.0,0.0,2.0,1.53,27.0,25.0,2.0,0.07,0.93,29.2,42.4,-13.1,-0.44,0.33,100.0,0.0,13.0,64.0,23.0,1.0,100.0,3.0,2.0,66.7,1.0,33.3,67.0,335.0,253.0,4.0,4.0,0.0,1.0,0.0,73.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
333,Edouard Mendy,SEN,GK,Chelsea,1992.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,11.0,1.0,91.7,811.0,957.0,84.7,17070.0,11353.0,282.0,284.0,99.3,333.0,344.0,96.8,157.0,288.0,54.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,32.0,2248.0,70.0,65.7,25.0,27.0,81.0,20.0,5.0,12.0,1.0,0.59,23.0,47.0,-24.0,-0.96,0.5,28.8,45.4,-16.6,-0.66,-0.05,1017.0,880.0,1012.0,5.0,0.0,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,580.0,2341.0,1233.0,0.0,0.0,0.0,2.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
334,Nampalys Mendy,SEN,MF,Leicester City,1992.0,12.0,6.0,8.0,4.0,0.0,6.0,17.0,35.3,11.0,7.0,4.0,3.0,11.0,23.0,11.0,1.0,5.0,0.44,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0,18.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,72.0,5.0,9.0,35.7,593.0,645.0,91.9,9282.0,1636.0,304.0,323.0,94.1,233.0,247.0,94.3,35.0,43.0,81.4,0.0,0.0,0.1,0.0,1.0,39.0,0.0,0.0,36.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,725.0,21.0,186.0,486.0,58.0,0.0,725.0,4.0,4.0,100.0,0.0,0.0,470.0,2378.0,989.0,9.0,12.0,0.0,12.0,9.0,542.0,8.0,0.0,1.0,1.0,100.0,0.09,0.09,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,,0
335,Illan Meslier,FRA,GK,Leeds United,2000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,1.0,3.0,0.08,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,13.0,2.0,86.7,1037.0,1392.0,74.5,24030.0,14107.0,249.0,253.0,98.4,558.0,571.0,97.7,227.0,560.0,40.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,36.0,36.0,1.1,0.4,0.0,0.0,0.0,1.0,36.0,37.0,3.0,3.0,0.0,3.0,7.5,8.56,1.5,0.2,1.2,3.1,3.76,1489.0,1295.0,1483.0,7.0,0.0,0.0,1489.0,2.0,2.0,100.0,0.0,0.0,856.0,4644.0,2876.0,0.0,0.0,0.0,4.0,0.0,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
336,Luka Milivojević,SRB,MF,Crystal Palace,1991.0,18.0,9.0,9.0,6.0,3.0,10.0,16.0,62.5,6.0,6.0,1.0,5.0,11.0,29.0,15.0,0.0,20.0,2.33,8.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,10.0,0.0,43.0,11.0,9.0,0.0,1.0,1.0,58.0,13.0,6.0,68.4,400.0,493.0,81.1,7100.0,2097.0,182.0,202.0,90.1,157.0,185.0,84.9,46.0,79.0,58.2,0.0,0.7,1.0,-0.7,11.0,36.0,6.0,3.0,37.0,33.0,2073.0,63.0,60.6,23.0,26.0,71.0,7.0,7.0,33.0,4.0,0.97,24.0,52.0,-28.0,-1.22,-0.61,28.1,42.4,-14.3,-0.62,-0.01,562.0,21.0,138.0,315.0,113.0,1.0,562.0,2.0,2.0,100.0,0.0,0.0,285.0,1005.0,464.0,2.0,7.0,0.0,3.0,3.0,338.0,4.0,0.0,8.0,0.0,0.0,0.93,0.0,0.0,0.0,26.6,4.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,,0
337,James Milner,ENG,MF|DF,Liverpool,1986.0,28.0,16.0,12.0,11.0,5.0,12.0,29.0,41.4,17.0,19.0,5.0,14.0,17.0,45.0,20.0,0.0,40.0,4.22,29.0,8.0,1.0,1.0,1.0,0.0,2.0,0.21,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0,14.0,0.0,43.0,17.0,16.0,0.0,0.0,0.0,72.0,13.0,10.0,56.5,646.0,777.0,83.1,11063.0,3500.0,301.0,327.0,92.0,264.0,312.0,84.6,62.0,95.0,65.3,1.0,2.2,1.5,-1.2,22.0,73.0,18.0,6.0,73.0,20.0,1574.0,79.0,46.0,17.5,17.0,85.0,15.0,3.0,42.0,1.0,1.05,21.0,40.0,-19.0,-1.09,-0.21,20.7,30.0,-9.4,-0.54,0.15,903.0,39.0,166.0,488.0,252.0,12.0,903.0,6.0,2.0,33.3,4.0,66.7,492.0,1686.0,798.0,9.0,9.0,1.0,12.0,5.0,624.0,38.0,0.0,10.0,2.0,20.0,1.06,0.21,0.0,0.0,23.8,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,,0
