,Player,Nation,Pos,Squad,Born,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Score,Gk_Score
347,João Moutinho,POR,MF,Wolves,1986.0,74.0,39.0,34.0,27.0,13.0,30.0,106.0,28.3,76.0,48.0,8.0,40.0,34.0,108.0,36.0,2.0,82.0,2.48,53.0,22.0,1.0,4.0,0.0,2.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,36.0,15.0,0.0,108.0,34.0,39.0,0.0,1.0,0.0,254.0,15.0,23.0,39.5,1700.0,2039.0,83.4,31501.0,7578.0,700.0,779.0,89.9,734.0,825.0,89.0,221.0,331.0,66.8,1.0,2.7,2.3,-1.7,39.0,170.0,18.0,4.0,196.0,18.0,1261.0,70.0,36.9,14.0,14.0,81.0,4.0,4.0,32.0,0.0,1.94,35.0,11.0,24.0,1.71,1.5,25.0,12.7,12.3,0.88,0.48,2324.0,63.0,524.0,1338.0,482.0,12.0,2324.0,21.0,16.0,76.2,5.0,23.8,1195.0,5504.0,2719.0,42.0,43.0,2.0,30.0,20.0,1486.0,37.0,2.0,20.0,7.0,35.0,0.61,0.21,0.1,0.29,24.3,4.0,0.0,0.0,1.3,1.3,0.06,0.7,0.7,,0
348,Bali Mumba,ENG,DF,Norwich City,2001.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,10.0,70.0,78.0,27.0,6.0,6.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,1782.0,59.0,52.1,19.8,20.0,80.0,6.0,10.0,18.0,5.0,1.8,36.0,17.0,19.0,0.96,1.29,34.6,19.8,14.8,0.75,0.74,19.0,8.0,13.0,3.0,3.0,0.0,19.0,1.0,0.0,0.0,1.0,100.0,9.0,44.0,16.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
349,Jacob Murphy,ENG,FW|DF,Newcastle Utd,1995.0,49.0,26.0,34.0,11.0,4.0,26.0,41.0,63.4,15.0,20.0,2.0,18.0,23.0,72.0,17.0,0.0,46.0,2.81,34.0,2.0,2.0,5.0,3.0,0.0,6.0,0.37,3.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,16.0,14.0,2.0,54.0,23.0,26.0,0.0,1.0,0.0,98.0,14.0,33.0,29.8,364.0,581.0,62.7,5480.0,1975.0,182.0,233.0,78.1,119.0,183.0,65.0,29.0,82.0,35.4,2.0,2.6,1.9,-0.6,20.0,33.0,19.0,6.0,44.0,24.0,1561.0,65.0,45.6,17.3,18.0,81.0,10.0,6.0,18.0,10.0,1.5,20.0,20.0,0.0,0.0,0.1,20.3,18.6,1.6,0.1,0.02,795.0,33.0,215.0,300.0,298.0,57.0,795.0,29.0,13.0,44.8,16.0,55.2,405.0,2839.0,1419.0,51.0,28.0,21.0,29.0,21.0,421.0,80.0,1.0,27.0,5.0,18.5,1.65,0.31,0.04,0.2,19.3,1.0,0.0,0.0,2.2,2.2,0.08,-1.2,-1.2,,0
350,Enock Mwepu,ZAM,MF,Brighton,1998.0,22.0,12.0,10.0,10.0,2.0,5.0,27.0,18.5,22.0,20.0,2.0,18.0,12.0,34.0,19.0,0.0,26.0,2.35,18.0,0.0,2.0,3.0,3.0,0.0,7.0,0.63,6.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,18.0,15.0,2.0,7.0,12.0,12.0,1.0,1.0,0.0,70.0,9.0,29.0,23.7,289.0,393.0,73.5,3992.0,899.0,159.0,191.0,83.2,98.0,127.0,77.2,10.0,29.0,34.5,4.0,1.6,0.8,2.4,9.0,18.0,4.0,0.0,27.0,30.0,1561.0,52.0,45.6,17.3,16.0,79.0,7.0,14.0,22.0,3.0,1.2,14.0,21.0,-7.0,-0.4,-0.65,19.7,18.0,1.7,0.1,0.02,549.0,22.0,108.0,274.0,179.0,34.0,549.0,23.0,15.0,65.2,8.0,34.8,305.0,1661.0,867.0,22.0,16.0,3.0,26.0,9.0,339.0,44.0,2.0,19.0,8.0,42.1,1.72,0.72,0.11,0.25,20.0,0.0,0.0,0.0,2.1,2.1,0.11,-0.1,-0.1,,0
351,Vitaliy Mykolenko,UKR,DF,Everton,1999.0,25.0,15.0,15.0,7.0,3.0,12.0,21.0,57.1,9.0,15.0,2.0,13.0,16.0,41.0,37.0,0.0,16.0,1.36,10.0,5.0,0.0,0.0,1.0,0.0,3.0,0.26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,41.0,16.0,15.0,1.0,0.0,0.0,64.0,10.0,12.0,45.5,319.0,465.0,68.6,4900.0,2092.0,188.0,216.0,87.0,96.0,155.0,61.9,25.0,66.0,37.9,0.0,0.8,0.8,-0.8,8.0,21.0,7.0,5.0,27.0,30.0,1786.0,60.0,52.2,19.8,19.0,82.0,7.0,11.0,20.0,6.0,1.3,32.0,29.0,3.0,0.15,-0.18,28.5,29.9,-1.5,-0.07,-0.04,603.0,43.0,197.0,212.0,200.0,13.0,603.0,9.0,3.0,33.3,6.0,66.7,227.0,999.0,433.0,8.0,6.0,1.0,11.0,4.0,241.0,27.0,1.0,8.0,2.0,25.0,0.68,0.17,0.13,0.5,19.0,0.0,0.0,0.0,0.5,0.5,0.06,0.5,0.5,,0
352,Marvelous Nakamba,ZIM,MF,Aston Villa,1994.0,32.0,19.0,18.0,14.0,0.0,12.0,34.0,35.3,22.0,14.0,4.0,10.0,12.0,44.0,17.0,1.0,10.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,9.0,0.0,1.0,12.0,19.0,0.0,0.0,0.0,82.0,10.0,12.0,45.5,327.0,385.0,84.9,4835.0,1518.0,187.0,219.0,85.4,114.0,129.0,88.4,18.0,21.0,85.7,0.0,0.0,0.2,0.0,2.0,33.0,1.0,0.0,24.0,33.0,2828.0,86.0,82.7,31.4,33.0,86.0,27.0,0.0,0.0,2.0,2.52,87.0,23.0,64.0,2.04,0.67,74.7,19.8,54.9,1.75,0.36,494.0,40.0,161.0,287.0,51.0,0.0,494.0,16.0,14.0,87.5,2.0,12.5,279.0,1135.0,423.0,5.0,5.0,0.0,14.0,10.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0
353,Wilfred Ndidi,NGA,MF|DF,Leicester City,1996.0,60.0,32.0,32.0,27.0,1.0,22.0,55.0,40.0,33.0,36.0,8.0,28.0,42.0,102.0,54.0,1.0,18.0,1.0,13.0,0.0,0.0,3.0,1.0,1.0,2.0,0.11,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,30.0,22.0,1.0,1.0,42.0,32.0,0.0,2.0,0.0,165.0,42.0,32.0,56.8,746.0,935.0,79.8,11258.0,3104.0,393.0,465.0,84.5,279.0,332.0,84.0,41.0,65.0,63.1,0.0,0.0,0.2,0.0,2.0,36.0,4.0,0.0,57.0,26.0,2058.0,79.0,60.2,22.9,22.0,89.0,21.0,4.0,25.0,8.0,1.08,25.0,44.0,-19.0,-0.83,-0.9,20.3,41.2,-20.9,-0.91,-1.04,1196.0,97.0,423.0,653.0,134.0,17.0,1196.0,17.0,11.0,64.7,6.0,35.3,600.0,2471.0,992.0,14.0,10.0,1.0,25.0,15.0,659.0,13.0,0.0,14.0,4.0,28.6,0.78,0.22,0.0,0.0,19.7,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,,0
354,Tanguy Ndombele,FRA,MF,Tottenham,1996.0,10.0,7.0,3.0,5.0,2.0,1.0,8.0,12.5,7.0,5.0,0.0,5.0,1.0,11.0,1.0,0.0,15.0,2.79,10.0,0.0,1.0,2.0,2.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,27.0,2.0,1.0,66.7,230.0,267.0,86.1,3175.0,787.0,124.0,136.0,91.2,78.0,90.0,86.7,10.0,13.0,76.9,1.0,0.4,0.5,0.6,4.0,22.0,3.0,0.0,21.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,9.0,,,,,,0.0,,,,,0.0,339.0,5.0,43.0,211.0,92.0,11.0,339.0,20.0,11.0,55.0,9.0,45.0,216.0,1172.0,531.0,14.0,19.0,5.0,20.0,20.0,272.0,25.0,1.0,9.0,3.0,33.3,1.67,0.56,0.11,0.33,17.4,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,,0
355,Reiss Nelson,ENG,FW,Arsenal,1999.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,13.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,12.0,66.7,66.0,0.0,7.0,10.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,,,0.0,16.0,0.0,0.0,5.0,11.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,,0
356,Pedro Neto,POR,FW|MF,Wolves,2000.0,4.0,4.0,2.0,0.0,2.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,6.0,10.0,1.0,0.0,25.0,4.82,11.0,4.0,3.0,2.0,3.0,2.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,1.0,37.0,6.0,4.0,0.0,0.0,0.0,21.0,3.0,6.0,33.3,181.0,237.0,76.4,2805.0,542.0,97.0,106.0,91.5,61.0,82.0,74.4,13.0,29.0,44.8,1.0,1.0,0.9,0.0,13.0,4.0,4.0,2.0,10.0,33.0,2265.0,69.0,66.2,25.2,27.0,79.0,15.0,6.0,21.0,4.0,0.55,17.0,55.0,-38.0,-1.51,0.28,21.9,51.5,-29.6,-1.18,-0.12,308.0,1.0,21.0,117.0,174.0,24.0,308.0,23.0,12.0,52.2,11.0,47.8,206.0,1499.0,719.0,27.0,22.0,10.0,21.0,12.0,237.0,49.0,1.0,17.0,4.0,23.5,3.28,0.77,0.06,0.25,19.7,1.0,0.0,0.0,1.5,1.5,0.09,-0.5,-0.5,,0
