Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
87,Nathaniel Clyne,ENG,DF,Liverpool,27,1991,1.2,0,0,0,0,2,0,3,2,3,0,0,0,6,1,0,100.0
88,Conor Coady,ENG,DF,Wolves,25,1993,38.0,5,0,0,10,9,0,0,30,19,0,0,3,251,32,23,58.2
89,Joel Coleman,ENG,GK,Huddersfield,22,1995,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,Séamus Coleman,IRL,DF,Everton,29,1988,28.4,1,0,0,22,20,3,81,26,25,0,1,1,169,44,31,58.7
91,Lewis Cook,ENG,MF,Bournemouth,21,1997,8.0,2,0,0,12,5,0,10,8,6,0,0,0,60,5,10,33.3
92,Steve Cook,ENG,DF,Bournemouth,27,1991,31.0,3,0,0,18,27,1,11,50,19,0,1,1,144,121,75,61.7
93,Jack Cork,ENG,MF,Burnley,29,1989,36.8,6,0,0,30,38,4,14,29,27,0,0,0,219,51,78,39.5
94,Hélder Costa,ANG,FW|MF,Wolves,24,1994,14.9,3,0,0,20,23,6,50,9,14,0,0,0,76,10,35,22.2
95,Aaron Cresswell,ENG,DF,West Ham,28,1989,17.7,1,0,0,2,12,1,75,23,16,0,0,0,85,25,18,58.1
96,Peter Crouch,ENG,FW,Burnley,37,1981,1.0,1,0,0,3,0,0,0,0,1,0,0,0,3,18,9,66.7
97,Greg Cunningham,IRL,DF,Cardiff City,27,1991,7.0,3,0,0,8,13,0,7,17,7,0,0,0,29,4,8,33.3
98,Diogo Dalot,POR,DF|FW,Manchester Utd,19,1999,11.3,3,0,0,12,2,2,50,10,12,0,1,0,53,22,5,81.5
99,Matty Daly,ENG,MF,Huddersfield,17,2001,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
100,Loïc Damour,FRA,MF,Cardiff City,27,1991,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
101,Charlie Daniels,ENG,DF,Bournemouth,31,1986,17.6,4,0,0,7,7,0,27,20,15,0,0,0,108,29,25,53.7
102,Danilo,BRA,DF,Manchester City,27,1991,9.0,1,0,0,10,8,0,12,15,16,0,0,0,64,18,14,56.3
