Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
63,Brandon Borrello,AUS,MF|FW,Freiburg,24,1995,3.3,132,2,19,62,51,8,132,9,5,55.6,4,44.4,94,523,168,6,5,1,18,10,89,23
64,Nassim Boujellab,MAR,MF|FW,Schalke 04,20,1999,4.7,204,8,44,108,54,11,204,3,0,0.0,3,100.0,106,589,235,5,3,2,13,5,121,16
65,Dedryck Boyata,BEL,DF,Hertha BSC,28,1990,27.1,1688,226,929,722,44,28,1688,10,9,90.0,1,10.0,961,5070,2674,11,2,0,8,4,1105,4
66,Can Bozdogan,GER,MF,Schalke 04,18,2001,2.6,106,3,27,55,31,0,106,12,9,75.0,3,25.0,68,488,276,5,7,0,6,4,61,6
67,Julian Brandt,GER,MF|FW,Dortmund,23,1996,24.5,1951,16,259,1051,656,83,1951,92,66,71.7,26,28.3,1301,6501,2629,59,61,16,64,48,1607,183
68,Josip Brekalo,CRO,MF|FW,Wolfsburg,21,1998,18.6,1076,11,79,482,528,67,1076,82,38,46.3,44,53.7,685,4755,2324,82,63,33,51,44,768,146
69,John Brooks,USA,DF,Wolfsburg,26,1993,24.7,1490,147,762,690,43,29,1490,4,3,75.0,1,25.0,813,4260,2482,14,1,1,12,2,829,6
70,Daniel Brosinski,GER,DF,Mainz 05,31,1988,19.0,1268,56,340,481,462,17,1267,18,8,44.4,10,55.6,511,2918,1747,43,35,8,17,3,548,88
71,Jeffrey Bruma,NED,DF,Wolfsburg,27,1991,9.0,422,50,234,180,12,9,422,2,1,50.0,1,50.0,186,1050,463,2,0,0,4,1,209,0
72,Jeffrey Bruma,NED,DF,Mainz 05,27,1991,7.5,399,53,207,184,11,7,399,2,2,100.0,0,0.0,212,1361,717,3,1,0,3,1,223,0
73,Jacob Bruun Larsen,DEN,FW|MF,Hoffenheim,20,1998,4.3,181,1,30,71,86,29,181,22,13,59.1,9,40.9,124,1038,479,19,7,13,12,5,125,31
74,Jacob Bruun Larsen,DEN,FW,Dortmund,20,1998,0.8,37,0,3,13,23,7,37,2,1,50.0,1,50.0,26,170,62,2,1,0,4,0,31,8
75,Marius Bülter,GER,MF|FW,Union Berlin,26,1993,25.8,1006,24,188,432,408,69,1006,106,55,51.9,51,48.1,596,3959,1773,70,44,23,69,46,613,132
76,Guido Burgstaller,AUT,FW,Schalke 04,30,1989,13.7,454,12,21,194,241,64,454,23,12,52.2,11,47.8,243,1032,349,16,11,6,44,31,321,93
