Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
18,Carles Aleñá,ESP,MF|FW,Getafe,24,1998,23.5,44,1.87,30,2,1,2,9,0,4,0.17,4,0,0,0,0,0
19,Alejandro Alfaro,ESP,MF,Elche,20,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Ángel Algobia,ESP,MF,Getafe,23,1999,12.6,16,1.27,13,0,1,2,0,0,1,0.08,1,0,0,0,0,0
21,Mohamed Ali Cho,FRA,FW|MF,Real Sociedad,18,2004,6.5,19,2.90,12,1,2,2,1,1,2,0.31,2,0,0,0,0,0
22,Domingos André Ribeiro Almeida,POR,MF,Valencia,22,2000,28.2,91,3.22,67,17,1,1,2,3,5,0.18,3,2,0,0,0,0
23,Marcos Alonso,ESP,DF,Barcelona,31,1990,13.0,14,1.08,13,0,0,1,0,0,1,0.08,1,0,0,0,0,0
24,Carlos Álvarez,ESP,MF,Sevilla,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Gastón Álvarez,URU,DF,Getafe,22,2000,16.7,16,0.96,9,5,0,1,0,1,1,0.06,1,0,0,0,0,0
26,Yeray Álvarez,ESP,DF,Athletic Club,27,1995,25.9,28,1.08,24,1,0,1,1,1,2,0.08,2,0,0,0,0,0
27,Selim Amallah,MAR,MF|FW,Valladolid,25,1996,3.0,11,3.69,5,0,4,0,0,2,2,0.67,1,0,1,0,0,0
28,Amath,SEN,MF|FW,Mallorca,26,1996,13.6,24,1.76,11,0,5,4,3,1,3,0.22,1,0,1,0,1,0
29,Jordan Amavi,FRA,DF,Getafe,28,1994,2.2,2,0.90,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0
30,Marcos André,BRA,FW|MF,Valencia,25,1996,5.0,12,2.42,8,0,3,1,0,0,0,0.00,0,0,0,0,0,0
31,Fabrizio Angileri,ARG,DF,Getafe,28,1994,6.5,5,0.77,3,0,1,0,0,1,2,0.31,1,0,0,0,0,1
32,Josep Antoni Gayá,ESP,DF|MF,Mallorca,22,2000,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
33,José Antonio,ESP,MF|DF,Cádiz,18,2004,0.5,1,1.91,1,0,0,0,0,0,1,1.91,1,0,0,0,0,0
34,Anuar,MAR,MF|FW,Valladolid,27,1995,2.3,4,1.71,2,0,1,0,0,1,1,0.43,0,0,1,0,0,0
35,Mauro Arambarri,URU,MF,Getafe,26,1995,11.0,25,2.27,8,14,1,1,0,1,3,0.27,2,1,0,0,0,0
36,Ronald Araújo,URU,DF,Barcelona,23,1999,20.0,18,0.90,15,0,0,3,0,0,6,0.30,5,0,0,1,0,0
37,Adu Ares,ESP,FW|MF,Athletic Club,20,2001,0.9,12,13.01,7,0,2,1,2,0,0,0.00,0,0,0,0,0,0
38,Sergio Arribas,ESP,MF|FW,Real Madrid,20,2001,0.2,3,14.21,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
39,Roberto Arroyo,ESP,MF,Valladolid,18,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
40,Ricard Artero,ESP,MF|FW,Girona,19,2003,1.5,1,0.68,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Santiago Arzamendia,PAR,DF|MF,Cádiz,24,1998,5.4,11,2.05,8,2,1,0,0,0,0,0.00,0,0,0,0,0,0
42,Sergio Asenjo,ESP,GK,Valladolid,33,1989,10.0,2,0.20,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
43,Marco Asensio,ESP,FW|MF,Real Madrid,26,1996,16.0,76,4.74,47,16,6,4,3,0,12,0.75,7,2,2,0,1,0
44,Iago Aspas,ESP,FW,Celta Vigo,34,1987,31.9,141,4.42,110,8,5,8,9,1,8,0.25,8,0,0,0,0,0
45,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,33,1989,0.1,1,10.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
46,Ludwig Augustinsson,SWE,DF,Mallorca,28,1994,1.5,2,1.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
47,Ezequiel Ávila,ARG,FW|MF,Osasuna,28,1994,19.0,41,2.16,28,2,4,4,2,1,2,0.11,1,0,0,1,0,0
48,Iddrisu Baba,GHA,MF|DF,Mallorca,26,1996,18.9,13,0.67,10,0,0,1,1,1,1,0.05,0,0,0,1,0,0
49,Srđan Babić,SRB,DF,Almería,26,1996,33.3,20,0.60,18,0,0,2,0,0,1,0.03,0,0,0,1,0,0
50,Loïc Bade,FRA,DF,Sevilla,22,2000,16.1,3,0.19,2,1,0,0,0,0,1,0.06,0,1,0,0,0,0
51,Édgar Badía,ESP,GK,Elche,30,1992,36.0,3,0.08,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
52,Alex Baena,ESP,MF|FW,Villarreal,21,2001,21.6,79,3.65,58,0,8,8,5,0,8,0.37,5,0,0,2,1,0
53,Alejandro Balde,ESP,DF,Barcelona,18,2003,27.5,66,2.40,50,0,8,2,5,1,8,0.29,8,0,0,0,0,0
