Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
22,Domingos André Ribeiro Almeida,POR,MF,Valencia,22,2000,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6
23,Marcos Alonso,ESP,DF,Barcelona,31,1990,13.0,3,0,0,10,8,0,23,11,10,0,1,0,85,26,10,72.2
24,Carlos Álvarez,ESP,MF,Sevilla,18,2003,0.1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
25,Gastón Álvarez,URU,DF,Getafe,22,2000,16.7,7,1,0,27,12,0,23,15,30,0,1,0,53,31,31,50.0
26,Yeray Álvarez,ESP,DF,Athletic Club,27,1995,25.9,7,1,0,22,22,1,9,48,23,0,2,0,194,55,39,58.5
27,Selim Amallah,MAR,MF|FW,Valladolid,25,1996,3.0,2,1,0,10,8,1,2,5,9,0,0,0,10,7,8,46.7
28,Amath,SEN,MF|FW,Mallorca,26,1996,13.6,2,1,0,35,24,7,16,5,19,1,0,0,62,8,19,29.6
29,Jordan Amavi,FRA,DF,Getafe,28,1994,2.2,2,1,1,3,2,1,6,4,2,0,0,0,15,8,3,72.7
30,Marcos André,BRA,FW|MF,Valencia,25,1996,5.0,2,1,0,9,12,1,1,0,1,0,0,0,9,10,15,40.0
31,Fabrizio Angileri,ARG,DF,Getafe,28,1994,6.5,2,1,0,7,1,0,12,7,9,0,1,0,19,17,10,63.0
32,Josep Antoni Gayá,ESP,DF|MF,Mallorca,22,2000,1.1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,50.0
33,José Antonio,ESP,MF|DF,Cádiz,18,2004,0.5,0,0,0,0,4,0,1,0,1,0,0,0,2,0,0,
34,Anuar,MAR,MF|FW,Valladolid,27,1995,2.3,1,0,0,3,6,1,1,3,4,0,0,0,10,2,5,28.6
35,Mauro Arambarri,URU,MF,Getafe,26,1995,11.0,5,1,1,21,11,0,42,14,6,0,0,1,63,15,12,55.6
36,Ronald Araújo,URU,DF,Barcelona,23,1999,20.0,5,1,0,16,17,1,5,12,18,0,0,1,94,46,27,63.0
37,Adu Ares,ESP,FW|MF,Athletic Club,20,2001,0.9,0,0,0,2,8,0,8,2,2,0,0,0,7,3,0,100.0
38,Sergio Arribas,ESP,MF|FW,Real Madrid,20,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
39,Roberto Arroyo,ESP,MF,Valladolid,18,2003,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
40,Ricard Artero,ESP,MF|FW,Girona,19,2003,1.5,0,0,0,2,1,0,0,1,3,0,0,0,8,2,2,50.0
41,Santiago Arzamendia,PAR,DF|MF,Cádiz,24,1998,5.4,0,0,0,4,2,1,14,2,8,0,0,0,46,6,6,50.0
42,Sergio Asenjo,ESP,GK,Valladolid,33,1989,10.0,0,0,0,0,4,0,0,0,0,0,0,0,22,0,0,
43,Marco Asensio,ESP,FW|MF,Real Madrid,26,1996,16.0,1,0,0,10,16,4,82,5,10,1,1,0,45,3,2,60.0
44,Iago Aspas,ESP,FW,Celta Vigo,34,1987,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.8
45,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,33,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
46,Ludwig Augustinsson,SWE,DF,Mallorca,28,1994,1.5,0,0,0,1,1,0,6,1,1,0,0,0,13,4,1,80.0
47,Ezequiel Ávila,ARG,FW|MF,Osasuna,28,1994,19.0,7,1,0,25,35,14,81,8,5,0,0,0,54,35,50,41.2
48,Iddrisu Baba,GHA,MF|DF,Mallorca,26,1996,18.9,5,0,0,31,30,0,0,11,17,0,0,0,122,37,28,56.9
49,Srđan Babić,SRB,DF,Almería,26,1996,33.3,5,0,0,24,9,2,2,29,18,0,0,0,136,71,46,60.7
50,Loïc Bade,FRA,DF,Sevilla,22,2000,16.1,4,0,0,13,4,0,4,23,20,0,0,0,97,34,27,55.7
51,Édgar Badía,ESP,GK,Elche,30,1992,36.0,2,0,0,1,6,0,0,0,0,0,1,0,33,8,1,88.9
52,Alex Baena,ESP,MF|FW,Villarreal,21,2001,21.6,13,1,1,58,56,3,26,7,17,1,1,0,100,1,26,3.7
53,Alejandro Balde,ESP,DF,Barcelona,18,2003,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4
54,Mikel Balenziaga,ESP,DF,Athletic Club,34,1988,1.3,0,0,0,3,0,0,3,1,4,0,0,0,6,0,0,
55,Iván Balliu,ALB,DF,Rayo Vallecano,30,1992,35.9,6,0,0,42,34,7,105,25,29,0,2,2,145,29,37,43.9
56,Léo Baptistão,BRA,FW|MF,Almería,29,1992,19.2,7,0,0,30,23,10,18,19,20,0,0,0,104,27,40,40.3
57,Keidi Bare,ALB,MF,Espanyol,24,1997,5.6,0,0,0,11,13,0,6,11,8,0,0,0,25,5,9,35.7
58,Kike Barja,ESP,FW|MF,Osasuna,25,1997,14.6,1,0,0,18,15,7,110,4,9,0,0,0,65,8,11,42.1
59,Ander Barrenetxea,ESP,FW|DF,Real Sociedad,20,2001,9.8,4,0,0,23,14,0,13,5,15,0,0,0,74,11,15,42.3
60,Pablo Barrios,ESP,MF,Atlético Madrid,19,2003,8.0,4,0,0,7,12,0,6,9,10,0,0,0,49,6,9,40.0
61,Rodrigo Battaglia,ARG,MF,Mallorca,31,1991,7.6,5,0,0,11,11,0,1,5,5,0,2,0,29,11,8,57.9
62,Bebé,CPV,FW,Rayo Vallecano,32,1990,0.7,1,0,0,2,2,0,16,0,0,0,0,0,6,0,1,0.0
63,Héctor Bellerín,ESP,DF,Barcelona,27,1995,1.6,0,0,0,2,0,0,3,3,0,0,0,0,10,3,0,100.0
64,Fran Beltrán,ESP,MF,Celta Vigo,23,1999,31.7,4,0,0,26,16,2,51,53,22,0,1,0,196,18,48,27.3
65,Iker Benito,ESP,FW|MF,Osasuna,19,2002,2.0,0,0,0,2,2,1,6,2,3,0,0,0,14,1,4,20.0
66,Karim Benzema,FRA,FW,Real Madrid,34,1987,22.6,1,0,0,10,6,22,3,2,5,2,0,0,35,14,13,51.9
67,Yuri Berchiche,ESP,DF,Athletic Club,32,1990,26.7,9,1,1,31,33,5,66,40,32,1,1,0,173,51,26,66.2
68,Álex Berenguer,ESP,FW,Athletic Club,27,1995,25.5,2,0,0,48,25,19,162,10,37,0,0,0,114,35,42,45.5
69,Pedro Bigas,ESP,DF,Elche,31,1990,22.4,4,2,0,17,16,0,5,33,20,1,1,0,123,42,19,68.9
70,El Bilal Touré,MLI,FW,Almería,20,2001,14.0,0,0,0,25,7,13,4,1,3,0,0,0,46,44,46,48.9
71,Lautaro Blanco,ARG,DF|MF,Elche,23,1999,9.7,2,0,0,7,2,2,86,2,9,0,0,0,49,0,8,0.0
