Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
95,Davide Calabria,ITA,DF,Milan,25,1996,18.8,6,0,0,16,15,1,41,25,44,1,1,0,122,13,12,52.0
96,Mattia Caldara,ITA,DF,Spezia,28,1994,13.9,6,0,0,16,10,1,1,17,14,0,1,1,93,35,24,59.3
97,Luca Caldirola,ITA,DF,Monza,31,1991,26.1,6,0,0,30,26,0,5,25,14,0,0,0,95,34,32,51.5
98,Hakan Çalhanoğlu,TUR,MF,Inter,28,1994,26.3,3,0,0,46,26,2,167,25,27,0,0,0,193,14,15,48.3
99,Mohamed Camara,GUI,MF,Roma,25,1997,7.7,3,0,0,15,7,0,6,10,10,0,0,0,59,15,8,65.2
100,Nicolò Cambiaghi,ITA,FW|MF,Empoli,21,2000,14.3,5,1,1,25,60,1,41,9,22,1,0,0,64,3,15,16.7
101,Andrea Cambiaso,ITA,DF,Bologna,22,2000,24.1,2,0,0,26,30,5,56,26,34,0,0,0,154,3,24,11.1
102,Matteo Cancellieri,ITA,FW,Lazio,20,2002,2.8,4,0,0,14,10,5,7,1,4,1,0,0,14,4,3,57.1
103,Antonio Candreva,ITA,MF|DF,Salernitana,35,1987,30.3,3,1,1,7,35,10,218,17,7,0,1,0,135,2,5,28.6
104,Gianluca Caprari,ITA,MF|FW,Monza,29,1993,27.1,7,0,0,34,50,9,76,8,6,0,0,0,101,6,21,22.2
105,Francesco Caputo,ITA,FW,Sampdoria,34,1987,12.2,0,0,0,5,24,11,3,1,1,0,0,0,18,6,21,22.2
106,Francesco Caputo,ITA,FW,Empoli,34,1987,19.0,1,0,0,13,22,23,6,2,2,0,0,0,36,17,29,37.0
107,Andrea Carboni,ITA,DF,Monza,21,2001,1.9,0,0,0,1,1,0,5,3,2,0,0,0,8,0,3,0.0
108,Franco Carboni,ITA,DF|FW,Monza,19,2003,0.7,0,0,0,2,0,0,9,1,1,0,0,0,7,1,1,50.0
