,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
30,Eric Bailly,CIV,DF,Manchester Utd,1994,2.4,5,4,4,0,1,3,4,1,4,2,2,3,8,11,0,1,0.41,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,4,0,0,1,10,6,2,68,85,80.0,1229,484,28,31,36,40,4,13,0,0.0,0.0,0.0,0,3,0,0,5,114,25,73,38,3,0,114,1,0,1,55,340,155,1,0,0,3,1,59,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
31,Folarin Balogun,USA,FW,Arsenal,2001,0.8,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3,4,9,44.4,46,7,3,4,1,3,0,0,0,0.0,0.0,0.0,0,0,0,0,0,22,1,2,7,13,6,22,2,0,2,8,22,8,0,0,0,4,0,14,4,0,3,0,3.86,0.0,0.0,0.0,14.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,2
32,Patrick Bamford,ENG,FW,Leeds United,1993,6.2,1,0,0,1,0,0,3,3,8,2,6,2,3,8,0,13,2.09,9,0,1,2,1,0,3,0.48,2,0,1,0,0,0,2,0,0,5,5,5,3,2,0,0,0,0,12,5,14,88,108,81.5,1103,200,60,68,20,25,3,6,2,1.1,0.4,0.9,5,5,6,1,12,173,10,15,83,76,33,173,7,4,3,92,486,196,8,4,3,18,3,111,24,2,20,5,3.22,0.81,0.1,0.4,14.0,0,0,0,3.0,3.0,0.15,-1.0,-1.0,2
33,Shandon Baptiste,GRN,MF,Brentford,1998,10.1,14,4,9,4,1,6,15,9,10,0,10,11,25,12,0,21,2.07,16,0,4,1,0,0,1,0.1,1,0,0,0,0,0,2,1,1,6,11,1,8,11,4,0,0,0,62,7,18,257,308,83.4,3885,900,140,156,85,99,17,30,0,0.5,0.5,-0.5,9,21,6,1,35,418,15,83,216,126,15,418,28,19,9,252,1225,603,14,13,4,21,12,269,29,1,12,4,1.19,0.4,0.08,0.25,20.1,0,0,0,0.7,0.7,0.06,0.3,0.3,2
34,Ross Barkley,ENG,MF|FW,Chelsea,1993,2.0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,18,9.0,13,3,1,1,0,0,3,1.5,3,0,0,0,0,0,0,0,0,2,4,0,7,1,0,0,0,0,17,6,2,106,128,82.8,1633,369,59,66,32,39,9,11,0,0.5,0.7,-0.5,8,6,7,0,14,153,0,6,49,98,7,153,8,7,1,94,715,373,14,10,0,3,7,124,17,1,9,4,4.53,2.01,0.11,0.25,22.3,0,0,0,1.0,1.0,0.11,0.0,0.0,2
35,Ashley Barnes,ENG,FW,Burnley,1989,9.0,11,2,2,7,2,2,9,7,8,1,7,2,13,5,0,18,2.0,12,0,0,3,3,0,1,0.11,1,0,0,0,0,0,4,0,0,21,12,9,2,2,2,0,1,0,34,49,65,122,198,61.6,1577,452,81,108,30,52,5,10,0,0.9,1.0,-0.9,8,21,5,1,17,302,6,22,163,120,25,301,8,5,3,139,530,215,5,5,1,37,22,224,47,1,15,5,1.67,0.56,0.0,0.0,17.3,0,1,1,2.1,1.4,0.09,-1.1,-1.4,2
37,Lewis Bate,ENG,MF,Leeds United,2002,1.6,1,0,0,0,1,0,8,8,1,0,1,1,2,1,0,3,1.85,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,8,0,2,45,61,73.8,654,199,23,30,15,17,3,5,0,0.0,0.0,0.0,0,2,0,0,6,86,3,27,51,9,0,86,5,1,4,47,267,57,0,2,0,9,2,53,1,0,1,0,0.62,0.0,0.0,0.0,28.9,0,0,0,0.0,0.0,0.01,0.0,0.0,2
38,Mads Bech Sørensen,DEN,DF,Brentford,1999,9.3,8,7,6,2,0,6,7,1,9,6,3,6,14,25,0,11,1.19,4,7,0,0,0,0,0,0.0,0,0,0,0,0,0,3,0,0,8,4,0,10,6,7,0,1,0,41,9,4,393,514,76.5,7386,3006,143,161,209,262,37,75,0,0.4,0.3,-0.4,7,19,4,3,20,576,65,291,218,71,6,576,1,0,1,296,1631,1014,9,4,0,2,0,325,4,0,2,0,0.22,0.0,0.0,0.0,12.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2
40,Donny van de Beek,NED,MF,Manchester Utd,1997,0.8,6,4,4,1,1,1,2,1,5,1,4,2,8,1,0,6,7.2,5,0,1,0,0,0,1,1.2,1,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,0,7,1,2,26,34,76.5,348,170,18,21,5,6,1,1,0,0.4,0.2,-0.4,3,2,3,0,4,56,2,22,19,17,3,56,5,1,4,25,116,27,0,1,0,3,3,31,4,1,2,1,2.4,1.2,0.5,1.0,9.0,0,0,0,0.5,0.5,0.24,0.5,0.5,2
41,Donny van de Beek,NED,MF,Everton,1997,5.4,15,7,8,6,1,6,13,7,6,2,4,6,21,4,0,8,1.49,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0,7,1,0,6,6,7,0,0,0,35,7,5,206,250,82.4,2732,712,112,128,73,85,3,12,0,0.1,0.2,-0.1,2,21,3,0,20,306,11,56,179,74,7,306,9,3,6,149,568,264,3,4,0,5,6,180,10,1,5,1,0.93,0.19,0.2,1.0,20.5,0,0,0,1.1,1.1,0.21,-0.1,-0.1,2
42,Asmir Begović,BIH,GK,Everton,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,39,85,45.9,1601,1416,2,2,14,14,23,68,0,0.0,0.0,0.0,0,0,0,0,0,97,90,97,0,0,0,97,0,0,0,34,240,138,0,0,0,0,0,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
45,Christian Benteke,BEL,FW,Crystal Palace,1990,12.7,3,2,1,2,0,2,6,4,7,3,4,2,5,33,0,23,1.81,19,0,1,1,2,0,2,0.16,1,0,0,0,1,0,3,0,0,16,16,10,0,2,2,0,0,0,25,85,54,196,305,64.3,2718,483,116,159,54,89,10,15,1,1.3,1.0,-0.3,13,12,10,0,24,450,38,61,196,197,72,450,13,9,4,203,947,391,15,8,9,39,17,345,79,4,39,13,3.07,1.02,0.1,0.31,12.5,0,0,0,4.9,4.9,0.13,-0.9,-0.9,2
46,Jóhann Berg Guðmundsson,ISL,MF,Burnley,1990,12.2,16,6,7,7,2,5,20,15,11,2,9,12,28,22,0,23,1.88,16,0,1,4,2,0,2,0.16,2,0,0,0,0,0,2,0,0,16,14,3,44,12,6,0,0,0,71,15,20,209,341,61.3,2955,687,132,166,50,85,15,45,1,0.5,0.8,0.5,6,7,11,9,16,474,20,77,176,229,22,474,22,14,8,270,1466,653,27,20,3,15,19,295,75,0,19,5,1.55,0.41,0.0,0.0,19.9,2,0,0,1.6,1.6,0.08,-1.6,-1.6,2
47,Steven Bergwijn,NED,FW|MF,Tottenham,1997,6.3,3,2,2,1,0,1,10,9,3,0,3,1,4,8,0,21,3.35,15,1,2,1,2,0,3,0.48,1,0,1,0,1,0,1,0,0,9,9,1,8,1,2,0,0,0,22,4,5,144,177,81.4,1756,392,98,113,30,38,4,7,1,0.9,1.2,0.1,8,9,6,0,17,258,5,33,91,142,40,258,20,10,10,171,1294,728,26,16,10,28,14,203,53,3,19,10,3.03,1.59,0.16,0.3,16.3,0,0,0,2.5,2.5,0.13,0.5,0.5,2
48,Ryan Bertrand,ENG,DF,Leicester City,1989,3.7,8,5,3,4,1,2,5,3,8,3,5,1,9,7,0,2,0.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,3,1,0,12,1,5,0,0,0,11,1,8,151,191,79.1,2212,828,88,97,51,63,8,18,0,0.0,0.1,0.0,0,12,1,0,17,229,16,65,113,53,4,229,0,0,0,101,412,192,2,2,1,6,4,124,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
49,Mads Bidstrup,DEN,MF,Brentford,2001,0.5,1,0,0,1,0,0,3,3,0,0,0,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,10,13,76.9,140,31,4,5,4,5,1,1,0,0.0,0.0,0.0,0,0,0,0,0,20,2,8,10,2,0,20,0,0,0,6,21,10,0,0,0,2,1,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
51,Willy Boly,CIV,DF,Wolves,1991,10.0,25,19,18,7,0,8,15,7,14,6,8,14,39,35,0,3,0.3,2,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,7,2,1,0,14,19,0,1,0,62,20,20,468,558,83.9,8303,3409,193,209,239,268,30,67,0,0.1,0.1,-0.1,1,20,0,0,20,663,76,373,278,17,6,663,6,3,3,367,1637,853,6,7,1,3,3,432,0,0,2,1,0.2,0.1,0.0,0.0,9.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,2
53,Jarrad Branthwaite,ENG,DF,Everton,2002,4.3,4,1,3,1,0,3,8,5,3,2,1,1,5,20,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,3,4,0,0,1,1,0,0,0,24,11,5,89,117,76.1,1392,666,45,53,33,42,7,15,0,0.0,0.0,0.0,0,9,0,0,12,158,24,77,79,5,2,158,2,1,1,62,242,125,1,0,0,4,1,72,0,1,3,2,0.7,0.46,0.33,0.5,14.0,0,0,0,0.5,0.5,0.18,0.5,0.5,2
56,Lewis Brunt,ENG,MF,Leicester City,2000,0.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,21,21,100.0,365,28,10,10,10,10,1,1,0,0.0,0.0,0.0,0,1,0,0,2,26,0,0,22,4,1,26,1,1,0,22,99,36,1,0,0,1,2,22,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
58,Dan Burn,ENG,DF,Newcastle Utd,1992,16.0,16,11,11,4,1,7,11,4,22,14,8,20,36,101,0,6,0.37,6,0,0,0,0,0,1,0.06,1,0,0,0,0,0,4,0,0,11,6,5,0,20,11,0,0,0,73,68,31,459,587,78.2,8701,2825,154,186,263,304,35,82,1,0.4,0.3,0.6,4,32,0,0,31,782,129,417,326,42,22,782,0,0,0,340,1761,738,6,3,1,4,3,384,2,0,11,1,0.69,0.06,0.0,0.0,10.3,0,0,0,0.7,0.7,0.06,-0.7,-0.7,2
59,Dan Burn,ENG,DF,Brighton,1992,11.4,22,12,13,8,1,6,15,9,14,10,4,24,46,51,0,7,0.62,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0,4,0,0,15,0,0,1,24,12,0,0,0,56,32,21,523,645,81.1,10143,3167,171,205,298,331,49,90,0,0.5,0.1,-0.5,2,43,1,0,50,797,92,378,378,45,12,797,3,0,3,455,1946,1030,9,8,1,7,1,506,3,1,7,3,0.62,0.26,0.14,0.33,8.4,0,0,0,1.6,1.5,0.21,-0.6,-0.5,2
60,Jack Butland,ENG,GK,Crystal Palace,1993,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,2,214,287,74.6,4835,2860,61,61,108,108,40,113,0,0.0,0.0,0.0,0,2,0,0,0,296,259,295,1,0,0,296,0,0,0,162,755,337,0,0,0,0,0,138,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
61,Sam Byram,ENG,DF,Norwich City,1993,11.4,24,15,17,6,1,19,27,8,21,11,10,22,46,48,0,11,0.96,6,1,1,2,1,0,2,0.18,0,0,0,1,1,0,3,0,0,12,4,0,9,22,15,0,1,0,57,28,28,393,515,76.3,5981,1974,219,248,144,197,17,36,0,0.2,0.3,-0.2,4,15,2,0,23,669,82,309,250,115,15,669,8,3,5,317,1495,692,11,7,2,8,4,332,16,0,7,1,0.61,0.09,0.0,0.0,10.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,2
62,Willy Caballero,ARG,GK,Southampton,1981,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,37,60,61.7,1320,1119,6,6,12,12,19,42,0,0.0,0.0,0.0,0,1,0,0,0,69,47,69,0,0,0,69,0,0,0,31,215,112,0,0,0,0,0,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
63,Moisés Caicedo,ECU,MF,Brighton,2001,7.3,16,10,7,7,2,5,12,7,18,4,14,10,26,7,0,13,1.77,10,0,1,1,0,1,3,0.41,3,0,0,0,0,0,2,0,0,7,11,1,0,10,10,0,0,0,56,9,4,225,275,81.8,3117,843,144,164,59,75,12,17,1,0.3,0.4,0.7,4,19,2,0,22,358,21,81,193,91,13,358,10,7,3,179,736,405,9,9,1,10,10,206,8,1,10,4,1.36,0.55,0.1,0.25,18.4,0,0,0,0.8,0.8,0.09,0.2,0.2,2
64,Dominic Calvert-Lewin,ENG,FW,Everton,1997,14.3,11,8,1,6,4,3,8,5,5,2,3,3,14,12,0,30,2.1,22,0,2,1,4,1,4,0.28,3,0,0,0,1,0,2,0,0,17,16,4,2,3,8,1,0,0,34,94,93,167,280,59.6,1807,408,111,169,31,51,3,4,2,1.6,1.2,0.4,10,10,4,0,17,448,15,41,194,213,52,445,11,2,9,194,879,217,9,3,2,50,13,328,50,5,30,11,2.1,0.77,0.1,0.27,13.8,0,2,3,6.5,4.2,0.14,-1.5,-1.2,2
65,Chem Campbell,WAL,MF,Wolves,2002,0.1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6.92,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,10,90.0,90,14,8,9,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,11,0,0,3,8,1,11,0,0,0,5,30,11,0,0,0,0,0,9,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
68,Todd Cantwell,ENG,FW|MF,Norwich City,1998,4.9,15,13,8,6,1,6,17,11,2,0,2,3,18,2,0,10,2.04,9,0,0,0,1,0,1,0.2,1,0,0,0,0,0,2,0,0,4,12,2,3,3,13,0,0,0,22,3,4,130,157,82.8,1766,386,84,93,35,43,5,10,0,0.1,0.4,-0.1,2,13,2,0,10,205,4,48,102,56,5,205,10,5,5,128,604,200,2,5,1,15,8,143,17,0,5,0,1.02,0.0,0.0,0.0,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,2
71,Jonny Castro,ESP,DF,Wolves,1994,11.4,25,15,13,11,1,11,20,9,14,3,11,13,38,11,0,27,2.37,22,0,1,0,2,2,0,0.0,0,0,0,0,0,0,1,0,0,10,16,0,14,13,15,0,0,0,49,11,7,509,610,83.4,7860,2250,280,317,188,218,31,42,0,1.3,0.7,-1.3,11,20,7,4,35,735,22,194,348,202,21,735,25,14,11,404,2109,1081,25,16,9,21,20,483,56,2,10,5,0.88,0.44,0.2,0.4,18.9,0,0,0,1.0,1.0,0.1,1.0,1.0,2
73,Edinson Cavani,URU,FW,Manchester Utd,1987,8.5,4,1,0,3,1,2,8,6,6,0,6,2,6,8,0,11,1.29,8,0,0,2,1,0,2,0.23,1,0,0,1,0,0,0,0,0,7,5,6,2,2,1,0,0,0,22,7,17,176,233,75.5,2277,238,105,129,43,59,7,11,1,1.2,0.9,-0.2,7,4,2,0,9,298,12,54,131,114,30,298,5,4,1,144,358,111,2,5,2,12,4,217,32,2,18,6,2.11,0.7,0.11,0.33,12.6,0,0,0,3.4,3.4,0.2,-1.4,-1.4,2
74,Kayky Chagas,BRA,FW,Manchester City,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,100.0,21,0,2,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,0,3,38,20,1,1,0,1,0,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
76,Calum Chambers,ENG,DF,Arsenal,1995,1.9,5,3,3,1,1,3,4,1,6,3,3,0,5,10,0,1,0.53,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,3,0,0,0,14,2,1,77,97,79.4,1255,366,45,50,23,28,9,15,0,0.1,0.0,-0.1,1,5,1,1,7,123,17,51,56,17,1,123,0,0,0,60,164,81,0,1,0,1,1,67,5,0,2,0,1.06,0.0,0.0,0.0,20.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2
77,Calum Chambers,ENG,DF,Aston Villa,1995,9.2,16,8,10,6,0,4,6,2,14,8,6,5,21,42,0,11,1.19,10,0,0,1,0,0,1,0.11,1,0,0,0,0,0,1,0,0,12,2,0,2,5,8,0,0,0,49,26,25,399,483,82.6,7729,3032,139,154,218,240,39,76,0,0.1,0.4,-0.1,2,31,5,0,31,573,100,328,224,25,8,573,1,0,1,344,1525,910,3,1,0,3,1,356,1,1,3,1,0.32,0.11,0.33,1.0,14.6,0,0,0,0.2,0.2,0.06,0.8,0.8,2
