,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
57,Emi Buendía,ARG,MF|FW,Aston Villa,1996,21.1,38,18,16,13,9,21,51,30,21,3,18,9,47,11,0,83,3.93,65,3,7,3,5,0,10,0.47,7,0,2,1,0,0,1,0,0,17,44,3,34,9,18,0,1,0,110,19,35,711,902,78.8,10017,2688,418,482,199,248,42,79,6,5.8,4.2,0.2,48,71,43,3,117,1146,27,134,548,476,69,1146,64,40,24,673,3378,1622,40,41,7,42,41,806,84,4,44,13,2.09,0.62,0.09,0.31,17.9,0,0,0,3.4,3.4,0.08,0.6,0.6,0
66,João Cancelo,POR,DF,Manchester City,1994,35.9,83,54,33,35,15,46,91,45,25,3,22,59,142,45,1,126,3.51,98,1,8,16,2,1,18,0.5,13,1,1,3,0,0,7,0,0,34,26,2,124,59,54,0,0,0,217,57,51,2809,3365,83.5,44538,12620,1610,1732,938,1130,208,346,7,5.4,6.6,1.6,39,308,96,12,357,3769,67,618,1931,1245,101,3769,106,56,50,2411,11313,5785,125,129,36,45,24,2749,270,1,81,23,2.26,0.64,0.01,0.04,22.0,1,0,0,4.0,4.0,0.05,-3.0,-3.0,0
93,Maxwel Cornet,CIV,FW|MF,Burnley,1996,19.6,16,9,7,5,4,7,15,8,13,4,9,10,26,14,0,34,1.73,22,3,1,3,5,0,7,0.36,2,1,1,1,2,0,2,0,0,20,20,26,55,10,9,2,0,0,81,24,45,281,437,64.3,3679,860,168,222,68,99,15,48,1,1.7,1.7,-0.7,15,15,14,4,30,664,17,95,212,364,81,663,38,13,25,355,1771,790,28,13,11,61,33,424,125,9,46,22,2.34,1.12,0.2,0.41,16.9,4,0,1,6.7,5.9,0.13,2.3,3.1,0
96,Philippe Coutinho,BRA,MF|FW,Aston Villa,1992,14.8,17,12,4,11,2,6,21,15,11,1,10,7,24,4,0,62,4.19,47,4,3,6,2,0,8,0.54,6,0,1,1,0,0,0,0,0,8,20,4,18,7,12,0,0,0,53,5,17,531,655,81.1,8091,2160,292,340,175,205,38,61,3,2.9,1.7,0.1,25,71,16,3,94,815,7,57,441,330,47,815,43,21,22,568,3066,1595,48,36,9,35,20,632,62,5,43,16,2.91,1.08,0.12,0.31,21.2,6,0,0,3.8,3.8,0.09,1.2,1.2,0
111,Kevin De Bruyne,BEL,MF,Manchester City,1991,24.5,32,16,4,15,13,12,37,25,32,2,30,6,38,16,0,152,6.22,105,30,5,9,3,0,14,0.57,10,3,1,0,0,0,2,0,0,21,27,4,180,6,16,0,0,0,114,11,18,1170,1568,74.6,19948,5365,581,663,434,558,122,249,8,10.4,7.5,-2.4,87,143,65,10,204,1821,25,127,685,1027,107,1821,55,31,24,1126,5397,3213,84,85,20,40,20,1350,175,15,78,31,3.19,1.27,0.19,0.48,19.2,7,0,0,5.7,5.7,0.07,9.3,9.3,0
116,Emmanuel Dennis,NGA,FW|MF,Watford,1997,28.7,51,35,20,22,9,17,52,35,36,2,34,15,66,13,0,85,2.96,52,2,13,8,9,1,12,0.42,7,0,1,2,1,1,9,1,1,59,40,12,39,15,35,1,0,0,125,45,78,411,628,65.4,5461,1617,261,349,100,147,21,37,6,4.1,2.1,1.9,33,26,19,4,61,1078,22,134,414,556,131,1078,156,68,88,644,4553,2346,90,53,48,107,63,706,172,10,60,26,2.09,0.91,0.17,0.38,15.5,7,0,0,7.3,7.3,0.12,2.7,2.7,0
137,Odsonne Édouard,FRA,FW,Crystal Palace,1998,17.4,16,10,2,7,7,7,21,14,20,5,15,0,16,18,0,51,2.94,33,0,8,9,0,1,4,0.23,2,0,1,1,0,0,4,0,0,25,6,4,7,0,10,0,0,0,62,38,45,309,429,72.0,3784,791,210,265,75,105,5,7,3,1.9,1.6,1.1,21,24,10,0,42,679,20,71,303,316,82,678,67,30,37,381,2143,1122,42,24,16,62,27,479,109,6,39,17,2.24,0.98,0.13,0.29,13.3,0,1,1,6.4,5.6,0.14,-0.4,-0.6,0
142,Mohamed Elyounoussi,NOR,MF|FW,Southampton,1994,22.7,36,17,14,15,7,11,39,28,23,2,21,12,48,28,0,57,2.51,42,0,5,6,3,1,6,0.26,3,0,0,3,0,0,4,0,0,28,18,1,29,12,17,0,0,0,82,38,46,432,638,67.7,5864,1378,279,367,118,168,15,38,2,2.3,2.1,-0.3,28,39,19,3,81,933,37,133,370,443,84,933,45,28,17,485,3240,1513,59,52,13,63,38,594,124,4,43,17,1.9,0.75,0.09,0.24,14.7,0,0,0,5.5,5.5,0.14,-1.5,-1.5,0
153,Bruno Fernandes,POR,MF,Manchester Utd,1994,34.6,54,28,26,22,6,26,91,65,36,0,36,17,71,42,2,155,4.48,115,19,5,10,5,1,11,0.32,8,0,1,2,0,0,10,0,0,33,47,3,148,17,28,0,0,0,180,19,30,1549,2093,74.0,26517,7848,792,925,509,636,195,371,6,9.0,6.9,-3.0,88,170,81,14,237,2445,64,359,1135,965,100,2443,52,26,26,1450,6657,3514,78,65,24,46,40,1799,190,10,87,29,2.52,0.84,0.11,0.34,21.9,6,0,2,9.7,8.1,0.09,0.3,1.9,0
160,Phil Foden,ENG,FW,Manchester City,2000,23.6,16,8,10,4,2,7,17,10,9,0,9,11,27,5,0,89,3.76,63,13,3,7,2,1,13,0.55,8,3,0,2,0,0,1,0,0,15,23,14,132,11,8,0,0,0,83,5,27,881,1102,79.9,12909,2621,542,595,235,294,56,115,5,6.3,5.3,-1.3,40,50,37,9,98,1303,6,66,426,820,137,1303,58,37,21,872,4436,1941,71,43,39,48,34,1023,248,9,57,22,2.41,0.93,0.16,0.41,14.5,0,0,0,9.4,9.4,0.17,-0.4,-0.4,0
162,Pablo Fornals,ESP,FW|MF,West Ham,1996,31.1,54,28,21,21,12,22,84,62,49,2,47,27,81,16,1,109,3.51,86,9,5,5,3,1,11,0.35,9,1,0,1,0,0,4,0,0,24,28,6,87,27,28,1,0,0,182,23,30,1052,1417,74.2,17266,5582,529,613,363,484,111,205,3,6.3,4.5,-3.3,48,111,51,8,191,1731,33,262,819,665,65,1731,54,23,31,981,4917,2219,49,37,11,47,28,1184,200,6,43,11,1.38,0.35,0.14,0.55,18.7,0,0,0,4.6,4.6,0.11,1.4,1.4,0
172,Conor Gallagher,ENG,MF,Crystal Palace,2000,31.6,69,38,35,20,14,21,69,48,58,9,49,29,98,26,0,91,2.88,48,24,3,8,7,1,10,0.32,7,0,2,0,1,0,10,0,0,65,65,2,128,29,38,1,0,0,187,23,37,890,1188,74.9,14543,3809,443,517,305,386,88,173,3,3.1,3.1,-0.1,38,86,20,9,94,1578,45,285,737,579,80,1578,75,42,33,829,3922,1514,42,23,12,62,50,933,118,8,52,22,1.64,0.7,0.15,0.36,17.5,4,0,0,6.3,6.3,0.12,1.7,1.7,0
191,Anthony Gordon,ENG,MF|FW,Everton,2001,25.4,54,32,20,30,4,21,59,38,49,3,46,22,76,17,0,77,3.03,38,14,6,3,14,2,5,0.2,1,2,0,0,2,0,4,0,0,25,64,8,119,22,32,2,0,0,116,17,38,482,743,64.9,6816,1929,265,340,151,224,28,92,2,3.8,3.1,-1.8,35,27,21,8,51,1116,21,163,386,592,78,1116,80,38,42,602,4905,2291,74,53,31,74,37,674,137,4,44,18,1.73,0.71,0.09,0.22,18.8,5,0,0,3.5,3.5,0.08,0.5,0.5,0
194,Demarai Gray,JAM,MF|FW,Everton,1996,26.0,30,19,13,10,7,10,22,12,30,2,28,15,45,21,1,88,3.39,50,15,11,7,5,0,5,0.19,3,1,0,1,0,0,3,0,0,12,32,3,129,15,19,0,0,0,100,4,31,555,769,72.2,9290,2076,277,315,182,246,65,129,4,3.6,3.5,0.4,41,23,23,7,59,1093,18,117,377,624,87,1093,106,55,50,655,5185,2405,93,59,38,70,36,717,169,5,65,17,2.5,0.65,0.08,0.29,20.5,4,0,0,4.0,4.0,0.06,1.0,1.0,0
195,Jack Grealish,ENG,FW,Manchester City,1995,21.3,18,17,4,10,4,5,13,8,11,1,10,8,26,7,0,119,5.6,98,1,4,5,10,1,6,0.28,6,0,0,0,0,0,3,0,0,17,55,5,32,8,17,0,0,0,63,14,28,833,971,85.8,11275,2149,543,578,230,260,30,42,3,6.0,4.6,-3.0,53,30,43,1,100,1173,15,68,359,761,162,1173,68,40,28,906,7308,3915,153,74,83,31,29,997,267,3,45,16,2.12,0.75,0.07,0.19,14.6,0,0,0,5.3,5.3,0.12,-2.3,-2.3,0
198,Pascal Groß,GER,MF|DF,Brighton,1991,22.6,28,15,15,11,2,12,33,21,34,8,26,18,46,23,0,100,4.41,56,37,2,5,0,0,7,0.31,2,3,1,1,0,0,1,0,0,15,6,4,189,18,15,0,0,0,119,15,21,1012,1345,75.2,18387,5413,446,508,397,481,135,267,4,5.5,4.6,-1.5,60,94,37,12,149,1537,43,227,697,618,61,1536,18,9,9,796,3313,1486,39,35,7,27,15,1001,141,2,23,7,1.02,0.31,0.09,0.29,17.5,1,0,1,2.9,2.1,0.09,-0.9,-0.1,0
202,İlkay Gündoğan,GER,MF,Manchester City,1990,20.6,23,9,10,12,1,12,31,19,11,1,10,15,38,10,0,84,4.07,60,14,6,3,0,1,9,0.44,7,0,1,1,0,0,1,0,0,13,10,2,67,15,9,0,0,0,110,11,12,1175,1340,87.7,18647,4054,608,648,412,456,105,151,4,4.9,4.2,-0.9,38,95,22,1,126,1522,25,157,785,599,82,1522,35,24,11,902,4727,2052,60,45,13,25,19,1209,107,8,55,18,2.67,0.87,0.15,0.44,14.5,2,0,0,9.0,9.0,0.16,-1.0,-1.0,0
205,Jack Harrison,ENG,FW|MF,Leeds United,1996,29.3,57,37,22,22,13,31,76,45,35,1,34,21,78,19,0,86,2.93,55,7,11,8,4,1,4,0.14,1,0,1,2,0,0,3,0,0,29,23,4,142,21,37,0,0,0,170,19,54,656,1045,62.8,9472,3280,407,510,187,300,36,117,1,3.2,2.5,-2.2,42,49,35,8,89,1448,30,260,558,651,95,1448,114,54,60,858,5585,2996,120,60,35,87,66,948,234,8,43,17,1.47,0.58,0.19,0.47,17.2,0,0,0,4.4,4.4,0.1,3.6,3.6,0
207,Kai Havertz,GER,FW|MF,Chelsea,1999,20.1,17,8,5,7,5,4,14,10,28,1,27,4,21,32,1,61,3.03,46,0,3,7,5,0,6,0.3,4,0,0,1,1,0,3,0,0,40,25,12,8,4,8,1,0,0,62,38,52,537,669,80.3,6322,1194,360,408,111,143,12,16,3,2.2,1.7,0.8,21,34,19,1,62,943,34,90,352,506,128,943,42,18,24,537,3107,1419,64,23,34,66,32,739,203,8,56,23,2.79,1.14,0.14,0.35,13.0,0,0,0,8.7,8.7,0.16,-0.7,-0.7,0
209,Hwang Hee-chan,KOR,FW|MF,Wolves,1996,20.2,27,13,9,16,2,14,44,30,10,0,10,13,40,7,1,37,1.83,26,0,5,2,3,1,2,0.1,1,0,1,0,0,0,2,0,0,29,42,3,7,13,13,0,0,0,92,7,21,513,639,80.3,7634,1456,291,341,160,187,37,51,1,1.3,1.3,-0.3,16,31,14,0,57,844,13,116,404,337,72,844,69,33,36,548,3734,1722,66,36,27,47,24,651,114,5,27,12,1.34,0.59,0.19,0.42,15.4,0,0,0,4.4,4.4,0.16,0.6,0.6,0
214,Son Heung-min,KOR,MF|FW,Tottenham,1992,33.4,15,6,5,7,3,5,23,18,27,6,21,13,28,8,0,135,4.04,82,35,2,9,6,1,13,0.39,7,3,0,0,3,0,2,0,0,14,36,17,192,13,6,2,0,0,144,16,35,928,1219,76.1,12453,3148,569,623,239,316,48,151,7,7.5,5.6,-0.5,72,33,42,4,90,1545,15,146,564,867,146,1545,92,51,40,912,6351,3123,116,68,50,75,46,1078,242,23,86,48,2.57,1.44,0.27,0.48,15.7,2,0,0,15.9,15.9,0.19,7.1,7.1,0
223,Danny Ings,ENG,FW,Aston Villa,1992,21.1,23,16,2,16,5,13,37,24,31,2,29,6,29,22,0,32,1.52,25,0,2,4,1,0,9,0.43,9,0,0,0,0,0,4,0,0,16,12,11,13,6,16,0,0,0,47,27,40,251,378,66.4,3233,781,147,189,60,90,13,28,6,1.6,0.9,4.4,15,19,13,0,39,617,21,63,246,314,112,616,31,10,21,321,1568,625,24,15,8,50,21,394,117,7,48,17,2.28,0.81,0.13,0.35,13.6,0,1,1,7.1,6.3,0.13,-0.1,-0.3,0
227,Daniel James,WAL,FW|MF,Leeds United,1997,26.3,24,14,8,8,8,10,23,13,18,1,17,8,32,12,0,54,2.05,35,0,4,7,8,0,5,0.19,2,0,1,1,1,0,7,1,0,30,38,13,60,8,14,1,0,0,82,13,53,326,508,64.2,4327,1156,205,256,84,151,15,34,4,2.9,1.7,1.1,24,26,18,2,57,757,19,83,261,424,106,757,53,21,32,459,3337,1666,69,32,36,54,22,512,186,4,50,15,1.9,0.57,0.08,0.27,15.3,0,0,0,6.1,6.1,0.12,-2.1,-2.1,0
228,Reece James,ENG,DF,Chelsea,1999,20.7,33,25,14,18,1,9,22,13,20,2,18,17,50,22,0,88,4.25,69,7,4,5,3,0,11,0.53,9,1,1,0,0,0,4,1,0,20,31,4,108,17,25,0,1,1,99,17,21,1450,1687,86.0,22184,5499,803,856,509,593,93,133,9,5.9,4.8,3.1,48,67,51,15,149,1881,35,326,800,773,69,1881,47,36,11,1122,5150,2381,52,51,19,26,22,1343,203,5,37,10,1.79,0.48,0.14,0.5,20.5,6,0,0,3.1,3.1,0.08,1.9,1.9,0
232,Gabriel Jesus,BRA,FW,Manchester City,1997,20.9,18,12,2,4,12,6,26,20,18,0,18,15,33,8,0,85,4.08,56,0,16,7,4,2,18,0.86,11,0,2,1,2,2,1,0,0,26,26,10,24,15,12,2,0,0,76,21,36,637,770,82.7,8461,1409,398,457,175,206,21,31,8,5.7,3.5,2.3,38,15,30,4,55,1023,12,81,315,634,161,1022,71,46,25,667,3637,1501,51,20,32,66,27,798,220,8,63,20,3.02,0.96,0.11,0.35,13.8,0,1,1,9.8,9.0,0.14,-1.8,-2.0,0
233,Raúl Jiménez,MEX,FW,Wolves,1991,29.2,29,14,6,16,7,6,30,24,31,5,26,13,42,26,0,71,2.43,52,1,7,6,4,1,14,0.48,7,0,4,3,0,0,9,2,2,43,48,23,10,13,14,0,0,0,88,63,85,549,775,70.8,7513,1631,325,409,147,206,31,50,4,3.1,3.2,0.9,38,38,19,2,65,1150,35,106,601,456,126,1149,87,36,51,644,3407,1278,40,37,21,99,57,850,163,6,56,15,1.92,0.51,0.09,0.33,16.9,1,1,1,6.1,5.4,0.1,-0.1,-0.4,0
234,João Pedro,BRA,FW|MF,Watford,2001,18.3,20,14,7,8,5,6,23,17,23,3,20,15,35,17,0,60,3.28,38,0,10,6,5,1,4,0.22,3,0,0,1,0,0,1,0,0,13,30,6,24,15,14,0,0,0,78,55,90,390,581,67.1,6100,1580,210,299,122,163,38,57,1,2.8,1.4,-1.8,19,43,20,3,77,885,19,76,404,426,79,885,106,62,44,519,3595,1487,54,45,19,63,58,634,102,3,47,16,2.57,0.88,0.06,0.19,16.3,1,0,0,3.6,3.6,0.08,-0.6,-0.6,0
240,Diogo Jota,POR,FW,Liverpool,1996,26.3,39,18,12,18,9,13,55,42,19,2,17,6,45,6,0,98,3.73,63,0,12,9,13,1,13,0.49,7,0,2,2,2,0,3,0,0,41,40,5,21,6,18,2,0,0,100,37,83,559,770,72.6,7799,1928,324,397,183,231,22,46,4,5.8,3.5,-1.8,40,46,26,2,87,1097,13,87,434,596,182,1097,69,27,42,649,3861,2029,74,52,34,63,33,844,191,15,90,32,3.43,1.22,0.17,0.47,12.3,0,0,0,16.3,16.3,0.19,-1.3,-1.3,0
247,Harry Kane,ENG,FW,Tottenham,1993,35.9,15,5,2,10,3,7,18,11,26,8,18,3,18,39,0,128,3.56,94,2,10,16,6,0,21,0.58,17,0,1,3,0,0,5,0,0,42,54,16,42,3,5,0,0,0,92,75,81,637,945,67.4,11124,3759,305,397,197,283,91,140,9,9.1,5.5,-0.1,49,89,42,6,143,1387,51,137,632,639,170,1383,100,54,46,891,5061,2208,87,57,31,97,61,1095,212,17,129,49,3.59,1.36,0.1,0.27,17.3,8,4,4,18.6,15.4,0.12,-1.6,-2.4,0
257,Joshua King,NOR,FW,Watford,1992,25.0,19,15,7,6,6,4,17,13,15,4,11,8,27,31,0,63,2.52,51,0,2,6,4,0,9,0.36,6,0,1,2,0,0,5,0,0,43,21,8,13,8,15,1,0,0,83,100,119,369,519,71.1,4984,1028,227,290,109,153,13,18,3,3.8,2.3,-0.8,35,29,17,4,39,837,41,106,356,389,105,836,67,30,37,430,2638,1122,41,25,20,84,42,569,157,5,49,16,1.96,0.64,0.08,0.25,15.2,0,1,1,8.9,8.1,0.17,-3.9,-4.1,0
270,Dejan Kulusevski,SWE,MF|FW,Tottenham,2000,14.0,19,13,7,10,2,5,23,18,14,0,14,13,32,3,0,51,3.64,39,0,5,6,1,0,13,0.93,11,0,1,1,0,0,3,0,0,20,15,4,25,13,13,0,0,0,75,3,8,404,486,83.1,5431,1144,259,287,107,127,17,24,8,3.4,2.7,4.6,25,15,24,5,35,643,4,97,258,297,67,643,44,25,19,399,2594,1264,51,27,24,38,18,449,100,5,26,9,1.86,0.64,0.19,0.56,16.9,0,0,0,2.7,2.7,0.11,2.3,2.3,0
271,Alexandre Lacazette,FRA,FW,Arsenal,1991,19.8,27,10,8,13,6,7,21,14,12,1,11,5,32,6,0,71,3.58,49,0,4,6,10,2,9,0.45,6,0,0,1,1,1,0,0,0,32,29,6,7,5,10,4,0,0,52,21,47,343,455,75.4,4595,1048,215,264,89,117,12,21,7,3.0,1.8,4.0,29,30,19,1,52,638,4,58,273,317,106,635,33,19,14,349,1538,611,19,15,13,43,29,489,106,4,43,12,2.17,0.61,0.05,0.17,15.4,1,2,3,8.4,6.0,0.14,-4.4,-4.0,0
273,Tariq Lamptey,GHA,DF|FW,Brighton,2000,17.3,36,25,14,17,5,15,25,10,13,3,10,21,57,23,0,54,3.11,37,2,4,3,7,1,3,0.17,3,0,0,0,0,0,4,0,0,27,50,3,93,21,25,0,0,0,100,7,27,593,770,77.0,8281,1729,373,416,186,252,19,50,2,2.6,2.9,-0.6,21,26,24,15,36,1008,31,197,378,452,40,1008,61,29,32,642,4275,2285,81,51,15,46,21,695,153,0,19,4,1.1,0.23,0.0,0.0,20.0,0,0,0,0.8,0.8,0.04,-0.8,-0.8,0
292,Ademola Lookman,NGA,FW|MF,Leicester City,1997,16.1,32,14,10,13,9,10,28,18,19,1,18,10,42,4,0,46,2.85,35,1,4,3,3,0,3,0.19,2,0,0,0,1,0,2,0,0,27,33,6,18,10,14,0,0,0,102,3,11,405,536,75.6,5124,1306,260,313,113,136,8,21,0,1.9,1.8,-1.9,23,19,20,1,54,755,7,93,327,345,88,755,58,38,20,501,2680,1278,43,26,24,59,52,558,139,6,26,12,1.61,0.74,0.23,0.5,15.0,0,0,0,4.5,4.5,0.17,1.5,1.5,0
