,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
262,Mateo Kovačić,CRO,MF,Chelsea,1994,17.3,51,31,14,26,11,17,35,18,19,4,15,7,58,9,1,69,3.98,58,0,4,3,3,1,8,0.46,7,0,0,0,0,1,4,0,0,24,20,0,6,7,31,0,0,0,111,5,5,1061,1203,88.2,17022,4072,537,580,405,453,77,106,5,3.2,3.0,1.8,27,127,23,1,135,1368,22,217,826,343,15,1368,51,38,13,875,5069,2523,42,63,3,18,22,1076,37,2,22,6,1.27,0.35,0.09,0.33,20.3,1,0,0,1.6,1.6,0.07,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,Emil Krafth,SWE,DF,Newcastle Utd,1994,18.2,37,16,25,11,1,27,36,9,16,10,6,25,62,56,0,19,1.05,11,4,1,1,1,1,2,0.11,2,0,0,0,0,0,5,0,0,22,11,0,21,25,16,0,0,0,94,22,29,551,780,70.6,8120,3587,292,348,203,287,24,78,1,1.0,0.8,0.0,6,35,7,1,50,961,76,388,387,192,9,961,4,2,2,370,1754,1016,29,21,3,9,4,425,24,0,6,1,0.33,0.06,0.0,0.0,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,Tim Krul,NED,GK,Norwich City,1988,29.0,1,1,1,0,0,1,4,3,0,0,0,0,1,10,4,6,0.21,3,3,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,19,7,3,759,1073,70.7,21441,14060,104,105,370,382,284,583,0,0.6,0.5,-0.6,1,7,1,0,1,1149,953,1128,21,1,0,1149,0,0,0,621,3149,2036,0,0,0,1,0,506,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,62.0,2.14,165.0,105.0,66.7,4.0,5.0,20.0,5.0,17.2,8.0,7.0,0.0,1.0,62.0,7.0,1.0,7.0,2.0,48.3,0.27,-11.7,-0.4,134.0,399.0,33.6,847.0,168.0,34.5,34.3,224.0,47.8,40.1,442.0,14.0,3.2,19.0,0.66,12.6
265,Juraj Kucka,SVK,MF,Watford,1987,21.3,59,39,32,25,2,27,73,46,30,9,21,27,86,46,2,42,1.97,27,0,5,2,7,1,2,0.09,1,0,1,0,0,0,5,1,1,46,49,2,16,27,39,0,1,1,158,56,47,485,713,68.0,7757,2545,244,322,176,247,39,76,1,0.9,1.2,0.1,10,41,7,4,60,1030,74,297,521,223,31,1030,33,17,16,458,2360,1013,21,20,2,48,19,514,31,1,46,11,2.16,0.52,0.02,0.09,20.8,3,0,0,3.2,3.2,0.07,-2.2,-2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,Dejan Kulusevski,SWE,MF|FW,Tottenham,2000,14.0,19,13,7,10,2,5,23,18,14,0,14,13,32,3,0,51,3.64,39,0,5,6,1,0,13,0.93,11,0,1,1,0,0,3,0,0,20,15,4,25,13,13,0,0,0,75,3,8,404,486,83.1,5431,1144,259,287,107,127,17,24,8,3.4,2.7,4.6,25,15,24,5,35,643,4,97,258,297,67,643,44,25,19,399,2594,1264,51,27,24,38,18,449,100,5,26,9,1.86,0.64,0.19,0.56,16.9,0,0,0,2.7,2.7,0.11,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,Alexandre Lacazette,FRA,FW,Arsenal,1991,19.8,27,10,8,13,6,7,21,14,12,1,11,5,32,6,0,71,3.58,49,0,4,6,10,2,9,0.45,6,0,0,1,1,1,0,0,0,32,29,6,7,5,10,4,0,0,52,21,47,343,455,75.4,4595,1048,215,264,89,117,12,21,7,3.0,1.8,4.0,29,30,19,1,52,638,4,58,273,317,106,635,33,19,14,349,1538,611,19,15,13,43,29,489,106,4,43,12,2.17,0.61,0.05,0.17,15.4,1,2,3,8.4,6.0,0.14,-4.4,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,Adam Lallana,ENG,MF,Brighton,1988,17.3,34,17,14,14,6,12,41,29,16,6,10,16,50,13,1,28,1.62,24,0,0,2,2,0,4,0.23,4,0,0,0,0,0,4,0,0,11,17,0,3,16,17,0,0,0,126,15,8,836,962,86.9,11641,2793,502,552,265,288,28,53,1,0.9,1.0,0.1,8,58,17,1,76,1123,40,243,632,255,35,1123,23,14,9,618,2312,1084,17,21,2,24,15,793,47,0,19,4,1.1,0.23,0.0,0.0,19.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,Tariq Lamptey,GHA,DF|FW,Brighton,2000,17.3,36,25,14,17,5,15,25,10,13,3,10,21,57,23,0,54,3.11,37,2,4,3,7,1,3,0.17,3,0,0,0,0,0,4,0,0,27,50,3,93,21,25,0,0,0,100,7,27,593,770,77.0,8281,1729,373,416,186,252,19,50,2,2.6,2.9,-0.6,21,26,24,15,36,1008,31,197,378,452,40,1008,61,29,32,642,4275,2285,81,51,15,46,21,695,153,0,19,4,1.1,0.23,0.0,0.0,20.0,0,0,0,0.8,0.8,0.04,-0.8,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,Manuel Lanzini,ARG,MF|FW,West Ham,1993,19.8,28,15,10,11,7,10,35,25,16,0,16,19,47,10,0,60,3.02,51,4,3,0,1,1,9,0.45,7,0,1,0,0,1,2,0,0,11,18,1,28,19,15,0,0,0,124,5,17,1118,1237,90.4,16115,3945,642,678,372,407,52,77,3,2.4,2.5,0.6,23,87,22,3,119,1402,23,217,820,379,35,1399,36,25,11,889,4207,1876,29,37,6,31,16,1026,57,5,13,4,0.66,0.2,0.15,0.5,23.1,1,3,3,3.7,1.3,0.1,1.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,Aymeric Laporte,ESP,DF,Manchester City,1994,31.4,33,15,22,10,1,14,20,6,15,10,5,20,53,64,2,40,1.27,34,0,1,4,1,0,6,0.19,3,0,0,2,1,0,5,1,0,14,10,2,5,20,15,1,0,0,182,52,32,2782,2940,94.6,53607,17549,933,966,1575,1624,251,316,0,0.6,1.3,-0.6,9,309,9,2,271,3135,210,1048,1937,158,42,3135,8,6,2,2325,12799,9256,51,49,0,4,7,2550,8,4,35,7,1.11,0.22,0.11,0.57,11.6,0,0,0,4.9,4.9,0.14,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Jamaal Lascelles,ENG,DF,Newcastle Utd,1993,22.9,15,7,9,5,1,4,12,8,38,28,10,22,37,121,1,10,0.44,9,0,0,1,0,0,1,0.04,1,0,0,0,0,0,5,0,0,17,4,0,0,22,7,0,3,2,86,89,31,516,696,74.1,10069,3526,133,184,331,392,43,95,0,0.4,0.5,-0.4,4,20,1,0,18,949,221,624,262,67,52,949,2,1,1,413,1575,687,0,2,1,9,2,483,5,1,17,4,0.74,0.17,0.06,0.25,10.2,0,0,0,0.9,0.9,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,Pierre Lees-Melou,FRA,MF,Norwich City,1993,25.2,58,36,23,29,6,25,92,67,37,11,26,25,83,23,0,55,2.18,48,1,1,1,1,3,2,0.08,1,0,0,0,1,0,5,0,0,35,23,2,33,25,36,1,0,0,181,14,15,807,1033,78.1,13876,4105,413,483,252,299,107,169,0,1.9,2.4,-1.9,25,81,26,9,114,1265,76,360,616,308,23,1265,30,19,11,742,3433,1533,33,26,6,27,17,822,60,1,33,9,1.31,0.36,0.03,0.11,24.5,0,0,0,1.6,1.6,0.05,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,Aaron Lennon,ENG,MF|FW,Burnley,1987,17.2,33,17,10,13,10,10,34,24,26,4,22,9,42,14,0,33,1.92,21,0,5,2,5,0,4,0.23,1,0,2,0,1,0,2,0,0,19,20,4,40,9,17,0,1,0,73,7,21,252,382,66.0,3280,783,156,197,65,102,10,28,0,0.5,0.5,-0.5,9,14,4,2,19,542,21,85,222,243,42,542,30,13,17,286,1641,738,38,10,20,25,13,334,77,2,12,4,0.7,0.23,0.17,0.5,20.1,0,0,0,1.1,1.1,0.09,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,Bernd Leno,GER,GK,Arsenal,1992,4.0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,76,115,66.1,2214,1594,18,18,28,28,29,67,0,0.0,0.0,0.0,0,0,0,0,0,125,100,125,0,0,0,125,0,0,0,61,326,179,0,0,0,0,0,49,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0,2.25,19.0,10.0,52.6,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.4,0.5,0.4,0.11,17.0,53.0,32.1,77.0,13.0,35.1,33.8,37.0,70.3,50.4,73.0,6.0,8.2,1.0,0.25,7.3
276,Jamal Lewis,NIR,DF,Newcastle Utd,1998,2.9,8,6,6,1,1,3,4,1,3,2,1,3,11,8,0,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,1,0,0,2,2,0,3,3,6,0,0,0,13,1,4,79,104,76.0,1281,448,34,40,38,47,4,10,0,0.0,0.0,0.0,1,3,0,0,7,131,8,54,45,32,1,131,3,0,3,59,251,100,3,0,0,1,7,66,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Victor Lindelöf,SWE,DF,Manchester Utd,1994,26.2,16,11,9,7,0,9,14,5,26,17,9,25,41,96,0,13,0.5,12,0,0,0,0,1,4,0.15,3,0,0,0,0,1,4,0,0,19,6,2,0,25,11,0,0,0,161,52,33,1215,1385,87.7,22399,8069,452,486,637,691,107,165,2,0.6,0.8,1.4,4,75,6,0,72,1595,221,881,680,46,10,1595,3,3,0,919,5814,3385,14,17,3,8,1,1025,3,0,3,2,0.11,0.08,0.0,0.0,8.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Jesse Lingard,ENG,FW|MF,Manchester Utd,1992,4.1,9,7,4,3,2,2,6,4,4,0,4,0,9,1,0,16,3.92,13,0,0,2,1,0,1,0.25,0,0,0,1,0,0,1,0,0,5,4,1,8,0,7,0,0,0,19,0,1,128,153,83.7,1533,382,75,85,33,41,0,4,0,0.3,0.2,-0.3,8,11,2,0,13,200,2,18,89,93,8,200,6,2,4,127,542,311,9,5,1,12,5,152,22,2,8,6,1.96,1.47,0.25,0.33,18.6,0,0,0,0.6,0.6,0.08,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Valentino Livramento,ENG,DF,Southampton,2002,24.5,54,28,30,18,6,27,45,18,23,9,14,47,101,50,1,44,1.8,37,0,2,1,3,1,3,0.12,1,0,1,0,1,0,2,0,0,12,36,1,62,47,28,1,0,0,176,24,25,864,1166,74.1,12649,4429,507,587,281,388,43,106,1,2.7,2.7,-1.7,20,44,27,8,80,1486,74,407,675,441,47,1486,55,30,25,742,5095,2722,79,54,16,52,19,763,118,1,12,3,0.49,0.12,0.08,0.33,15.9,0,0,0,1.4,1.4,0.12,-0.4,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,Diego Llorente,ESP,DF,Leeds United,1993,26.0,53,31,32,19,2,33,47,14,35,17,18,40,93,77,2,9,0.35,7,0,0,0,1,1,0,0.0,0,0,0,0,0,0,7,0,0,23,21,0,2,40,31,0,0,0,171,49,64,1115,1373,81.2,21989,7473,335,389,648,712,118,225,0,0.1,0.2,-0.1,2,68,3,0,97,1654,193,897,720,49,11,1654,13,8,5,980,6495,4314,20,2,1,20,3,1015,1,3,10,3,0.38,0.12,0.3,1.0,10.6,0,0,0,1.0,1.0,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,Hugo Lloris,FRA,GK,Tottenham,1986,38.0,1,1,1,0,0,1,2,1,0,0,0,1,2,24,3,6,0.16,6,0,0,0,0,0,3,0.08,3,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,0,28,12,2,767,957,80.1,18629,12234,247,252,295,299,211,388,0,0.2,0.1,-0.2,2,15,1,0,0,1046,951,1043,3,0,0,1046,0,0,0,544,3199,1979,0,0,0,2,0,377,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,40.0,1.05,137.0,98.0,72.3,22.0,5.0,11.0,16.0,42.1,2.0,2.0,0.0,0.0,40.0,2.0,1.0,5.0,1.0,37.6,0.26,-1.4,-0.04,115.0,279.0,41.2,676.0,161.0,29.6,31.0,278.0,28.4,26.5,567.0,33.0,5.8,45.0,1.18,14.2
282,Giovani Lo Celso,ARG,MF|FW,Tottenham,1996,2.6,8,4,4,2,2,4,10,6,6,1,5,1,9,0,1,10,3.78,5,2,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,2,6,1,10,1,4,0,0,0,11,0,3,128,161,79.5,1757,346,76,81,28,40,10,13,0,0.7,0.3,-0.7,5,10,0,0,8,210,1,23,100,90,10,210,15,9,6,121,831,340,10,11,2,11,3,155,15,0,9,0,3.4,0.0,0.0,0.0,19.4,1,0,0,0.6,0.6,0.07,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Jürgen Locadia,NED,MF|FW,Brighton,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,100.0,25,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,0,3,16,0,0,0,0,1,1,3,0,0,1,0,3.91,0.0,0.0,0.0,20.2,0,0,0,0.2,0.2,0.16,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,Ruben Loftus-Cheek,ENG,MF|DF,Chelsea,1996,15.5,29,10,16,11,2,10,19,9,15,6,9,11,40,17,0,56,3.62,44,0,3,4,3,2,6,0.39,3,0,0,2,0,1,1,0,0,18,41,2,7,11,10,0,0,0,109,36,18,876,981,89.3,13025,3046,507,547,315,355,33,42,2,2.4,2.4,-0.4,18,77,20,0,108,1172,20,182,682,327,40,1172,60,42,18,724,4399,2651,69,50,9,27,33,887,53,0,19,6,1.23,0.39,0.0,0.0,18.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Kevin Long,IRL,DF,Burnley,1990,4.6,3,2,1,2,0,1,2,1,4,1,3,1,4,20,0,1,0.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,4,3,1,0,1,2,0,0,0,11,12,7,79,102,77.5,1696,601,19,22,46,54,14,21,0,0.0,0.0,0.0,0,2,0,0,4,141,25,81,53,7,7,141,0,0,0,52,286,125,1,0,0,2,0,69,0,0,4,0,0.88,0.0,0.0,0.0,13.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Shane Long,IRL,FW,Southampton,1987,3.4,9,5,2,4,3,1,1,0,4,0,4,0,9,2,0,5,1.46,2,0,0,0,3,0,0,0.0,0,0,0,0,0,0,1,0,0,9,8,3,1,0,5,0,0,0,9,24,19,43,72,59.7,411,97,32,46,5,11,0,1,0,0.1,0.1,-0.1,2,4,1,0,3,129,2,8,47,75,18,129,4,1,3,61,247,68,5,3,2,12,11,104,24,1,9,5,2.63,1.46,0.11,0.2,11.3,0,0,0,0.9,0.9,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,Sean Longstaff,ENG,MF,Newcastle Utd,1997,16.3,54,34,18,31,5,24,65,41,18,6,12,9,63,18,0,26,1.6,22,2,0,1,0,1,3,0.18,2,1,0,0,0,0,1,0,0,14,17,0,11,9,34,0,0,0,95,13,18,481,604,79.6,8348,2303,229,271,177,200,52,89,1,0.8,0.8,0.2,7,44,4,0,43,775,43,201,439,138,14,775,11,6,5,372,1366,429,2,7,1,22,18,430,15,1,15,2,0.92,0.12,0.07,0.5,26.0,1,0,0,0.7,0.7,0.05,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,Ademola Lookman,NGA,FW|MF,Leicester City,1997,16.1,32,14,10,13,9,10,28,18,19,1,18,10,42,4,0,46,2.85,35,1,4,3,3,0,3,0.19,2,0,0,0,1,0,2,0,0,27,33,6,18,10,14,0,0,0,102,3,11,405,536,75.6,5124,1306,260,313,113,136,8,21,0,1.9,1.8,-1.9,23,19,20,1,54,755,7,93,327,345,88,755,58,38,20,501,2680,1278,43,26,24,59,52,558,139,6,26,12,1.61,0.74,0.23,0.5,15.0,0,0,0,4.5,4.5,0.17,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Jonas Lössl,DEN,GK,Brentford,1989,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,42,61,68.9,1177,782,6,6,17,18,18,36,0,0.0,0.0,0.0,0,2,0,0,1,64,46,62,2,0,0,64,0,0,0,37,186,103,0,0,0,0,0,34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,7.0,2.0,28.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.2,0.46,-1.8,-0.9,9.0,25.0,36.0,48.0,6.0,43.8,35.7,13.0,30.8,31.7,30.0,1.0,3.3,5.0,2.5,22.7
290,Imran Louza,MAR,MF,Watford,1999,15.7,41,21,18,20,3,16,38,22,28,6,22,42,83,20,1,34,2.16,16,11,1,2,1,3,2,0.13,2,0,0,0,0,0,6,0,0,24,13,0,54,42,21,0,0,0,129,12,19,521,711,73.3,9666,3088,208,254,226,284,75,143,0,1.1,1.1,-1.1,15,63,8,1,67,911,42,236,538,160,10,911,24,14,10,385,2088,949,17,9,2,19,9,446,24,0,17,4,1.08,0.25,0.0,0.0,27.5,6,0,0,1.2,1.2,0.07,-1.2,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
