,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
146,Jonny Evans,NIR,DF,Leicester City,1988,15.0,24,14,14,8,2,14,22,8,17,13,4,20,44,59,0,10,0.67,8,2,0,0,0,0,2,0.13,1,1,0,0,0,0,3,0,0,15,11,0,3,20,14,0,0,0,105,48,17,846,1020,82.9,16742,6172,251,290,492,532,95,177,1,0.8,0.7,0.2,4,52,5,0,49,1147,154,632,484,38,12,1147,3,2,1,657,2803,1537,1,3,0,4,0,747,4,1,3,2,0.2,0.13,0.33,0.5,5.6,0,0,0,0.6,0.6,0.2,0.4,0.4,1
149,Fabinho,BRA,MF,Liverpool,1993,25.7,46,25,17,23,6,24,70,46,33,10,23,39,85,25,1,53,2.06,42,0,0,3,6,2,5,0.19,3,0,0,2,0,0,7,0,0,40,28,0,6,39,25,0,0,0,193,43,24,1350,1550,87.1,21821,5712,676,741,548,608,94,135,1,1.3,1.9,-0.3,16,151,12,1,134,1788,42,343,1175,281,21,1786,15,11,4,942,3953,1874,18,27,1,24,13,1231,37,5,19,7,0.74,0.27,0.16,0.43,19.9,2,2,2,3.9,2.4,0.14,1.1,0.6,1
150,Kiko Femenía,ESP,DF,Watford,1991,23.8,35,22,23,10,2,21,37,16,24,8,16,37,72,51,0,45,1.89,33,11,0,0,1,0,6,0.25,5,1,0,0,0,0,2,0,0,12,13,2,106,37,22,0,0,0,135,12,14,867,1228,70.6,13397,6151,485,566,300,425,54,166,5,3.6,2.3,1.4,25,56,22,9,100,1431,101,455,569,418,11,1431,14,7,7,611,3099,1626,40,34,6,41,7,667,48,0,3,1,0.13,0.04,0.0,0.0,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,1
158,Junior Firpo,ESP,DF|MF,Leeds United,1996,19.0,61,29,30,26,5,31,59,28,22,6,16,24,85,37,0,52,2.73,40,4,2,3,3,0,4,0.21,2,1,1,0,0,0,11,0,0,39,15,1,26,24,29,0,0,1,89,27,19,768,952,80.7,12029,4281,417,475,299,362,38,71,2,1.9,1.6,0.1,22,70,16,6,111,1152,60,346,562,257,38,1152,28,16,12,585,2858,1718,36,29,2,17,7,670,72,0,11,1,0.58,0.05,0.0,0.0,14.6,0,0,0,0.9,0.9,0.08,-0.9,-0.9,1
163,Adam Forshaw,ENG,MF,Leeds United,1991,17.0,53,23,21,27,5,21,54,33,17,1,16,19,72,12,2,35,2.06,31,0,1,3,0,0,2,0.12,2,0,0,0,0,0,5,0,0,26,15,2,5,19,23,0,0,0,119,11,11,695,842,82.5,11652,3225,342,389,253,290,73,103,1,1.0,0.7,0.0,13,68,8,0,80,995,25,265,578,167,9,995,19,12,7,539,2507,1137,19,12,2,24,11,629,26,0,14,4,0.82,0.24,0.0,0.0,25.0,1,0,0,0.5,0.5,0.03,-0.5,-0.5,1
169,Fred,BRA,MF,Manchester Utd,1993,22.5,63,27,32,24,7,22,79,57,38,11,27,32,95,24,0,56,2.49,52,0,0,0,4,0,9,0.4,8,0,0,0,1,0,5,0,0,31,30,0,3,32,27,1,0,1,197,15,13,1137,1358,83.7,18842,5515,547,626,448,506,92,118,4,2.2,3.0,1.8,28,131,13,1,138,1623,65,392,965,275,17,1623,36,21,15,840,3252,1564,17,16,1,41,25,1093,41,4,15,9,0.67,0.4,0.27,0.44,21.3,0,0,0,1.3,1.3,0.08,2.7,2.7,1
181,Dimitris Giannoulis,GRE,DF,Norwich City,1995,13.0,36,21,17,17,2,24,36,12,22,6,16,19,55,41,1,22,1.69,18,1,1,0,2,0,2,0.15,2,0,0,0,0,0,2,0,0,16,22,0,44,19,21,0,0,0,105,8,7,530,714,74.2,7839,2988,320,367,189,253,16,62,1,0.6,1.0,0.4,9,24,14,2,40,894,68,339,395,173,10,894,46,29,17,479,2788,1726,33,16,4,24,11,484,58,0,2,1,0.15,0.08,0.0,0.0,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,1
183,Ben Gibson,ENG,DF,Norwich City,1993,27.7,23,16,17,6,0,7,12,5,36,30,6,27,50,139,2,14,0.51,13,0,0,1,0,0,1,0.04,1,0,0,0,0,0,5,1,1,12,9,0,1,27,16,0,3,0,108,52,39,1117,1382,80.8,22279,9598,361,400,627,688,121,268,0,0.2,0.3,-0.2,3,74,5,0,68,1640,336,1009,591,46,22,1640,7,5,2,966,4380,2686,11,8,0,6,2,1071,0,0,8,4,0.29,0.14,0.0,0.0,10.6,0,0,0,1.4,1.4,0.17,-1.4,-1.4,1
185,Billy Gilmour,SCO,MF,Norwich City,2001,20.6,41,21,16,21,4,14,52,38,21,4,17,17,58,29,0,55,2.67,30,23,0,2,0,0,2,0.1,1,1,0,0,0,0,2,0,0,28,21,1,98,17,21,0,1,0,124,13,20,991,1243,79.7,18498,5588,456,514,357,419,152,258,1,1.4,1.9,-0.4,25,94,17,3,112,1423,44,359,778,301,5,1423,22,15,7,841,4409,1888,30,23,0,29,11,958,17,0,18,3,0.87,0.15,0.0,0.0,23.3,2,0,0,0.9,0.9,0.05,-0.9,-0.9,1
186,Ben Godfrey,ENG,DF,Everton,1998,22.5,47,32,29,14,4,24,39,15,41,19,22,15,62,100,2,32,1.42,25,2,1,2,0,2,2,0.09,1,0,0,1,0,0,6,0,0,17,12,0,12,15,32,0,0,0,94,36,43,611,808,75.6,10370,3667,277,335,285,354,36,79,0,0.8,0.7,-0.8,12,47,13,4,67,1080,141,499,443,148,23,1080,12,9,3,456,2466,1280,23,24,0,24,4,521,26,0,18,6,0.8,0.27,0.0,0.0,17.2,0,0,0,1.4,1.4,0.08,-1.4,-1.4,1
200,Marc Guéhi,ENG,DF,Crystal Palace,2000,35.8,35,17,24,10,1,15,16,1,34,26,8,30,65,127,0,25,0.7,20,0,1,2,2,0,3,0.08,1,0,0,1,1,0,4,0,0,14,34,0,3,30,17,0,1,0,192,68,54,2057,2360,87.2,40390,14502,664,722,1162,1261,214,342,1,1.3,1.0,-0.3,6,116,3,0,111,2654,376,1512,1070,82,32,2654,13,12,1,1663,7932,4727,17,15,0,14,7,1925,7,2,19,5,0.53,0.14,0.11,0.4,11.1,0,0,0,2.5,2.5,0.13,-0.5,-0.5,1
201,Bruno Guimarães,BRA,MF,Newcastle Utd,1997,11.5,44,23,18,22,4,21,38,17,25,6,19,9,53,13,0,31,2.7,22,0,1,6,1,1,4,0.35,1,0,0,3,0,0,4,0,0,13,36,4,12,9,23,0,0,0,81,4,9,441,522,84.5,7876,1942,208,231,156,178,59,73,1,1.1,1.4,-0.1,12,41,13,4,54,701,31,162,377,176,21,701,40,22,18,426,2333,795,18,15,4,24,29,462,15,5,23,12,2.0,1.04,0.22,0.42,18.0,0,0,0,3.1,3.1,0.16,1.9,1.9,1
204,Grant Hanley,SCO,DF,Norwich City,1991,32.2,44,25,28,14,2,18,35,17,56,45,11,56,100,176,2,14,0.43,9,1,0,4,0,0,0,0.0,0,0,0,0,0,0,2,0,0,22,22,2,0,56,25,0,0,0,121,102,33,1089,1310,83.1,20556,6269,381,445,590,650,101,183,0,0.9,0.4,-0.9,6,23,3,0,27,1702,369,1104,552,53,35,1702,3,1,2,850,3128,1390,2,5,0,9,1,942,3,1,20,4,0.62,0.12,0.05,0.25,9.2,0,0,0,2.1,2.1,0.11,-1.1,-1.1,1
210,Jordan Henderson,ENG,MF,Liverpool,1990,28.9,36,20,9,25,2,17,44,27,25,1,24,23,59,14,0,96,3.33,86,4,2,2,1,1,14,0.49,14,0,0,0,0,0,3,0,0,23,7,3,56,23,20,0,0,0,228,18,13,1886,2246,84.0,31808,8574,874,975,801,921,153,228,5,3.5,3.7,1.5,38,215,52,14,245,2444,34,292,1468,694,38,2444,25,16,9,1405,6113,2738,54,47,5,28,12,1859,116,2,31,6,1.07,0.21,0.06,0.33,24.5,1,0,0,1.5,1.5,0.05,0.5,0.5,1
213,Rico Henry,ENG,DF,Brentford,1997,30.8,28,20,18,8,2,12,34,22,31,10,21,26,54,76,1,50,1.62,41,2,5,0,2,0,4,0.13,2,1,1,0,0,0,2,0,0,20,27,1,74,26,20,0,1,0,189,27,40,876,1215,72.1,13166,4427,504,592,287,396,58,132,0,1.7,2.2,-1.7,18,60,29,15,81,1542,95,502,620,436,40,1542,60,27,33,783,4164,1967,61,39,12,40,34,836,131,3,14,5,0.45,0.16,0.21,0.6,16.7,0,0,0,1.5,1.5,0.11,1.5,1.5,1
217,Mason Holgate,ENG,DF,Everton,1996,23.7,35,18,26,9,0,11,26,15,25,17,8,26,61,95,1,5,0.21,4,1,0,0,0,0,1,0.04,1,0,0,0,0,0,7,1,0,26,15,0,4,26,18,0,0,1,105,61,31,584,876,66.7,12159,4600,192,260,289,368,94,213,1,0.1,0.3,0.9,3,43,2,0,40,1091,156,546,495,58,14,1091,4,2,2,477,2469,1334,4,7,1,3,7,507,2,2,7,2,0.3,0.08,0.29,1.0,9.8,0,0,0,1.3,1.3,0.19,0.7,0.7,1
220,Pierre Højbjerg,DEN,MF,Tottenham,1995,35.5,78,45,31,38,9,38,85,47,61,13,48,48,126,54,0,86,2.42,71,3,6,1,1,4,7,0.2,7,0,0,0,0,0,3,0,0,28,39,0,18,48,45,0,0,0,281,23,19,2287,2570,89.0,37884,10800,1115,1199,877,961,194,269,2,2.3,2.9,-0.3,25,229,36,3,242,2903,115,714,1776,444,30,2903,60,42,18,1765,8364,4032,46,42,7,32,22,2102,47,2,31,10,0.87,0.28,0.06,0.2,22.2,1,0,0,1.9,1.9,0.06,0.1,0.1,1
225,Alex Iwobi,NGA,MF|DF,Everton,1996,22.6,40,19,23,12,5,21,52,31,39,3,36,20,60,25,2,66,2.92,59,3,2,2,0,0,7,0.31,6,0,1,0,0,0,1,0,0,16,6,3,32,20,19,0,1,0,130,9,21,599,782,76.6,9080,3232,324,366,192,248,48,89,2,2.6,3.0,-0.6,36,61,40,6,103,1052,40,234,396,436,61,1052,57,32,25,581,3314,1660,44,37,19,44,27,638,104,2,24,6,1.06,0.27,0.08,0.33,16.4,0,0,0,2.3,2.3,0.1,-0.3,-0.3,1
229,Vitaly Janelt,GER,MF,Brentford,1998,25.5,61,32,26,27,8,27,53,26,23,7,16,28,89,35,0,57,2.23,42,3,2,6,2,2,3,0.12,2,0,0,1,0,0,3,0,0,26,25,3,40,28,32,0,0,0,143,33,25,755,1005,75.1,12860,4122,341,413,321,388,65,136,0,1.9,2.0,-1.9,23,80,13,3,103,1253,62,365,597,296,46,1253,15,13,2,605,2731,1369,25,24,4,35,11,739,60,4,30,12,1.17,0.47,0.13,0.33,18.4,0,0,0,2.4,2.4,0.08,1.6,1.6,1
230,Pontus Jansson,SWE,DF,Brentford,1991,36.9,40,21,32,8,0,22,34,12,37,27,10,52,92,187,0,14,0.38,7,0,0,6,1,0,4,0.11,1,0,0,2,1,0,7,0,0,15,8,5,1,52,21,1,0,0,166,102,81,1218,1507,80.8,22414,7103,421,498,703,821,77,145,1,0.3,0.6,0.7,5,35,0,0,67,1893,389,1176,650,71,57,1893,2,2,0,919,3896,2019,4,5,1,10,5,1025,5,3,22,10,0.6,0.27,0.14,0.3,8.9,0,0,0,3.0,3.0,0.14,0.0,0.0,1
231,Mathias Jensen,DEN,MF,Brentford,1996,17.8,33,18,12,16,5,22,63,41,32,3,29,22,55,13,0,66,3.71,43,19,0,2,0,2,3,0.17,2,1,0,0,0,0,0,0,0,19,6,3,79,22,18,0,0,0,100,7,16,574,795,72.2,11460,3742,247,294,201,260,115,203,1,3.2,3.4,-2.2,35,74,28,10,103,968,30,191,488,304,27,968,24,15,9,482,2100,1008,14,21,0,26,15,559,54,0,19,5,1.07,0.28,0.0,0.0,21.0,0,0,0,2.9,2.9,0.16,-2.9,-2.9,1
235,Joelinton,BRA,MF|FW,Newcastle Utd,1996,28.4,72,38,30,33,9,26,61,35,46,11,35,34,106,50,2,67,2.36,49,0,6,9,3,0,5,0.18,4,0,0,1,0,0,8,0,0,64,33,3,22,34,38,0,0,0,181,99,97,718,944,76.1,10060,2661,421,515,216,275,35,54,1,1.9,1.3,-0.9,29,68,17,2,92,1395,83,297,692,429,78,1395,70,37,33,719,4203,1946,45,42,10,85,60,836,90,4,45,14,1.58,0.49,0.09,0.29,17.6,0,0,0,3.3,3.3,0.07,0.7,0.7,1
236,Ben Johnson,ENG,DF,West Ham,2000,15.5,33,16,15,15,3,21,28,7,16,8,8,22,55,55,0,24,1.55,19,2,0,0,2,1,3,0.19,2,1,0,0,0,0,1,0,0,10,4,0,55,22,16,0,0,0,78,15,19,519,763,68.0,9212,3629,252,295,201,281,57,139,0,0.6,0.4,-0.6,9,50,14,12,64,952,85,337,410,212,9,952,10,7,3,455,2021,922,23,23,1,23,9,510,67,1,5,1,0.32,0.06,0.2,1.0,21.7,0,0,0,0.2,0.2,0.04,0.8,0.8,1
239,Jorginho,ITA,MF,Chelsea,1991,25.3,64,33,27,31,6,29,83,54,27,4,23,36,100,21,1,70,2.77,61,2,1,2,3,1,8,0.32,8,0,0,0,0,0,5,0,0,30,38,0,3,36,33,0,0,0,208,13,26,1681,1887,89.1,26181,7227,862,928,669,730,91,140,2,2.7,1.9,-0.7,27,186,36,0,178,2106,51,422,1299,399,13,2099,21,16,5,1175,4913,2414,18,27,1,22,19,1581,19,6,9,2,0.36,0.08,0.0,0.0,32.6,0,6,7,5.8,0.3,0.04,0.2,-0.3,1
246,Hassane Kamara,CIV,DF,Watford,1994,18.0,53,34,31,16,6,27,43,16,20,4,16,69,122,67,0,18,1.0,16,0,1,1,0,0,0,0.0,0,0,0,0,0,0,5,1,1,24,16,0,23,69,34,0,1,0,153,30,15,637,917,69.5,10140,4864,352,416,223,311,48,137,0,0.6,0.7,-0.6,10,47,10,4,55,1182,79,547,488,158,9,1182,30,15,15,529,2922,1403,32,14,2,16,6,505,25,1,5,1,0.28,0.06,0.2,1.0,25.7,0,0,0,0.2,0.2,0.03,0.8,0.8,1
248,N'Golo Kanté,FRA,MF,Chelsea,1991,19.7,59,31,20,27,12,25,40,15,37,2,35,31,90,8,0,69,3.5,59,0,3,3,0,4,16,0.81,14,0,1,1,0,0,2,0,0,22,11,0,11,31,31,0,0,0,153,14,14,1121,1308,85.7,16188,4538,630,695,397,450,43,61,4,2.1,2.4,1.9,24,105,29,0,159,1545,23,275,772,515,29,1545,48,35,13,916,5063,2743,72,65,10,35,28,1156,62,2,17,9,0.86,0.46,0.12,0.22,19.6,0,0,0,1.5,1.5,0.09,0.5,0.5,1
251,Michael Keane,ENG,DF,Everton,1993,31.0,46,25,32,13,1,28,45,17,33,28,5,62,108,128,2,19,0.61,13,1,0,4,0,1,1,0.03,1,0,0,0,0,0,4,1,1,16,7,1,1,62,25,0,0,2,149,96,59,927,1214,76.4,19535,8021,299,364,457,535,154,276,2,1.6,0.5,0.4,8,83,5,0,79,1541,232,776,717,59,32,1541,8,7,1,726,3617,1751,9,6,1,7,2,822,4,3,20,6,0.64,0.19,0.15,0.5,12.7,0,0,0,1.2,1.2,0.06,1.8,1.8,1
252,Naby Keïta,GUI,MF,Liverpool,1995,13.0,46,23,17,19,10,26,42,16,33,2,31,14,60,8,0,46,3.53,39,0,0,4,0,3,6,0.46,5,0,0,1,0,0,3,0,0,21,9,0,8,14,23,0,0,0,68,6,15,643,757,84.9,9141,2501,380,425,219,251,22,33,1,1.9,2.1,-0.9,15,56,21,0,75,933,13,121,518,303,30,933,24,15,9,514,2819,1592,39,30,8,30,10,658,42,3,26,7,1.99,0.54,0.12,0.43,22.6,0,0,0,2.2,2.2,0.08,0.8,0.8,1
256,Max Kilman,ENG,DF,Wolves,1997,29.9,50,26,38,10,2,24,37,13,36,21,15,45,95,113,3,10,0.33,7,0,1,1,0,1,2,0.07,1,0,0,1,0,0,3,0,0,17,11,0,2,45,26,0,1,0,155,66,39,1313,1535,85.5,23958,8631,537,588,626,692,131,210,0,0.2,0.4,-0.2,3,98,3,0,95,1846,206,925,844,92,22,1846,20,17,3,1039,5650,3243,31,23,0,21,5,1221,7,1,13,4,0.44,0.13,0.08,0.25,9.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,1
259,Mateusz Klich,POL,MF,Leeds United,1990,23.0,47,25,18,23,6,25,66,41,22,4,18,11,58,20,0,77,3.34,64,3,3,4,3,0,8,0.35,7,0,0,1,0,0,5,0,0,40,15,2,30,11,25,0,1,0,171,7,13,800,1026,78.0,11259,3630,453,514,240,314,38,84,2,2.2,2.0,-0.2,31,72,23,3,105,1253,29,259,626,386,53,1253,35,20,15,717,3666,1747,45,33,9,39,22,834,129,1,42,18,1.82,0.78,0.02,0.06,21.4,0,0,0,2.8,2.8,0.07,-1.8,-1.8,1
263,Ezri Konsa,ENG,DF,Aston Villa,1997,27.5,25,15,13,11,1,10,13,3,31,22,9,15,40,86,2,13,0.47,11,0,0,2,0,0,0,0.0,0,0,0,0,0,0,6,2,1,18,36,1,1,15,15,0,1,0,105,58,42,875,1013,86.4,15392,5885,345,381,470,505,46,94,0,0.3,0.5,-0.3,4,30,0,0,45,1237,201,713,463,70,37,1237,9,6,3,714,2992,1722,8,5,1,10,6,789,7,2,15,6,0.55,0.22,0.13,0.33,8.1,0,0,0,1.6,1.6,0.11,0.4,0.4,1
264,Cheikhou Kouyaté,SEN,MF,Crystal Palace,1989,21.9,52,38,28,22,2,18,39,21,40,14,26,38,90,39,0,15,0.68,13,0,1,0,0,1,1,0.05,1,0,0,0,0,0,3,0,0,30,21,0,4,38,38,0,0,0,136,50,29,656,804,81.6,10088,2834,338,390,253,308,36,58,1,0.8,1.0,0.2,5,44,3,1,54,1058,72,389,581,100,7,1058,17,13,4,477,1839,778,7,7,0,30,11,529,9,0,7,0,0.32,0.0,0.0,0.0,21.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,1
265,Mateo Kovačić,CRO,MF,Chelsea,1994,17.3,51,31,14,26,11,17,35,18,19,4,15,7,58,9,1,69,3.98,58,0,4,3,3,1,8,0.46,7,0,0,0,0,1,4,0,0,24,20,0,6,7,31,0,0,0,111,5,5,1061,1203,88.2,17022,4072,537,580,405,453,77,106,5,3.2,3.0,1.8,27,127,23,1,135,1368,22,217,826,343,15,1368,51,38,13,875,5069,2523,42,63,3,18,22,1076,37,2,22,6,1.27,0.35,0.09,0.33,20.3,1,0,0,1.6,1.6,0.07,0.4,0.4,1
266,Emil Krafth,SWE,DF,Newcastle Utd,1994,18.2,37,16,25,11,1,27,36,9,16,10,6,25,62,56,0,19,1.05,11,4,1,1,1,1,2,0.11,2,0,0,0,0,0,5,0,0,22,11,0,21,25,16,0,0,0,94,22,29,551,780,70.6,8120,3587,292,348,203,287,24,78,1,1.0,0.8,0.0,6,35,7,1,50,961,76,388,387,192,9,961,4,2,2,370,1754,1016,29,21,3,9,4,425,24,0,6,1,0.33,0.06,0.0,0.0,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,1
269,Juraj Kucka,SVK,MF,Watford,1987,21.3,59,39,32,25,2,27,73,46,30,9,21,27,86,46,2,42,1.97,27,0,5,2,7,1,2,0.09,1,0,1,0,0,0,5,1,1,46,49,2,16,27,39,0,1,1,158,56,47,485,713,68.0,7757,2545,244,322,176,247,39,76,1,0.9,1.2,0.1,10,41,7,4,60,1030,74,297,521,223,31,1030,33,17,16,458,2360,1013,21,20,2,48,19,514,31,1,46,11,2.16,0.52,0.02,0.09,20.8,3,0,0,3.2,3.2,0.07,-2.2,-2.2,1
272,Adam Lallana,ENG,MF,Brighton,1988,17.3,34,17,14,14,6,12,41,29,16,6,10,16,50,13,1,28,1.62,24,0,0,2,2,0,4,0.23,4,0,0,0,0,0,4,0,0,11,17,0,3,16,17,0,0,0,126,15,8,836,962,86.9,11641,2793,502,552,265,288,28,53,1,0.9,1.0,0.1,8,58,17,1,76,1123,40,243,632,255,35,1123,23,14,9,618,2312,1084,17,21,2,24,15,793,47,0,19,4,1.1,0.23,0.0,0.0,19.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1,1
274,Manuel Lanzini,ARG,MF|FW,West Ham,1993,19.8,28,15,10,11,7,10,35,25,16,0,16,19,47,10,0,60,3.02,51,4,3,0,1,1,9,0.45,7,0,1,0,0,1,2,0,0,11,18,1,28,19,15,0,0,0,124,5,17,1118,1237,90.4,16115,3945,642,678,372,407,52,77,3,2.4,2.5,0.6,23,87,22,3,119,1402,23,217,820,379,35,1399,36,25,11,889,4207,1876,29,37,6,31,16,1026,57,5,13,4,0.66,0.2,0.15,0.5,23.1,1,3,3,3.7,1.3,0.1,1.3,0.7,1
275,Aymeric Laporte,ESP,DF,Manchester City,1994,31.4,33,15,22,10,1,14,20,6,15,10,5,20,53,64,2,40,1.27,34,0,1,4,1,0,6,0.19,3,0,0,2,1,0,5,1,0,14,10,2,5,20,15,1,0,0,182,52,32,2782,2940,94.6,53607,17549,933,966,1575,1624,251,316,0,0.6,1.3,-0.6,9,309,9,2,271,3135,210,1048,1937,158,42,3135,8,6,2,2325,12799,9256,51,49,0,4,7,2550,8,4,35,7,1.11,0.22,0.11,0.57,11.6,0,0,0,4.9,4.9,0.14,-0.9,-0.9,1
277,Pierre Lees-Melou,FRA,MF,Norwich City,1993,25.2,58,36,23,29,6,25,92,67,37,11,26,25,83,23,0,55,2.18,48,1,1,1,1,3,2,0.08,1,0,0,0,1,0,5,0,0,35,23,2,33,25,36,1,0,0,181,14,15,807,1033,78.1,13876,4105,413,483,252,299,107,169,0,1.9,2.4,-1.9,25,81,26,9,114,1265,76,360,616,308,23,1265,30,19,11,742,3433,1533,33,26,6,27,17,822,60,1,33,9,1.31,0.36,0.03,0.11,24.5,0,0,0,1.6,1.6,0.05,-0.6,-0.6,1
281,Victor Lindelöf,SWE,DF,Manchester Utd,1994,26.2,16,11,9,7,0,9,14,5,26,17,9,25,41,96,0,13,0.5,12,0,0,0,0,1,4,0.15,3,0,0,0,0,1,4,0,0,19,6,2,0,25,11,0,0,0,161,52,33,1215,1385,87.7,22399,8069,452,486,637,691,107,165,2,0.6,0.8,1.4,4,75,6,0,72,1595,221,881,680,46,10,1595,3,3,0,919,5814,3385,14,17,3,8,1,1025,3,0,3,2,0.11,0.08,0.0,0.0,8.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,1
283,Valentino Livramento,ENG,DF,Southampton,2002,24.5,54,28,30,18,6,27,45,18,23,9,14,47,101,50,1,44,1.8,37,0,2,1,3,1,3,0.12,1,0,1,0,1,0,2,0,0,12,36,1,62,47,28,1,0,0,176,24,25,864,1166,74.1,12649,4429,507,587,281,388,43,106,1,2.7,2.7,-1.7,20,44,27,8,80,1486,74,407,675,441,47,1486,55,30,25,742,5095,2722,79,54,16,52,19,763,118,1,12,3,0.49,0.12,0.08,0.33,15.9,0,0,0,1.4,1.4,0.12,-0.4,-0.4,1
284,Diego Llorente,ESP,DF,Leeds United,1993,26.0,53,31,32,19,2,33,47,14,35,17,18,40,93,77,2,9,0.35,7,0,0,0,1,1,0,0.0,0,0,0,0,0,0,7,0,0,23,21,0,2,40,31,0,0,0,171,49,64,1115,1373,81.2,21989,7473,335,389,648,712,118,225,0,0.1,0.2,-0.1,2,68,3,0,97,1654,193,897,720,49,11,1654,13,8,5,980,6495,4314,20,2,1,20,3,1015,1,3,10,3,0.38,0.12,0.3,1.0,10.6,0,0,0,1.0,1.0,0.1,2.0,2.0,1
288,Ruben Loftus-Cheek,ENG,MF|DF,Chelsea,1996,15.5,29,10,16,11,2,10,19,9,15,6,9,11,40,17,0,56,3.62,44,0,3,4,3,2,6,0.39,3,0,0,2,0,1,1,0,0,18,41,2,7,11,10,0,0,0,109,36,18,876,981,89.3,13025,3046,507,547,315,355,33,42,2,2.4,2.4,-0.4,18,77,20,0,108,1172,20,182,682,327,40,1172,60,42,18,724,4399,2651,69,50,9,27,33,887,53,0,19,6,1.23,0.39,0.0,0.0,18.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,1
291,Sean Longstaff,ENG,MF,Newcastle Utd,1997,16.3,54,34,18,31,5,24,65,41,18,6,12,9,63,18,0,26,1.6,22,2,0,1,0,1,3,0.18,2,1,0,0,0,0,1,0,0,14,17,0,11,9,34,0,0,0,95,13,18,481,604,79.6,8348,2303,229,271,177,200,52,89,1,0.8,0.8,0.2,7,44,4,0,43,775,43,201,439,138,14,775,11,6,5,372,1366,429,2,7,1,22,18,430,15,1,15,2,0.92,0.12,0.07,0.5,26.0,1,0,0,0.7,0.7,0.05,0.3,0.3,1
294,Imran Louza,MAR,MF,Watford,1999,15.7,41,21,18,20,3,16,38,22,28,6,22,42,83,20,1,34,2.16,16,11,1,2,1,3,2,0.13,2,0,0,0,0,0,6,0,0,24,13,0,54,42,21,0,0,0,129,12,19,521,711,73.3,9666,3088,208,254,226,284,75,143,0,1.1,1.1,-1.1,15,63,8,1,67,911,42,236,538,160,10,911,24,14,10,385,2088,949,17,9,2,19,9,446,24,0,17,4,1.08,0.25,0.0,0.0,27.5,6,0,0,1.2,1.2,0.07,-1.2,-1.2,1
295,Matthew Lowton,ENG,DF,Burnley,1989,19.7,38,24,20,10,8,20,37,17,25,11,14,26,64,68,0,34,1.73,25,4,0,1,2,2,2,0.1,1,0,0,1,0,0,3,1,0,13,6,0,51,26,24,0,0,0,118,25,16,599,887,67.5,10846,5050,302,344,197,286,90,208,2,2.1,1.6,-0.1,18,65,21,9,74,1090,94,314,507,279,5,1090,21,10,11,419,1585,915,21,14,0,11,6,481,39,1,10,2,0.51,0.1,0.1,0.5,21.6,0,0,0,0.7,0.7,0.07,0.3,0.3,1
296,Douglas Luiz,BRA,MF,Aston Villa,1998,30.2,59,39,30,24,5,21,72,51,30,7,23,34,93,28,1,89,2.95,60,21,1,2,5,0,9,0.3,6,2,0,1,0,0,7,0,0,37,41,0,83,34,39,0,0,0,183,26,32,1290,1550,83.2,21991,7065,567,644,559,629,121,210,3,2.5,2.2,0.5,37,107,19,2,105,1823,84,459,1060,319,8,1823,43,24,19,1006,5053,2345,28,16,1,50,17,1116,44,2,23,8,0.76,0.27,0.09,0.25,25.3,8,0,0,2.0,2.0,0.09,0.0,0.0,1
