Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
26,Ronald Araújo,URU,DF,Barcelona,20,1999,2.6,3,2,2,1,0,1,1,100.0,0,6,2,4,0,3,9,0
27,Anaitz Arbilla,ESP,DF,Eibar,32,1987,22.3,33,20,23,8,2,16,34,47.1,18,20,4,16,29,62,82,0
28,Alphonse Areola,FRA,GK,Real Madrid,26,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
29,Santiago Arias,COL,DF,Atlético Madrid,27,1992,12.0,36,24,20,12,4,10,18,55.6,8,12,7,5,19,55,20,1
30,José Arnaiz,ESP,FW|MF,Osasuna,24,1995,8.8,3,2,0,2,1,0,12,0.0,12,7,0,7,5,8,5,0
31,José Arnaiz,ESP,MF,Leganés,24,1995,3.7,3,0,1,2,0,2,5,40.0,3,4,0,4,2,5,1,0
32,Sergio Asenjo,ESP,GK,Villarreal,30,1989,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,1
33,Marco Asensio,ESP,FW,Real Madrid,23,1996,3.7,4,3,3,1,0,1,4,25.0,3,2,0,2,1,5,4,0
34,Iago Aspas,ESP,FW,Celta Vigo,31,1987,36.2,29,19,7,9,13,12,45,26.7,33,16,1,15,22,51,7,0
35,Roger Assalé,CIV,FW|MF,Leganés,25,1993,5.9,3,2,1,0,2,1,9,11.1,8,8,0,8,0,3,1,0
36,Miguel Atienza,ESP,MF,Eibar,20,1999,0.3,1,1,0,1,0,1,2,50.0,1,1,1,0,2,3,1,0
37,Ezequiel Ávila,ARG,FW,Osasuna,25,1994,17.7,17,12,6,7,4,6,18,33.3,12,12,0,12,3,20,5,0
38,Javier Avilés,ESP,MF|FW,Leganés,21,1997,2.0,9,7,2,7,0,2,4,50.0,2,3,0,3,3,12,1,0
39,Chidozie Awaziem,NGA,DF,Leganés,22,1997,22.2,34,22,29,5,0,16,27,59.3,11,26,15,11,28,62,73,1
40,Ramon Azeez,NGA,MF,Granada,26,1992,15.1,11,8,2,8,1,7,19,36.8,12,8,2,6,19,30,11,1
41,Iddrisu Baba,GHA,MF,Mallorca,23,1996,32.3,59,37,26,29,4,20,70,28.6,50,31,8,23,39,98,42,0
42,Carlos Bacca,COL,FW,Villarreal,32,1986,7.6,5,1,1,2,2,2,6,33.3,4,4,0,4,0,5,7,0
43,Alex Baena,ESP,MF,Villarreal,18,2001,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
44,Gareth Bale,WAL,FW|MF,Real Madrid,30,1989,12.1,9,5,5,2,2,3,14,21.4,11,8,2,6,6,15,9,0
45,Mikel Balenziaga,ESP,DF,Athletic Club,31,1988,6.3,15,10,4,10,1,9,11,81.8,2,4,1,3,2,17,20,0
46,Éver Banega,ARG,MF,Sevilla,31,1988,27.5,43,28,16,18,9,21,70,30.0,49,19,1,18,15,58,5,0
47,Federico Barba,ITA,DF,Valladolid,25,1993,5.0,12,6,10,2,0,7,9,77.8,2,5,2,3,8,20,12,0
48,Enis Bardhi,MKD,MF,Levante,24,1995,23.5,24,11,7,15,2,8,35,22.9,27,15,4,11,15,39,19,0
49,Kike Barja,ESP,MF|FW,Osasuna,22,1997,3.5,1,1,1,0,0,1,1,100.0,0,3,1,2,0,1,2,0
50,Antonio Barragán,ESP,DF,Betis,32,1987,7.1,7,5,4,2,1,3,6,50.0,3,2,2,0,8,15,22,0
51,Ander Barrenetxea,ESP,FW|MF,Real Sociedad,17,2001,4.9,12,9,5,5,2,4,10,40.0,6,3,0,3,3,15,4,0
52,Marc Bartra,ESP,DF|MF,Betis,28,1991,28.0,62,34,39,23,0,27,54,50.0,27,45,24,21,35,97,127,0
53,Gil Bastião Dias,POR,MF|DF,Granada,22,1996,4.0,19,14,10,6,3,7,17,41.2,10,4,1,3,3,22,7,0
54,Fran Beltrán,ESP,MF,Celta Vigo,20,1999,20.3,31,19,15,12,4,11,35,31.4,24,14,1,13,14,45,17,0
55,Hatem Ben Arfa,FRA,MF|FW,Valladolid,32,1987,1.8,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,0,0
56,Karim Benzema,FRA,FW,Real Madrid,31,1987,34.9,18,8,3,11,4,2,16,12.5,14,16,4,12,7,25,30,1
57,Yuri Berchiche,ESP,DF,Athletic Club,29,1990,31.7,48,35,32,15,1,21,40,52.5,19,26,4,22,30,78,73,1
58,Markel Bergara,ESP,MF,Getafe,33,1986,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
59,Sergio Bermejo,ESP,MF|FW,Celta Vigo,21,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
60,Pedro Bigas,ESP,DF,Eibar,28,1990,19.7,18,9,11,7,0,9,19,47.4,10,16,10,6,36,54,82,0
61,Rubén Blanco,ESP,GK,Celta Vigo,24,1995,32.9,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,14,1
62,Pablo de Blasis,ARG,DF|MF,Eibar,31,1988,17.8,41,32,22,13,6,30,63,47.6,33,13,0,13,24,65,21,0
63,Alejandro Blesa,ESP,MF,Levante,17,2002,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
64,Yassine Bounou,MAR,GK,Sevilla,28,1991,5.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
65,Filip Bradarić,CRO,MF,Celta Vigo,27,1992,7.8,12,9,5,5,2,3,8,37.5,5,12,3,9,17,29,19,0
66,Martin Braithwaite,DEN,FW|MF,Barcelona,28,1991,4.5,2,2,2,0,0,0,8,0.0,8,3,0,3,1,3,1,0
67,Martin Braithwaite,DEN,FW|MF,Leganés,28,1991,21.5,13,7,4,5,4,4,12,33.3,8,10,2,8,4,17,9,0
68,Brandon,ESP,FW,Osasuna,24,1995,4.5,5,3,1,3,1,0,5,0.0,5,4,0,4,0,5,1,0
69,Darko Brašanac,SRB,MF,Osasuna,27,1992,24.9,45,25,14,26,5,15,41,36.6,26,19,4,15,20,65,21,0
70,Yan Brice Eteki,CMR,MF,Granada,21,1997,16.7,37,21,14,18,5,15,31,48.4,16,17,4,13,24,61,20,1
71,Ante Budimir,CRO,FW,Mallorca,28,1991,30.7,31,15,4,22,5,7,29,24.1,22,21,4,17,8,39,29,0
72,Esteban Burgos,ARG,DF,Eibar,27,1992,12.4,11,9,9,2,0,5,9,55.6,4,11,6,5,17,28,66,2
73,Burgui,ESP,MF,Alavés,25,1993,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
74,Oliver Burke,SCO,MF|FW,Alavés,22,1997,15.9,19,14,8,9,2,10,23,43.5,13,24,0,24,8,27,16,0
75,Sergio Busquets,ESP,MF,Barcelona,31,1988,27.6,80,44,23,43,14,41,71,57.7,30,36,5,31,44,124,24,2
76,Unai Bustinza,ESP,DF,Leganés,27,1992,29.8,66,40,40,19,7,32,53,60.4,21,30,9,21,65,131,77,0
77,Erick Cabaco,URU,DF,Getafe,24,1995,3.0,3,2,1,2,0,0,3,0.0,3,1,1,0,3,6,11,0
78,Erick Cabaco,URU,DF,Levante,24,1995,9.0,12,9,9,3,0,4,6,66.7,2,12,7,5,12,24,50,1
79,Ariday Cabrera,ESP,MF,Mallorca,30,1988,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
80,Leandro Cabrera,URU,DF,Getafe,28,1991,17.0,10,6,5,5,0,5,12,41.7,7,10,4,6,21,31,66,0
81,Leandro Cabrera,URU,DF,Espanyol,28,1991,17.0,27,11,17,9,1,17,28,60.7,11,19,12,7,21,48,78,1
82,Fernando Calero,ESP,DF,Espanyol,23,1995,11.6,14,9,10,4,0,7,15,46.7,8,13,5,8,8,22,42,1
83,Jonathan Calleri,ARG,FW,Espanyol,25,1993,20.1,12,8,6,4,2,3,24,12.5,21,11,3,8,7,19,22,0
84,Víctor Camarasa,ESP,MF,Alavés,25,1994,14.4,18,10,5,10,3,7,18,38.9,11,8,3,5,15,33,12,0
85,Sergio Camello,ESP,FW,Atlético Madrid,18,2001,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
86,José Campaña,ESP,MF,Levante,26,1993,35.1,38,25,15,13,10,13,53,24.5,40,30,5,25,44,82,42,2
87,Xisco Campos,ESP,DF,Mallorca,37,1982,5.3,7,4,5,2,0,5,9,55.6,4,8,5,3,11,18,23,0
88,Víctor Campuzano,ESP,FW,Espanyol,22,1997,9.7,12,9,1,6,5,3,19,15.8,16,8,0,8,2,14,4,0
89,Sergio Canales,ESP,MF|FW,Betis,28,1991,35.1,25,16,14,6,5,7,28,25.0,21,30,1,29,13,38,16,0
90,Ander Capa,ESP,DF,Athletic Club,27,1992,31.9,64,36,37,21,6,24,59,40.7,35,26,7,19,28,92,63,0
91,Marc Cardona,ESP,FW,Osasuna,24,1995,7.8,1,0,0,1,0,0,8,0.0,8,3,1,2,2,3,2,0
92,Diego Carlos,BRA,DF,Sevilla,26,1993,34.8,35,23,25,9,1,15,25,60.0,10,33,24,9,37,72,176,1
93,Yannick Carrasco,BEL,MF|FW,Atlético Madrid,25,1993,7.0,11,7,4,4,3,7,21,33.3,14,9,0,9,5,16,2,0
94,Daniel Carriço,POR,DF,Sevilla,30,1988,9.4,8,2,4,3,1,1,6,16.7,5,4,3,1,8,16,23,0
95,Guido Carrillo,ARG,FW,Leganés,28,1991,13.5,13,10,3,6,4,2,14,14.3,12,9,1,8,3,16,22,0
