Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
393,Gabriel Paulista,BRA,DF,Valencia,27,1990,29.1,0,11,2,18.2,0.38,0.07,0.00,0.00,11.3,0,0,0,1.1,1.0,0.09,-1.1,-1.0
394,Alfonso Pedraza,ESP,DF|FW,Villarreal,22,1996,23.3,3,36,13,36.1,1.55,0.56,0.08,0.23,16.3,0,0,0,3.7,3.7,0.10,-0.7,-0.7
395,Adrià Pedrosa,ESP,DF,Espanyol,20,1998,8.5,1,6,1,16.7,0.71,0.12,0.17,1.00,22.5,0,0,0,0.5,0.5,0.08,+0.5,+0.5
396,Rubén Peña,ESP,DF,Eibar,27,1991,29.7,1,22,4,18.2,0.74,0.13,0.05,0.25,22.6,0,0,0,0.8,0.8,0.04,+0.2,+0.2
397,Carles Pérez,ESP,FW,Barcelona,20,1998,0.2,0,1,0,0.0,5.00,0.00,0.00,,7.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
398,Hernán Pérez,PAR,FW|MF,Espanyol,29,1989,8.8,1,15,6,40.0,1.70,0.68,0.07,0.17,15.5,0,0,0,1.2,1.2,0.08,-0.2,-0.2
399,Rubén Pérez,ESP,MF,Leganés,29,1989,27.5,0,11,3,27.3,0.40,0.11,0.00,0.00,27.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3
400,Pablo Piatti,ARG,FW|MF,Espanyol,29,1989,8.3,1,15,6,40.0,1.82,0.73,0.07,0.17,18.5,1,0,0,1.4,1.4,0.09,-0.4,-0.4
401,Cristiano Piccini,ITA,DF,Valencia,25,1992,20.8,1,12,3,25.0,0.58,0.14,0.08,0.33,21.6,0,0,0,0.5,0.5,0.04,+0.5,+0.5
402,Tomás Pina Isla,ESP,MF,Alavés,30,1987,26.0,2,12,2,16.7,0.46,0.08,0.17,1.00,17.1,0,0,0,1.4,1.4,0.12,+0.6,+0.6
403,Gerard Piqué,ESP,DF,Barcelona,31,1987,35.0,4,18,10,55.6,0.51,0.29,0.22,0.40,8.0,0,0,0,3.3,3.3,0.19,+0.7,+0.7
404,Carles Planas,ESP,DF,Girona,27,1991,4.7,0,1,0,0.0,0.21,0.00,0.00,,17.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
405,Óscar Plano,ESP,MF|FW,Valladolid,27,1991,29.9,3,46,14,30.4,1.54,0.47,0.07,0.21,18.8,1,0,0,4.2,4.2,0.09,-1.2,-1.2
406,Stiven Plaza,ECU,FW|MF,Valladolid,19,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
407,Pere Pons,ESP,MF,Girona,25,1993,31.0,1,19,6,31.6,0.61,0.19,0.05,0.17,21.0,0,0,0,1.6,1.6,0.09,-0.6,-0.6
408,Pedro Porro,ESP,DF,Girona,18,1999,24.6,0,23,6,26.1,0.94,0.24,0.00,0.00,22.9,0,0,0,1.6,1.6,0.07,-1.6,-1.6
409,Francisco Portillo,ESP,MF,Getafe,28,1990,22.2,1,9,5,55.6,0.41,0.23,0.11,0.20,14.0,0,0,0,1.9,1.9,0.21,-0.9,-0.9
410,Portu,ESP,FW|MF,Girona,26,1992,31.3,9,36,17,47.2,1.15,0.54,0.22,0.47,13.7,0,1,1,7.9,7.1,0.20,+1.1,+0.9
411,Sergio Postigo,ESP,DF,Levante,29,1988,16.1,1,6,2,33.3,0.37,0.12,0.17,0.50,10.6,0,0,0,0.9,0.9,0.15,+0.1,+0.1
412,José Pozo,ESP,MF,Rayo Vallecano,22,1996,18.0,3,22,10,45.5,1.22,0.56,0.14,0.30,18.5,0,0,0,2.6,2.6,0.12,+0.4,+0.4
413,Sanjin Prcić,BIH,MF,Levante,24,1993,5.9,0,8,1,12.5,1.35,0.17,0.00,0.00,28.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
414,Quincy Promes,NED,FW|DF,Sevilla,26,1992,17.6,2,30,4,13.3,1.71,0.23,0.07,0.50,20.9,0,0,1,2.9,2.0,0.07,-0.9,0.0
415,Javi Puado,ESP,FW|MF,Espanyol,20,1998,4.0,0,8,2,25.0,2.01,0.50,0.00,0.00,15.4,0,0,0,0.9,0.9,0.11,-0.9,-0.9
416,Riqui Puig,ESP,MF,Barcelona,18,1999,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
417,Jorge Pulido,ESP,DF,Huesca,27,1991,30.9,3,19,7,36.8,0.61,0.23,0.16,0.43,12.8,0,0,0,2.5,2.5,0.13,+0.5,+0.5
418,Xavi Quintillà,ESP,DF,Villarreal,21,1996,7.0,0,3,0,0.0,0.43,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
419,Dani Raba,ESP,MF|FW,Villarreal,22,1995,2.1,0,2,0,0.0,0.94,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
420,Rafinha,BRA,FW|MF,Barcelona,25,1993,2.5,0,2,0,0.0,0.81,0.00,0.00,,17.8,0,0,0,0.4,0.4,0.20,-0.4,-0.4
421,Ivan Rakitić,CRO,MF,Barcelona,30,1988,29.4,3,36,11,30.6,1.23,0.37,0.08,0.27,22.8,0,0,0,2.6,2.6,0.07,+0.4,+0.4
422,Jonás Ramalho,ESP,DF,Girona,25,1993,18.0,1,7,2,28.6,0.39,0.11,0.14,0.50,11.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2
423,Sandro Ramírez,ESP,FW|MF,Real Sociedad,23,1995,11.7,0,42,12,28.6,3.58,1.02,0.00,0.00,19.5,4,0,0,2.5,2.5,0.06,-2.5,-2.5
424,Iván Ramis,ESP,DF,Eibar,33,1984,18.6,0,17,3,17.6,0.91,0.16,0.00,0.00,11.8,0,0,0,1.3,1.3,0.08,-1.3,-1.3
425,Chris Ramos,ESP,FW,Valladolid,21,1997,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
426,Sergio Ramos,ESP,DF,Real Madrid,32,1986,27.5,6,26,8,30.8,0.95,0.29,0.04,0.13,16.4,3,5,5,7.1,3.2,0.12,-1.1,-2.2
427,Recio,ESP,MF,Leganés,27,1991,14.3,0,10,4,40.0,0.70,0.28,0.00,0.00,23.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
428,Sergio Reguilón,ESP,DF,Real Madrid,21,1996,12.4,0,6,0,0.0,0.48,0.00,0.00,,20.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
429,Diego Reyes,MEX,DF,Leganés,25,1992,3.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
430,Mikel Rico,ESP,MF,Athletic Club,33,1984,2.7,0,3,1,33.3,1.12,0.37,0.00,0.00,12.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3
431,Asier Riesgo,ESP,GK,Eibar,34,1983,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
432,Cristian Rivera,ESP,MF,Huesca,21,1997,18.8,2,14,6,42.9,0.74,0.32,0.14,0.33,18.9,0,0,0,1.7,1.7,0.12,+0.3,+0.3
433,Rober,ESP,DF,Levante,23,1995,31.7,1,8,1,12.5,0.25,0.03,0.13,1.00,8.9,0,0,0,0.9,0.9,0.11,+0.1,+0.1
434,Sergi Roberto,ESP,DF|MF,Barcelona,26,1992,23.2,0,9,1,11.1,0.39,0.04,0.00,0.00,14.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5
435,Patrick Roberts,ENG,MF|FW,Girona,21,1997,6.7,0,7,5,71.4,1.05,0.75,0.00,0.00,16.4,0,0,0,0.8,0.8,0.12,-0.8,-0.8
436,Joel Robles,ESP,GK,Betis,28,1990,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
437,Marc Roca,ESP,MF,Espanyol,21,1996,34.6,1,23,9,39.1,0.67,0.26,0.04,0.11,25.9,0,0,0,1.7,1.7,0.07,-0.7,-0.7
