Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
525,Léo Sena,BRA,MF,Spezia,24,1995,9.8,543,624,87.0,11724,3219,174,193,90.2,236,261,90.4,121,144,84.0,0,0.1,0.5,-0.1,2,113,5,1,92
526,Stefano Sensi,ITA,MF,Inter,24,1995,6.7,354,432,81.9,5867,1586,174,190,91.6,134,160,83.8,33,57,57.9,0,0.9,1.1,-0.9,11,40,11,2,58
527,Luigi Sepe,ITA,GK,Parma,29,1991,36.0,1147,1445,79.4,34233,26869,214,218,98.2,468,474,98.7,457,739,61.8,0,0.0,0.1,0.0,0,33,0,0,1
528,Stephan El Shaarawy,ITA,MF|FW,Roma,27,1992,6.4,186,240,77.5,3004,543,96,119,80.7,71,83,85.5,13,17,76.5,1,1.1,1.0,-0.1,17,9,11,3,22
529,Eldor Shomurodov,UZB,FW,Genoa,25,1995,18.6,329,483,68.1,4089,754,202,258,78.3,78,117,66.7,12,20,60.0,1,1.9,1.2,-0.9,20,17,9,2,32
530,Luca Siligardi,ITA,MF|FW,Crotone,32,1988,0.5,15,20,75.0,261,68,6,8,75.0,7,8,87.5,1,2,50.0,0,0.1,0.0,-0.1,2,3,1,0,4
531,Luca Siligardi,ITA,FW|MF,Parma,32,1988,0.4,11,19,57.9,153,38,8,9,88.9,3,3,100.0,0,2,0.0,0,0.2,0.2,-0.2,2,0,1,1,1
532,Adrien Silva,POR,MF,Sampdoria,31,1989,17.8,822,948,86.7,15307,4370,350,400,87.5,318,352,90.3,130,152,85.5,1,0.8,0.7,+0.2,11,92,7,1,94
533,Marco Silvestri,ITA,GK,Hellas Verona,29,1991,34.0,440,963,45.7,16170,14614,60,60,100.0,141,144,97.9,239,753,31.7,0,0.0,0.1,0.0,0,19,0,0,0
534,Giovanni Simeone,ARG,FW,Cagliari,25,1995,19.3,255,346,73.7,3452,361,153,194,78.9,79,99,79.8,5,12,41.7,2,1.3,0.7,+0.7,12,7,3,1,13
