Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
261,Juan Jesus,BRA,DF,Roma,29,1991,1.7,0,0,0,4,0,0,0,2,1,0,0,0,7,2,2,50.0
262,Hamed Junior Traorè,CIV,MF|FW,Sassuolo,20,2000,19.9,6,0,0,25,19,3,62,18,17,1,0,0,77,13,20,39.4
263,Musa Juwara,GAM,MF|DF,Bologna,18,2001,0.5,1,0,0,1,2,0,5,0,2,0,0,0,2,0,0,
264,Nikola Kalinić,CRO,FW,Hellas Verona,32,1988,11.8,2,0,0,27,34,10,1,1,1,0,0,0,22,17,51,25.0
265,Yayah Kallon,SLE,FW,Genoa,19,2001,0.5,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,66.7
266,Pierre Kalulu,FRA,DF,Milan,20,2000,8.1,1,0,0,9,2,0,17,19,14,0,1,0,51,11,13,45.8
267,Yann Karamoh,FRA,FW|MF,Parma,22,1998,14.4,3,0,0,14,13,7,21,4,17,1,0,0,69,8,13,38.1
268,Isaac Karamoko,FRA,DF,Sassuolo,18,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
269,Augustus Kargbo,SLE,FW,Crotone,20,1999,0.4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,
270,Rick Karsdorp,NED,DF,Roma,25,1995,28.3,2,0,0,36,13,3,55,30,23,0,0,0,141,6,21,22.2
271,Franck Kessié,CIV,MF,Milan,23,1996,35.8,8,0,0,65,40,1,13,46,30,1,1,0,269,56,45,55.4
272,Omar Khailoti,ITA,DF,Bologna,18,2001,0.3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
273,Simon Kjær,DEN,DF,Milan,31,1989,26.6,3,0,0,26,10,1,3,42,26,0,0,0,126,54,43,55.7
274,Ragnar Klavan,EST,DF,Cagliari,34,1985,8.6,1,0,0,8,1,0,1,8,9,0,1,0,39,12,14,46.2
275,Justin Kluivert,NED,MF,Roma,21,1999,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
276,Aleksandr Kokorin,RUS,FW|MF,Fiorentina,29,1991,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0
277,Aleksandar Kolarov,SRB,DF,Inter,34,1985,4.3,0,0,0,3,4,0,18,7,4,0,1,0,30,11,6,64.7
278,Márk Kosznovszky,HUN,MF,Parma,18,2002,1.0,0,0,0,2,0,0,0,1,2,0,0,0,3,0,0,
279,Christian Kouamé,CIV,FW,Fiorentina,22,1997,11.1,4,0,0,25,32,5,6,5,4,0,0,0,31,38,56,40.4
280,Kalidou Koulibaly,SEN,DF,Napoli,29,1991,24.5,10,1,1,29,9,0,5,29,24,0,0,0,172,40,37,51.9
