Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
13,Marco Festa,ITA,GK,Crotone,28,1992,1.0,1,0,0,0,0,0.9,0.11,-0.1,-0.10,8,13,61.5,26,9,30.8,31.1,10,50.0,36.7,20,0,0.0,1,1.00,11.5
14,Daniel Fuzato,BRA,GK,Roma,23,1997,5.0,7,0,0,1,0,5.6,0.22,-1.4,-0.27,17,51,33.3,122,31,32.8,34.1,30,36.7,37.2,50,4,8.0,2,0.40,11.5
15,Manuel Gasparini,ITA,GK,Udinese,18,2002,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,1,0,100.0,44.0,1,0.0,15.0,0,0,,0,0.00,
16,Pierluigi Gollini,ITA,GK,Atalanta,25,1995,24.0,26,4,0,3,1,24.9,0.29,-0.1,0.00,92,232,39.7,550,87,28.7,32.6,116,63.8,49.7,234,6,2.6,39,1.63,17.4
17,Samir Handanović,SVN,GK,Inter,36,1984,36.0,33,4,1,3,1,31.6,0.24,-0.4,-0.01,91,200,45.5,911,159,17.0,26.7,167,26.9,30.8,441,13,2.9,22,0.61,14.9
18,Karlo Letica,CRO,GK,Sampdoria,23,1997,1.0,0,0,0,0,0,0.2,0.22,+0.2,+0.22,1,5,20.0,29,7,13.8,25.6,5,20.0,33.6,17,0,0.0,1,1.00,11.0
19,Pau López,ESP,GK,Roma,25,1994,20.2,29,3,1,4,3,25.4,0.27,-0.6,-0.03,59,166,35.5,562,107,22.6,29.2,101,38.6,35.6,174,7,4.0,30,1.49,19.2
20,Niccolò Manfredini,ITA,GK,Benevento,32,1988,1.0,1,0,0,1,0,0.9,0.18,-0.1,-0.08,1,5,20.0,24,9,8.3,25.6,7,42.9,36.9,19,2,10.5,3,3.00,13.0
21,Federico Marchetti,ITA,GK,Genoa,37,1983,3.7,11,0,0,1,0,8.6,0.48,-2.4,-0.64,11,30,36.7,103,17,16.5,24.4,34,38.2,30.4,48,1,2.1,6,1.62,14.5
22,Alex Meret,ITA,GK,Napoli,23,1997,22.0,29,2,1,3,1,26.2,0.31,-1.8,-0.08,35,77,45.5,510,96,12.2,24.9,93,16.1,23.3,241,8,3.3,13,0.59,13.1
23,Vanja Milinković-Savić,SRB,GK,Torino,23,1997,5.0,6,1,0,0,0,5.4,0.22,-0.6,-0.12,20,72,27.8,143,17,38.5,36.1,32,53.1,44.7,64,1,1.6,10,2.00,19.1
24,Antonio Mirante,ITA,GK,Roma,37,1983,12.8,19,2,1,0,0,15.8,0.24,-3.2,-0.27,46,106,43.4,309,63,26.9,30.9,83,27.7,28.6,162,1,0.6,23,1.95,18.3
25,Lorenzo Montipò,ITA,GK,Benevento,24,1996,37.0,74,4,0,8,6,62.3,0.34,-5.7,-0.15,204,578,35.3,966,178,43.5,36.8,271,58.3,43.4,620,19,3.1,21,0.57,11.6
26,Juan Musso,ARG,GK,Udinese,26,1994,35.0,51,13,2,2,0,51.0,0.26,0.0,0.00,165,380,43.4,760,171,36.2,32.9,254,41.3,34.7,484,26,5.4,18,0.51,13.3
27,David Ospina,COL,GK,Napoli,31,1988,16.0,12,3,0,0,0,13.9,0.26,+1.9,+0.12,57,119,47.9,488,51,22.7,28.6,57,14.0,22.9,192,15,7.8,11,0.69,12.6
28,Daniele Padelli,ITA,GK,Inter,34,1985,0.5,1,1,0,0,0,1.3,0.13,+0.3,+0.50,0,0,,9,1,0.0,17.9,4,0.0,14.5,5,0,0.0,1,2.00,20.0
29,Alberto Paleari,ITA,GK,Genoa,27,1992,2.3,3,0,0,0,0,2.9,0.25,-0.1,-0.04,7,30,23.3,59,11,39.0,34.6,19,36.8,35.7,33,1,3.0,2,0.87,11.1
30,Ivor Pandur,CRO,GK,Hellas Verona,20,2000,3.7,6,0,0,1,0,4.8,0.37,-1.2,-0.33,16,56,28.6,79,9,45.6,34.1,22,90.9,61.2,37,3,8.1,5,1.36,16.8
31,Gianluca Pegolo,ITA,GK,Sassuolo,39,1981,1.0,0,0,0,0,0,0.1,0.13,+0.1,+0.13,0,1,0.0,14,2,7.1,19.1,8,0.0,14.0,15,1,6.7,1,1.00,15.3
32,Mattia Perin,ITA,GK,Genoa,27,1992,32.0,44,7,0,5,2,47.5,0.27,+5.5,+0.17,187,554,33.8,882,140,47.4,37.1,275,49.5,38.4,540,19,3.5,18,0.56,12.6
33,Carlo Pinsoglio,ITA,GK,Juventus,30,1990,0.3,1,0,0,0,0,1.0,0.51,0.0,+0.07,0,0,,9,0,0.0,20.9,2,0.0,14.0,2,0,0.0,1,3.91,28.0
34,Ivan Provedel,ITA,GK,Spezia,26,1994,29.0,55,6,1,4,0,48.0,0.32,-7.0,-0.24,185,489,37.8,1244,132,33.4,34.2,157,46.5,42.0,298,9,3.0,46,1.59,17.2
35,Ionuț Radu,ROU,GK,Inter,23,1997,1.5,1,0,0,0,0,0.4,0.07,-0.6,-0.38,0,2,0.0,47,12,4.3,21.1,9,0.0,13.9,28,0,0.0,3,2.00,13.9
36,Rafael,BRA,GK,Spezia,38,1982,2.3,5,0,0,0,0,5.9,0.33,+0.9,+0.38,12,35,34.3,91,10,34.1,32.4,16,25.0,27.8,37,1,2.7,2,0.87,12.6
37,Federico Ravaglia,ITA,GK,Bologna,20,1999,4.0,10,1,0,1,1,7.2,0.34,-1.8,-0.44,8,23,34.8,114,17,16.7,25.6,23,17.4,21.8,33,0,0.0,8,2.00,26.2
38,Pepe Reina,ESP,GK,Lazio,37,1982,29.0,41,8,0,6,2,37.4,0.26,-1.6,-0.05,131,295,44.4,983,125,26.8,30.8,145,22.1,25.5,372,9,2.4,17,0.59,13.8
39,Simone Scuffet,ITA,GK,Udinese,24,1996,1.0,2,1,0,0,0,1.7,0.19,-0.3,-0.26,8,17,47.1,19,5,52.6,39.1,9,77.8,48.6,26,0,0.0,0,0.00,5.7
40,Luigi Sepe,ITA,GK,Parma,29,1991,36.0,76,2,0,8,3,56.8,0.31,-16.2,-0.45,298,554,53.8,1165,182,38.1,34.4,274,40.1,36.5,619,16,2.6,24,0.67,13.9
41,Marco Silvestri,ITA,GK,Hellas Verona,29,1991,34.0,42,6,1,6,2,36.6,0.24,-3.4,-0.10,191,679,28.1,694,77,63.5,43.1,266,89.5,58.0,444,9,2.0,20,0.61,12.4
42,Salvatore Sirigu,ITA,GK,Torino,33,1987,32.0,62,8,1,6,0,50.4,0.32,-11.6,-0.36,168,418,40.2,734,108,38.3,33.6,271,50.6,37.9,486,11,2.3,21,0.66,14.6
43,Łukasz Skorupski,POL,GK,Bologna,29,1991,28.0,46,5,1,8,1,47.4,0.29,+2.4,+0.09,92,257,35.8,724,168,27.8,30.2,231,24.2,23.4,443,23,5.2,21,0.75,12.6
44,Marco Sportiello,ITA,GK,Atalanta,28,1992,14.0,21,1,0,2,0,17.3,0.33,-3.7,-0.26,40,91,44.0,318,74,17.9,28.3,57,59.6,43.6,143,8,5.6,27,1.93,16.3
45,Thomas Strakosha,ALB,GK,Lazio,25,1995,9.0,14,2,0,1,0,12.8,0.29,-1.2,-0.14,50,90,55.6,287,49,29.6,29.3,57,8.8,23.6,119,4,3.4,5,0.56,14.2
46,Wojciech Szczęsny,POL,GK,Juventus,30,1990,29.7,32,4,0,4,2,29.8,0.25,-0.2,-0.01,76,149,51.0,836,132,15.6,26.5,179,10.6,22.0,399,12,3.0,37,1.24,16.2
47,Ciprian Tătărușanu,ROU,GK,Milan,34,1986,1.0,3,1,0,2,0,2.4,0.29,-0.6,-0.59,1,3,33.3,22,8,9.1,19.7,4,25.0,30.3,12,0,0.0,0,0.00,8.0
48,Pietro Terracciano,ITA,GK,Fiorentina,30,1990,3.0,4,0,0,1,1,3.0,0.19,0.0,+0.01,28,66,42.4,56,10,64.3,45.9,32,93.8,59.6,52,2,3.8,1,0.33,11.1
49,Samir Ujkani,KVX,GK,Torino,32,1988,1.0,1,0,0,0,0,0.3,0.09,-0.7,-0.73,2,5,40.0,20,5,25.0,30.9,6,0.0,26.0,19,0,0.0,0,0.00,11.5
50,Guglielmo Vicario,ITA,GK,Cagliari,23,1996,4.0,6,0,0,2,0,4.9,0.23,-1.1,-0.28,26,54,48.1,81,17,39.5,35.6,25,88.0,56.4,71,1,1.4,0,0.00,6.8
51,Jeroen Zoet,NED,GK,Spezia,29,1991,6.7,12,3,0,2,0,10.0,0.24,-2.0,-0.30,37,101,36.6,275,46,32.4,33.1,31,38.7,37.4,72,6,8.3,11,1.64,17.8
