Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
152,Evan Ferguson,IRL,MF,Brighton,16,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
153,Nathan Ferguson,ENG,DF,Crystal Palace,20,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
154,Bruno Fernandes,POR,MF,Manchester Utd,26,1994,34.6,54,28,26,22,6,26,91,28.6,65,36,0,36,17,71,42,2
155,Álvaro Fernández,ESP,GK,Brentford,23,1998,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2
156,Federico Fernández,ARG,DF,Newcastle Utd,32,1989,5.8,3,0,3,0,0,2,5,40.0,3,10,10,0,4,7,28,0
157,Fernandinho,BRA,MF|DF,Manchester City,36,1985,10.7,21,10,7,10,4,9,27,33.3,18,8,2,6,8,29,13,1
158,Roberto Firmino,BRA,FW,Liverpool,29,1991,11.0,23,14,5,8,10,3,16,18.8,13,20,0,20,4,27,3,0
159,Junior Firpo,ESP,DF|MF,Leeds United,24,1996,19.0,61,29,30,26,5,31,59,52.5,28,22,6,16,24,85,37,0
160,Ashley Fletcher,ENG,FW,Watford,25,1995,0.3,2,1,1,1,0,1,1,100.0,0,1,1,0,0,2,0,0
161,Phil Foden,ENG,FW,Manchester City,21,2000,23.6,16,8,10,4,2,7,17,41.2,10,9,0,9,11,27,5,0
162,Wesley Fofana,FRA,DF,Leicester City,20,2000,7.0,12,8,11,1,0,7,11,63.6,4,5,2,3,12,24,26,1
163,Pablo Fornals,ESP,FW|MF,West Ham,25,1996,31.1,54,28,21,21,12,22,84,26.2,62,49,2,47,27,81,16,1
164,Adam Forshaw,ENG,MF,Leeds United,29,1991,17.0,53,23,21,27,5,21,54,38.9,33,17,1,16,19,72,12,2
165,Marcus Forss,FIN,FW|MF,Brentford,22,1999,2.3,3,3,0,2,1,2,4,50.0,2,5,0,5,1,4,0,0
166,Fraser Forster,ENG,GK,Southampton,33,1988,19.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,23,2
167,Ben Foster,ENG,GK,Watford,38,1983,26.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,9,4
168,Tariqe Fosu,GHA,DF,Brentford,25,1995,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
169,Ryan Fraser,SCO,FW|MF,Newcastle Utd,27,1994,16.3,10,3,5,3,2,5,13,38.5,8,11,1,10,11,21,11,0
170,Fred,BRA,MF,Manchester Utd,28,1993,22.5,63,27,32,24,7,22,79,27.8,57,38,11,27,32,95,24,0
171,Ryan Fredericks,ENG,DF,West Ham,28,1992,3.4,2,2,2,0,0,0,1,0.0,1,2,1,1,4,6,6,0
172,Leo Fuhr Hjelde,NOR,MF|DF,Leeds United,17,2003,1.7,5,4,3,2,0,3,3,100.0,0,3,3,0,4,9,7,0
173,Conor Gallagher,ENG,MF,Crystal Palace,21,2000,31.6,69,38,35,20,14,21,69,30.4,48,58,9,49,29,98,26,0
