Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
49,Ryan Bertrand,ENG,DF,Leicester City,31,1989,3.7,2,0.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
50,Mads Bidstrup,DEN,MF,Brentford,20,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
51,Yves Bissouma,MLI,MF,Brighton,24,1996,23.5,31,1.32,24,0,4,1,0,2,4,0.17,3,0,0,0,0,1
52,Willy Boly,CIV,DF,Wolves,30,1991,10.0,3,0.30,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0
53,Jarrod Bowen,ENG,FW,West Ham,24,1996,33.1,98,2.96,56,16,11,9,5,1,19,0.57,9,3,3,1,3,0
54,Jarrad Branthwaite,ENG,DF,Everton,19,2002,4.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
55,Armando Broja,ALB,FW,Southampton,19,2001,21.9,38,1.73,19,0,7,7,4,1,4,0.18,0,0,2,0,2,0
56,Josh Brownhill,ENG,MF,Burnley,25,1995,32.8,75,2.28,50,18,2,2,2,1,3,0.09,1,2,0,0,0,0
57,Lewis Brunt,ENG,MF,Leicester City,20,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
58,Emi Buendía,ARG,MF|FW,Aston Villa,24,1996,21.1,83,3.93,65,3,7,3,5,0,10,0.47,7,0,2,1,0,0
59,Dan Burn,ENG,DF,Newcastle Utd,29,1992,16.0,6,0.37,6,0,0,0,0,0,1,0.06,1,0,0,0,0,0
60,Dan Burn,ENG,DF,Brighton,29,1992,11.4,7,0.62,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0
61,Jack Butland,ENG,GK,Crystal Palace,28,1993,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
62,Sam Byram,ENG,DF,Norwich City,27,1993,11.4,11,0.96,6,1,1,2,1,0,2,0.18,0,0,0,1,1,0
63,Willy Caballero,ARG,GK,Southampton,39,1981,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Moisés Caicedo,ECU,MF,Brighton,19,2001,7.3,13,1.77,10,0,1,1,0,1,3,0.41,3,0,0,0,0,0
65,Dominic Calvert-Lewin,ENG,FW,Everton,24,1997,14.3,30,2.10,22,0,2,1,4,1,4,0.28,3,0,0,0,1,0
66,Chem Campbell,WAL,MF,Wolves,18,2002,0.1,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
67,João Cancelo,POR,DF,Manchester City,27,1994,35.9,126,3.51,98,1,8,16,2,1,18,0.50,13,1,1,3,0,0
68,Sergi Canós,ESP,DF|FW,Brentford,24,1997,23.1,37,1.60,29,3,3,2,0,0,5,0.22,3,1,0,1,0,0
69,Todd Cantwell,ENG,FW|MF,Norwich City,23,1998,4.9,10,2.04,9,0,0,0,1,0,1,0.20,1,0,0,0,0,0
70,Matty Cash,POL,DF,Aston Villa,23,1997,37.5,65,1.73,45,7,6,2,5,0,7,0.19,4,2,1,0,0,0
71,Timothy Castagne,BEL,DF,Leicester City,25,1995,23.6,27,1.14,25,2,0,0,0,0,1,0.04,1,0,0,0,0,0
72,Jonny Castro,ESP,DF,Wolves,27,1994,11.4,27,2.37,22,0,1,0,2,2,0,0.00,0,0,0,0,0,0
73,Craig Cathcart,NIR,DF,Watford,32,1989,26.6,6,0.23,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Edinson Cavani,URU,FW,Manchester Utd,34,1987,8.5,11,1.29,8,0,0,2,1,0,2,0.23,1,0,0,1,0,0
75,Kayky Chagas,BRA,FW,Manchester City,18,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
76,Trevoh Chalobah,ENG,DF,Chelsea,22,1999,16.1,14,0.87,12,0,0,1,1,0,2,0.12,2,0,0,0,0,0
77,Calum Chambers,ENG,DF,Arsenal,26,1995,1.9,1,0.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
