Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
98,Chechu,ESP,DF,Rayo Vallecano,36,1982,1.0,47,52,90.4,1034,450,7,8,87.5,34,36,94.4,6,8,75.0,0,0.0,0.0,0.0,0,6,0,0,7
99,Chema,ESP,DF,Levante,26,1992,13.9,275,372,73.9,5585,2678,104,118,88.1,123,152,80.9,42,90,46.7,0,0.7,0.2,-0.7,3,22,1,0,31
100,Denis Cheryshev,RUS,MF,Valencia,27,1990,19.0,447,712,62.8,7066,2163,239,319,74.9,157,250,62.8,35,87,40.2,2,7.6,5.6,-5.6,37,28,34,18,64
101,Leandro Chichizola,ARG,GK,Getafe,28,1990,1.0,12,27,44.4,523,428,0,0,,3,4,75.0,9,23,39.1,0,0.0,0.0,0.0,0,0,0,0,0
102,Samuel Chukwueze,NGA,MF|FW,Villarreal,19,1999,19.0,377,537,70.2,6162,1562,201,246,81.7,127,170,74.7,36,56,64.3,2,1.5,1.7,+0.5,22,24,20,2,55
103,Jasper Cillessen,NED,GK,Barcelona,29,1989,3.0,98,111,88.3,2379,1570,19,19,100.0,54,55,98.2,25,37,67.6,0,0.0,0.0,0.0,0,0,0,0,0
104,Coke,ESP,DF,Levante,31,1987,20.2,696,934,74.5,11062,5019,372,440,84.5,259,327,79.2,51,108,47.2,0,1.3,1.6,-1.3,12,48,20,7,65
105,Álex Collado,ESP,FW,Barcelona,19,1999,0.9,25,30,83.3,358,37,15,16,93.8,9,9,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
106,Santi Comesaña,ESP,MF,Rayo Vallecano,21,1996,22.6,910,1078,84.4,16841,5054,367,426,86.2,386,437,88.3,123,150,82.0,1,0.4,0.4,+0.6,13,77,6,3,99
107,Duje Čop,CRO,FW,Valladolid,28,1990,7.6,118,181,65.2,1475,252,79,105,75.2,25,44,56.8,5,6,83.3,0,1.4,1.1,-1.4,10,6,3,3,9
108,Francis Coquelin,FRA,MF,Valencia,27,1991,19.6,836,974,85.8,14916,4550,380,425,89.4,314,343,91.5,105,145,72.4,1,1.3,1.0,-0.3,18,100,4,1,106
109,Iñigo Córdoba,ESP,FW|MF,Athletic Club,21,1997,14.7,301,465,64.7,4222,1174,183,228,80.3,83,122,68.0,14,43,32.6,4,2.2,1.7,+1.8,18,20,12,7,40
110,Ángel Correa,ARG,MF|FW,Atlético Madrid,23,1995,21.3,547,753,72.6,7219,1909,323,390,82.8,149,207,72.0,22,42,52.4,2,4.6,3.5,-2.6,37,51,22,2,77
111,Diego Costa,ESP,FW,Atlético Madrid,29,1988,12.4,214,310,69.0,2551,330,129,163,79.1,44,70,62.9,10,12,83.3,2,0.9,0.7,+1.1,8,6,5,0,12
112,Jaume Costa,ESP,DF,Villarreal,30,1988,16.6,768,967,79.4,12964,4939,365,408,89.5,336,402,83.6,58,119,48.7,0,0.8,1.8,-0.8,8,78,19,6,95
113,David Costas,ESP,DF,Celta Vigo,23,1995,13.0,603,688,87.6,11990,3800,198,216,91.7,313,334,93.7,83,111,74.8,0,0.0,0.1,0.0,0,31,0,0,34
114,Thibaut Courtois,BEL,GK,Real Madrid,26,1992,27.0,651,841,77.4,17880,11719,77,77,100.0,390,393,99.2,184,368,50.0,0,0.0,0.0,0.0,0,1,0,0,0
115,Philippe Coutinho,BRA,FW|MF,Barcelona,26,1992,22.4,1241,1461,84.9,17612,3633,743,823,90.3,368,416,88.5,69,115,60.0,2,3.7,4.2,-1.7,32,99,40,1,158
116,Sebastián Cristóforo,URU,MF,Getafe,24,1993,5.0,112,149,75.2,2161,730,47,54,87.0,48,57,84.2,15,30,50.0,2,0.5,0.2,+1.5,7,22,2,0,25
117,Cucho,COL,FW,Huesca,19,1999,23.9,404,607,66.6,6293,1633,219,285,76.8,104,154,67.5,48,77,62.3,3,4.4,3.8,-1.4,32,25,34,12,47
118,Marc Cucurella,ESP,MF|FW,Eibar,20,1998,26.2,744,998,74.5,10562,2913,439,511,85.9,239,317,75.4,29,67,43.3,2,3.2,3.5,-1.2,31,44,30,13,78
119,Iván Cuéllar,ESP,GK,Leganés,34,1984,33.9,599,1080,55.5,25351,21445,27,28,96.4,171,176,97.2,401,873,45.9,0,0.0,0.1,0.0,0,39,2,0,0
120,Sergi Darder,ESP,MF,Espanyol,24,1993,30.1,1010,1307,77.3,17918,5586,468,535,87.5,402,494,81.4,120,200,60.0,2,3.8,3.9,-1.8,37,125,30,7,169
121,Moisés Delgado,ESP,DF,Valladolid,24,1994,3.0,63,101,62.4,1052,325,33,42,78.6,25,37,67.6,5,18,27.8,0,0.1,0.1,-0.1,3,4,3,2,7
122,Ousmane Dembélé,FRA,FW|MF,Barcelona,21,1997,18.5,764,1004,76.1,11339,2356,434,510,85.1,241,321,75.1,55,93,59.1,5,4.9,4.0,+0.1,45,48,44,10,80
123,Franco Di Santo,ARG,FW,Rayo Vallecano,29,1989,1.9,23,38,60.5,317,24,13,20,65.0,8,14,57.1,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
124,Mouctar Diakhaby,GUI,DF,Valencia,21,1996,17.6,592,700,84.6,11670,4175,200,225,88.9,305,338,90.2,79,118,66.9,0,0.0,0.1,0.0,0,24,0,0,48
125,Brahim Díaz,ESP,FW,Real Madrid,18,1999,4.2,142,170,83.5,1790,399,97,106,91.5,36,46,78.3,4,6,66.7,1,1.5,0.9,-0.5,7,11,4,0,12
126,Javier Díaz,ESP,GK,Sevilla,21,1997,1.0,13,23,56.5,366,264,3,3,100.0,5,5,100.0,5,15,33.3,0,0.0,0.0,0.0,0,0,0,0,0
127,Adrián Diéguez,ESP,DF,Huesca,22,1996,8.3,151,208,72.6,2766,1141,65,76,85.5,68,86,79.1,15,41,36.6,0,0.0,0.0,0.0,1,3,0,0,8
128,Stole Dimitrievski,MKD,GK,Rayo Vallecano,24,1993,21.0,417,645,64.7,13527,10691,54,55,98.2,178,184,96.7,185,401,46.1,0,0.0,0.0,0.0,0,5,1,0,0
129,Papakouli Diop,SEN,MF,Eibar,32,1986,26.1,829,1146,72.3,15640,4202,318,414,76.8,411,521,78.9,89,157,56.7,1,0.7,1.0,+0.3,10,127,12,2,157
130,Djené,TOG,DF,Getafe,26,1991,33.1,705,991,71.1,15319,6000,193,257,75.1,385,475,81.1,119,222,53.6,0,0.2,0.4,-0.2,5,62,8,2,81
131,Marko Dmitrović,SRB,GK,Eibar,26,1992,24.0,367,760,48.3,15988,14024,24,25,96.0,110,111,99.1,232,622,37.3,0,0.0,0.1,0.0,0,52,0,0,0
132,Jaume Doménech,ESP,GK,Valencia,27,1990,4.0,59,92,64.1,2118,1850,9,9,100.0,15,17,88.2,35,65,53.8,0,0.0,0.0,0.0,0,0,0,0,0
133,Cheick Doukouré,CIV,MF,Levante,25,1992,3.5,81,110,73.6,1332,390,39,56,69.6,31,38,81.6,7,10,70.0,0,0.0,0.1,0.0,0,11,1,0,14
134,Seydou Doumbia,CIV,FW,Girona,30,1987,6.0,50,71,70.4,577,124,25,35,71.4,13,17,76.5,2,2,100.0,0,0.0,0.1,0.0,0,3,2,0,5
135,Óscar Duarte,CRC,DF|MF,Espanyol,29,1989,7.3,290,334,86.8,6120,2184,80,88,90.9,164,180,91.1,40,58,69.0,0,0.1,0.2,-0.1,2,13,3,0,16
136,Rubén Duarte,ESP,DF,Alavés,22,1995,30.8,814,1230,66.2,14285,6793,411,481,85.4,300,445,67.4,93,256,36.3,0,1.7,1.7,-1.7,25,89,22,15,105
137,Hugo Duro,ESP,MF|FW,Getafe,18,1999,4.6,41,65,63.1,472,120,23,34,67.6,11,19,57.9,0,2,0.0,0,0.6,0.3,-0.6,2,3,1,0,5
138,Raphael Dwamena,GHA,FW,Levante,22,1995,2.5,29,44,65.9,405,97,16,21,76.2,10,12,83.3,1,3,33.3,1,0.5,0.2,+0.5,3,3,1,0,3
139,Dennis Eckert,GER,FW,Celta Vigo,21,1997,2.4,30,43,69.8,385,52,17,21,81.0,11,14,78.6,0,0,,0,0.1,0.1,-0.1,3,0,0,0,4
140,Aritz Elustondo,ESP,DF,Real Sociedad,24,1994,25.0,965,1236,78.1,17700,6583,370,422,87.7,510,611,83.5,78,159,49.1,0,0.6,0.9,-0.6,9,44,12,9,71
