Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
76,Erick Cabaco,URU,DF,Levante,23,1995,18.1,891,108,422,438,35,12,891,3,1,33.3,2,66.7,389,2294,1586,20,7,0,8,3,480,2
77,Gustavo Cabral,ARG,DF,Celta Vigo,32,1985,21.1,1152,125,561,561,34,21,1152,2,1,50.0,1,50.0,603,2573,1402,4,4,0,10,8,691,3
78,Leandro Cabrera,URU,DF,Getafe,27,1991,31.0,1525,209,633,740,166,41,1525,5,2,40.0,3,60.0,410,2379,1220,19,14,2,11,3,469,13
79,Jordi Calavera,ESP,DF,Eibar,22,1995,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
80,Fernando Calero,ESP,DF,Valladolid,22,1995,34.8,1832,226,1004,779,58,21,1832,12,12,100.0,0,0.0,907,4472,2534,19,14,1,12,4,1032,7
81,Jonathan Calleri,ARG,FW,Alavés,24,1993,31.9,1184,58,127,505,568,146,1182,67,41,61.2,26,38.8,582,3351,1311,63,36,20,114,75,848,189
82,Juanjo Camacho,ESP,MF|DF,Huesca,37,1980,0.4,35,1,7,16,12,5,35,2,2,100.0,0,0.0,15,47,25,0,2,0,1,3,17,3
83,Sergio Camello,ESP,FW,Atlético Madrid,17,2001,0.5,16,0,2,5,9,3,16,1,0,0.0,1,100.0,11,52,32,1,0,1,1,0,11,4
84,José Campaña,ESP,MF,Levante,25,1993,35.7,2359,106,512,1315,565,36,2358,80,48,60.0,32,40.0,1167,7783,4301,87,54,9,42,31,1462,84
85,Sergio Canales,ESP,MF,Betis,27,1991,29.5,2193,19,290,1037,905,73,2191,78,58,74.4,20,25.6,1375,9073,4259,113,94,13,68,54,1684,182
86,Ander Capa,ESP,DF|FW,Athletic Club,26,1992,18.2,1134,38,275,487,386,32,1134,47,20,42.6,27,57.4,522,3824,2260,70,61,11,21,20,582,107
87,Marc Cardona,ESP,FW|MF,Eibar,23,1995,6.7,274,2,21,105,150,38,274,23,6,26.1,17,73.9,161,847,288,13,9,9,26,9,206,66
88,Daniel Carriço,POR,DF,Sevilla,29,1988,23.7,1239,130,620,576,55,19,1239,9,8,88.9,1,11.1,602,3147,1846,14,9,0,6,6,679,2
89,Guido Carrillo,ARG,FW,Leganés,27,1991,22.1,858,25,59,416,388,126,855,13,10,76.9,3,23.1,374,1179,286,6,9,2,38,22,631,76
90,Dani Carvajal,ESP,DF,Real Madrid,26,1992,23.4,2069,82,540,949,603,58,2069,56,34,60.7,22,39.3,1114,5653,3310,72,58,18,26,18,1400,152
91,William Carvalho,POR,MF,Betis,26,1992,26.5,2083,61,377,1419,305,12,2083,58,43,74.1,15,25.9,1309,6052,3162,47,33,2,17,35,1676,31
92,Casemiro,BRA,MF,Real Madrid,26,1992,25.7,1958,99,548,1177,254,33,1958,21,17,81.0,4,19.0,1030,4175,2114,15,32,3,14,17,1306,23
93,Santiago Cáseres,ARG,MF,Villarreal,21,1997,17.6,1014,43,240,689,96,5,1014,15,11,73.3,4,26.7,583,2809,1221,11,10,2,12,5,656,11
94,Catena,ESP,DF,Rayo Vallecano,23,1994,2.0,131,13,66,59,6,3,131,0,0,,0,,65,357,247,2,0,0,3,0,81,2
95,Santi Cazorla,ESP,MF|FW,Villarreal,33,1984,29.4,2038,44,344,1065,658,39,2035,72,49,68.1,23,31.9,1233,6738,3044,69,50,11,48,53,1420,117
96,Dani Ceballos,ESP,MF|FW,Real Madrid,21,1996,13.9,1206,13,141,675,409,29,1206,32,14,43.8,18,56.3,879,4653,2097,38,46,6,23,28,944,70
97,Charles,BRA,FW,Eibar,34,1984,19.3,741,16,38,296,412,114,734,6,1,16.7,5,83.3,363,1177,399,10,14,5,35,16,527,122
98,Chechu,ESP,DF,Rayo Vallecano,36,1982,1.0,58,4,27,31,0,0,58,2,2,100.0,0,0.0,41,235,165,1,0,0,0,0,44,0
99,Chema,ESP,DF,Levante,26,1992,13.9,535,100,310,214,16,2,535,2,2,100.0,0,0.0,174,756,433,3,3,1,3,1,246,0
100,Denis Cheryshev,RUS,MF,Valencia,27,1990,19.0,946,22,169,370,423,74,946,38,19,50.0,19,50.0,515,3010,1591,55,28,16,44,17,621,178
101,Leandro Chichizola,ARG,GK,Getafe,28,1990,1.0,28,16,28,0,0,0,28,0,0,,0,,12,74,60,0,0,0,0,0,6,0
102,Samuel Chukwueze,NGA,MF|FW,Villarreal,19,1999,19.0,765,9,109,277,400,114,765,95,52,54.7,43,45.3,532,4110,2428,102,39,57,45,32,567,170
103,Jasper Cillessen,NED,GK,Barcelona,29,1989,3.0,119,111,119,0,0,0,119,0,0,,0,,67,306,191,0,0,0,0,0,59,0
104,Coke,ESP,DF,Levante,31,1987,20.2,1161,86,404,481,286,37,1161,30,12,40.0,18,60.0,515,2910,1475,28,21,7,25,13,639,86
105,Álex Collado,ESP,FW,Barcelona,19,1999,0.9,42,1,5,22,16,4,42,1,0,0.0,1,100.0,31,161,53,3,1,1,1,0,33,2
106,Santi Comesaña,ESP,MF,Rayo Vallecano,21,1996,22.6,1300,73,401,780,129,12,1300,37,26,70.3,11,29.7,751,3516,1652,13,11,0,17,29,841,13
107,Duje Čop,CRO,FW,Valladolid,28,1990,7.6,252,6,24,96,135,40,252,7,1,14.3,6,85.7,131,628,294,16,8,7,16,6,187,57
108,Francis Coquelin,FRA,MF,Valencia,27,1991,19.6,1169,48,301,714,172,14,1169,33,27,81.8,6,18.2,623,2614,1230,18,13,1,16,26,773,19
109,Iñigo Córdoba,ESP,FW|MF,Athletic Club,21,1997,14.7,679,14,116,255,323,35,679,63,32,50.8,31,49.2,410,2490,1100,41,30,10,45,29,455,116
