Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
18,Cristian Ansaldi,ARG,DF,Torino,34,1986,7.7,20,9,11,7,2,10,13,76.9,3,9,1,8,6,26,10,0
19,Janis Antiste,FRA,FW,Spezia,18,2002,8.8,18,11,6,6,6,5,13,38.5,8,7,1,6,4,22,6,0
20,Mattia Aramu,ITA,MF|FW,Venezia,26,1995,23.3,20,15,5,9,6,8,33,24.2,25,20,2,18,8,28,19,0
21,Marko Arnautović,AUT,FW,Bologna,32,1989,29.9,17,9,1,11,5,7,30,23.3,23,13,2,11,7,24,17,0
22,Tolgay Arslan,GER,MF,Udinese,30,1990,18.4,35,20,15,16,4,19,50,38.0,31,17,4,13,13,48,23,1
23,Arthur,BRA,FW,Fiorentina,23,1998,8.3,9,5,2,5,2,4,7,57.1,3,4,1,3,1,10,8,0
24,Kristoffer Askildsen,NOR,MF,Sampdoria,20,2001,8.4,18,6,7,11,0,9,19,47.4,10,14,7,7,15,33,15,0
25,Kristjan Asllani,ALB,MF,Empoli,19,2002,15.0,18,9,9,8,1,11,29,37.9,18,16,7,9,19,37,15,1
26,Emil Audero,ITA,GK,Sampdoria,24,1997,28.4,3,1,3,0,0,3,5,60.0,2,0,0,0,2,5,17,2
27,Tommaso Augello,ITA,DF,Sampdoria,26,1994,26.6,36,20,22,8,6,17,29,58.6,12,19,4,15,29,65,68,1
28,Ramzi Aya,ITA,DF,Salernitana,30,1990,1.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0
29,Kaan Ayhan,TUR,DF,Sassuolo,26,1994,15.0,20,12,14,6,0,7,15,46.7,8,20,14,6,13,33,57,0
30,Milan Badelj,CRO,MF,Genoa,32,1989,31.6,64,37,25,30,9,34,80,42.5,46,39,7,32,85,149,43,0
31,Nicola Bagnolini,ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
32,Issa Bah,LUX,FW,Venezia,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
33,Nedim Bajrami,ALB,MF|FW,Empoli,22,1999,22.8,21,14,5,13,3,4,14,28.6,10,11,0,11,3,24,8,0
34,Tiemoué Bakayoko,FRA,MF,Milan,26,1994,5.6,19,13,9,7,3,5,16,31.3,11,8,1,7,9,28,10,2
35,Tommaso Baldanzi,ITA,FW,Empoli,18,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
36,Keita Baldé,SEN,FW,Cagliari,26,1995,13.7,8,4,1,5,2,1,10,10.0,9,6,0,6,4,12,6,0
37,Fodé Ballo-Touré,SEN,DF,Milan,24,1997,5.0,18,14,5,13,0,4,9,44.4,5,6,2,4,3,21,5,0
38,Filippo Bandinelli,ITA,MF,Empoli,26,1995,21.7,33,20,10,17,6,15,31,48.4,16,22,5,17,10,43,37,2
39,Mattia Bani,ITA,DF,Genoa,27,1993,13.5,23,13,17,6,0,14,18,77.8,4,19,11,8,20,43,76,0
40,Antonín Barák,CZE,MF|FW,Hellas Verona,26,1994,26.0,18,8,9,8,1,5,17,29.4,12,32,5,27,6,24,26,0
41,Francesco Bardi,ITA,GK,Bologna,29,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
42,Nicolò Barella,ITA,MF,Inter,24,1997,32.4,63,42,17,35,11,29,55,52.7,26,26,2,24,21,84,8,2
43,Musa Barrow,GAM,FW|MF,Bologna,22,1998,23.7,12,4,4,4,4,6,20,30.0,14,20,1,19,6,18,8,0
44,Daniele Baselli,ITA,MF|FW,Torino,29,1992,1.7,3,3,2,0,1,2,6,33.3,4,0,0,0,1,4,2,0
45,Daniele Baselli,ITA,MF,Cagliari,29,1992,3.2,6,5,3,1,2,1,5,20.0,4,2,0,2,2,8,5,0
46,Toma Bašić,CRO,MF,Lazio,24,1996,10.9,12,8,3,9,0,5,17,29.4,12,13,4,9,4,16,21,0
47,Alessandro Bastoni,ITA,DF,Inter,22,1999,25.7,44,25,28,13,3,17,34,50.0,17,22,12,10,35,79,59,1
48,Simone Bastoni,ITA,MF|DF,Spezia,24,1996,25.4,52,34,28,17,7,21,65,32.3,44,38,11,27,30,82,31,0
49,Rodrigo Becão,BRA,DF,Udinese,25,1996,34.8,81,46,49,30,2,34,60,56.7,26,45,20,25,42,123,89,3
50,Valon Behrami,SUI,MF|FW,Genoa,36,1985,3.5,3,1,0,2,1,0,7,0.0,7,4,1,3,1,4,4,0
51,Vid Belec,SVN,GK,Salernitana,31,1990,21.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
