Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
460,Ante Rebić,CRO,FW|MF,Milan,25,1993,15.5,11,42,20,47.6,2.71,1.29,0.26,0.55,15.1,0,0,0,6.8,6.8,0.17,+4.2,+4.2
461,Arkadiusz Reca,POL,DF,SPAL,24,1995,21.4,0,19,4,21.1,0.89,0.19,0.00,0.00,16.6,0,0,0,1.8,1.8,0.09,-1.8,-1.8
462,Vasco Regini,ITA,DF,Sampdoria,28,1990,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
463,Vasco Regini,ITA,DF,Parma,28,1990,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
464,Pepe Reina,ESP,GK,Milan,36,1982,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
465,Franck Ribéry,FRA,FW,Fiorentina,36,1983,15.7,3,24,13,54.2,1.53,0.83,0.13,0.23,16.8,1,0,0,2.6,2.6,0.11,+0.4,+0.4
466,Davide Riccardi,ITA,DF,Lecce,23,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
467,Emiliano Rigoni,ARG,MF|FW,Sampdoria,26,1993,4.8,0,7,2,28.6,1.46,0.42,0.00,0.00,18.5,1,0,0,1.3,1.3,0.19,-1.3,-1.3
468,Tomás Rincón,VEN,MF,Torino,31,1988,30.0,1,16,7,43.8,0.53,0.23,0.06,0.14,21.1,0,0,0,1.0,1.0,0.06,0.0,0.0
469,Andrea Rispoli,ITA,DF,Lecce,30,1988,21.2,0,12,3,25.0,0.57,0.14,0.00,0.00,22.8,0,0,0,1.2,1.2,0.10,-1.2,-1.2
470,Ricardo Rodríguez,SUI,DF,Milan,26,1992,4.3,0,1,0,0.0,0.23,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0
471,Marko Rog,CRO,MF,Cagliari,24,1995,25.7,1,30,8,26.7,1.17,0.31,0.03,0.13,24.5,1,0,0,1.9,1.9,0.06,-0.9,-0.9
472,Rogério,BRA,DF,Sassuolo,21,1998,11.3,1,11,4,36.4,0.98,0.35,0.09,0.25,21.3,1,0,0,0.4,0.4,0.04,+0.6,+0.6
473,Filippo Romagna,ITA,DF,Sassuolo,22,1997,16.4,0,2,1,50.0,0.12,0.06,0.00,0.00,13.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
