Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
31,Ionuț Radu,ROU,GK,Genoa,22,1997,17.0,35,6,2,4,1,31.3,0.26,-2.7,-0.16,61,169,36.1,504,90,29.0,31.0,152,15.1,26.1,252,8,3.2,7,0.41,11.1
32,Boris Radunović,SRB,GK,Hellas Verona,23,1996,3.0,8,2,1,1,0,6.2,0.28,-1.8,-0.59,12,33,36.4,47,10,42.6,37.3,14,92.9,65.6,23,0,0.0,1,0.33,12.6
33,Rafael,BRA,GK,Cagliari,37,1982,5.0,11,2,0,0,0,7.6,0.33,-3.4,-0.68,33,71,46.5,109,18,51.4,37.0,46,32.6,31.3,98,3,3.1,3,0.59,11.1
34,Pepe Reina,ESP,GK,Milan,36,1982,1.0,1,0,1,0,0,1.8,0.14,+0.8,+0.83,8,14,57.1,28,6,32.1,34.9,7,71.4,45.0,17,2,11.8,2,2.00,12.0
35,Antonio Rosati,ITA,GK,Torino,36,1983,1.0,1,0,0,0,0,0.4,0.09,-0.6,-0.57,9,16,56.3,20,6,35.0,30.9,15,60.0,40.9,13,0,0.0,0,0.00,9.3
36,Francesco Rossi,ITA,GK,Atalanta,28,1991,0.1,1,0,0,0,0,0.4,0.45,-0.6,-4.53,1,1,100.0,3,1,33.3,30.3,0,,,0,0,,0,0.00,
37,Luigi Sepe,ITA,GK,Parma,28,1991,34.0,53,6,1,10,0,54.8,0.25,+1.8,+0.05,225,471,47.8,801,115,42.4,37.1,327,40.1,32.0,624,20,3.2,10,0.29,12.2
38,Marco Silvestri,ITA,GK,Hellas Verona,28,1991,35.0,43,7,1,6,1,44.9,0.24,+2.9,+0.08,182,687,26.5,650,74,63.1,43.7,330,83.9,55.3,547,17,3.1,15,0.43,11.0
39,Salvatore Sirigu,ITA,GK,Torino,32,1987,36.0,64,9,3,6,3,59.1,0.26,-1.9,-0.05,243,523,46.5,823,112,40.0,35.4,333,58.3,41.1,588,22,3.7,18,0.50,14.4
40,Łukasz Skorupski,POL,GK,Bologna,28,1991,37.0,64,6,2,6,1,53.9,0.26,-9.1,-0.25,161,364,44.2,848,218,29.7,31.5,291,38.5,33.6,474,44,9.3,29,0.78,12.7
41,Marco Sportiello,ITA,GK,Atalanta,27,1992,5.8,5,0,0,0,0,4.8,0.26,-0.2,-0.04,9,28,32.1,124,32,12.1,26.9,26,50.0,38.8,52,3,5.8,10,1.71,19.7
42,Thomas Strakosha,ALB,GK,Lazio,24,1995,38.0,42,7,1,7,1,44.4,0.24,+3.4,+0.09,148,368,40.2,938,143,32.0,31.2,291,23.4,26.0,474,10,2.1,18,0.47,13.6
43,Wojciech Szczęsny,POL,GK,Juventus,29,1990,28.8,33,8,1,3,0,37.1,0.23,+4.1,+0.14,82,165,49.7,560,155,23.4,29.4,195,17.4,25.8,355,11,3.1,37,1.29,16.9
44,Pietro Terracciano,ITA,GK,Fiorentina,29,1990,6.9,5,3,0,0,0,7.5,0.20,+2.5,+0.36,18,78,23.1,149,36,38.9,35.2,59,33.9,34.7,103,6,5.8,5,0.72,12.2
45,Demba Thiam,SEN,GK,SPAL,21,1998,2.0,4,1,0,1,0,3.2,0.14,-0.8,-0.40,8,21,38.1,42,10,31.0,31.0,27,29.6,25.9,36,2,5.6,0,0.00,10.3
46,Stefano Turati,ITA,GK,Sassuolo,17,2001,2.0,4,1,0,0,0,4.1,0.25,+0.1,+0.03,6,10,60.0,38,7,18.4,24.8,14,21.4,24.0,34,1,2.9,3,1.50,18.8
47,Samir Ujkani,KVX,GK,Torino,31,1988,1.0,3,1,0,1,0,2.4,0.23,-0.6,-0.62,6,13,46.2,42,2,28.6,31.9,8,12.5,25.8,12,0,0.0,1,1.00,15.0
48,Mauro Vigorito,ITA,GK,Lecce,29,1990,4.7,9,1,0,1,0,8.7,0.30,-0.3,-0.06,21,53,39.6,100,27,35.0,32.2,48,37.5,30.3,90,2,2.2,3,0.64,12.0
