Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
62,Jean-Paul Boëtius,NED,MF,Mainz 05,24,1994,23.6,83,3.51,63,0,6,4,8,2,11,0.47,10,0,1,0,0,0
63,Robin Bormuth,GER,DF,Düsseldorf,22,1995,6.8,3,0.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
64,Nassim Boujellab,MAR,MF,Schalke 04,19,1999,4.2,5,1.19,2,0,1,1,1,0,2,0.48,1,0,1,0,0,0
65,Julian Brandt,GER,MF|FW,Leverkusen,22,1996,29.6,176,5.94,123,27,11,10,4,1,31,1.05,22,5,1,2,1,0
66,Fabian Bredlow,GER,GK,Nürnberg,23,1995,12.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
67,Josip Brekalo,CRO,FW|MF,Wolfsburg,20,1998,15.7,62,3.94,41,15,1,1,3,1,7,0.44,6,0,1,0,0,0
68,Joshua Brenet,NED,DF,Hoffenheim,24,1994,10.1,34,3.38,28,2,0,3,0,1,3,0.30,3,0,0,0,0,0
69,John Brooks,USA,DF,Wolfsburg,25,1993,29.0,22,0.76,21,0,0,1,0,0,4,0.14,3,0,0,1,0,0
70,Daniel Brosinski,GER,DF,Mainz 05,30,1988,24.5,67,2.74,47,16,1,2,1,0,6,0.25,6,0,0,0,0,0
71,Bruma,POR,MF,RB Leipzig,23,1994,6.1,24,3.91,19,0,3,1,1,0,3,0.49,2,0,1,0,0,0
72,Jeffrey Bruma,NED,DF,Schalke 04,26,1991,6.9,2,0.29,2,0,0,0,0,0,1,0.14,1,0,0,0,0,0
73,Jacob Bruun Larsen,DEN,FW,Dortmund,19,1998,14.1,32,2.28,25,3,2,1,0,1,2,0.14,2,0,0,0,0,0
74,Niko Bungert,GER,DF,Mainz 05,31,1986,3.2,3,0.95,1,0,0,0,1,1,0,0.00,0,0,0,0,0,0
75,Guido Burgstaller,AUT,FW,Schalke 04,29,1989,17.0,36,2.12,19,1,1,5,8,2,1,0.06,1,0,0,0,0,0
76,Jonathan Burkardt,GER,FW|MF,Mainz 05,18,2000,2.9,9,3.13,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0
77,Roman Bürki,SUI,GK,Dortmund,27,1990,32.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
78,Gaëtan Bussmann,FRA,DF,Mainz 05,27,1991,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
79,Jakub Błaszczykowski,POL,MF,Wolfsburg,32,1985,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
80,Caiuby,BRA,MF|FW,Augsburg,30,1988,11.2,36,3.22,26,0,3,5,2,0,2,0.18,1,0,0,1,0,0
81,Daniel Caligiuri,ITA,DF|FW,Schalke 04,30,1988,30.6,113,3.69,51,38,9,5,6,4,11,0.36,4,3,2,1,1,0
82,Jan-Ingwer Callsen-Bracker,GER,DF,Augsburg,33,1984,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
83,Ignacio Camacho,ESP,MF,Wolfsburg,28,1990,6.0,9,1.50,6,0,0,1,2,0,0,0.00,0,0,0,0,0,0
84,Jonas Carls,GER,FW,Schalke 04,21,1997,1.0,4,4.00,2,2,0,0,0,0,1,1.00,1,0,0,0,0,0
85,Koen Casteels,BEL,GK,Wolfsburg,26,1992,25.5,7,0.27,7,0,0,0,0,0,2,0.08,2,0,0,0,0,0
86,Gonzalo Castro,GER,MF,Stuttgart,31,1987,18.8,54,2.87,28,24,0,0,2,0,8,0.43,2,6,0,0,0,0
87,Timothy Chandler,USA,DF,Eint Frankfurt,28,1990,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
88,Per Ciljan Skjelbred,NOR,MF,Hertha BSC,31,1987,11.1,20,1.81,20,0,0,0,0,0,3,0.27,3,0,0,0,0,0
89,Kingsley Coman,FRA,FW|MF,Bayern Munich,22,1996,15.3,65,4.25,45,0,12,2,6,0,8,0.52,6,0,0,1,1,0
90,Sergio Córdova,VEN,FW,Augsburg,20,1997,5.9,13,2.21,6,0,2,1,3,1,0,0.00,0,0,0,0,0,0
