Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
570,Clément Vidal,FRA,DF,Montpellier,20,2000,1.0,28,34,82.4,641,217,8,8,100.0,14,16,87.5,6,10,60.0,0,0.0,0.0,0.0,0,1,0,0,1
571,Kevin Volland,GER,FW|MF,Monaco,28,1992,30.8,519,792,65.5,7593,1718,294,402,73.1,148,220,67.3,39,64,60.9,7,5.2,3.7,+1.8,32,46,28,2,84
572,Franklin Wadja,CMR,MF|FW,Lorient,25,1995,0.4,13,20,65.0,206,97,8,11,72.7,4,7,57.1,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
573,Elye Wahi,FRA,FW,Montpellier,17,2003,6.2,69,105,65.7,840,149,46,61,75.4,15,22,68.2,3,6,50.0,1,0.4,0.3,+0.6,6,2,2,0,6
574,Timothy Weah,USA,FW|MF,Lille,20,2000,9.8,226,306,73.9,2732,657,136,162,84.0,56,79,70.9,7,20,35.0,0,1.2,0.9,-1.2,5,14,8,0,19
575,Yoane Wissa,COD,MF|FW,Lorient,23,1996,29.7,549,747,73.5,7557,1846,306,370,82.7,176,232,75.9,21,57,36.8,4,3.5,2.7,+0.5,29,32,14,1,63
576,Xeka,POR,MF,Lille,25,1994,13.3,774,880,88.0,13549,3380,358,383,93.5,306,341,89.7,84,110,76.4,2,2.3,1.7,-0.3,19,90,10,2,83
577,Yusuf Yazıcı,TUR,FW|MF,Lille,23,1997,12.1,372,552,67.4,5679,1714,196,237,82.7,113,161,70.2,34,95,35.8,4,4.0,3.0,0.0,36,25,16,2,52
578,Burak Yılmaz,TUR,FW,Lille,35,1985,22.8,389,516,75.4,4972,648,251,300,83.7,97,124,78.2,11,17,64.7,5,4.2,2.2,+0.8,28,18,6,0,27
579,Wilitty Younoussa,CMR,MF,Dijon,18,2001,0.9,15,21,71.4,176,61,11,14,78.6,4,5,80.0,0,0,,0,0.4,0.1,-0.4,2,3,1,1,1
580,Zaydou Youssouf,FRA,MF,Saint-Étienne,21,1999,13.7,389,494,78.7,7335,1895,172,186,92.5,144,180,80.0,59,108,54.6,1,0.6,0.6,+0.4,10,27,11,3,48
581,Arthur Zagre,FRA,DF|MF,Dijon,18,2001,1.4,35,49,71.4,536,211,20,26,76.9,13,17,76.5,2,6,33.3,0,0.0,0.0,0.0,0,0,0,0,3
582,Arber Zeneli,KVX,MF|FW,Reims,25,1995,14.3,287,399,71.9,4317,1002,166,187,88.8,91,124,73.4,18,48,37.5,3,1.8,1.6,+1.2,18,17,9,2,33
583,Mehdi Zerkane,ALG,MF|FW,Bordeaux,21,1999,13.2,485,579,83.8,6598,1720,284,320,88.8,164,189,86.8,15,22,68.2,1,1.3,0.9,-0.3,14,48,9,2,56
584,Kévin Zohi,MLI,FW|MF,Strasbourg,23,1996,4.8,139,185,75.1,2075,464,83,96,86.5,42,53,79.2,9,21,42.9,0,0.6,0.3,-0.6,3,12,3,1,20
