Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
537,Lorenzo Tonelli,ITA,DF,Empoli,32,1990,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
538,William Troost-Ekong,NGA,DF,Salernitana,28,1993,4.9,1,2,1,50.0,0.41,0.20,0.50,1.00,9.0,0,0,0,0.7,0.7,0.35,+0.3,+0.3
539,Frank Tsadjout,ITA,FW,Cremonese,23,1999,11.7,3,26,10,38.5,2.23,0.86,0.12,0.30,17.3,0,0,0,2.0,2.0,0.08,+1.0,+1.0
540,Alessandro Tuia,ITA,DF,Lecce,32,1990,5.7,0,2,1,50.0,0.35,0.18,0.00,0.00,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
541,Martin Turk,SVN,GK,Sampdoria,18,2003,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
542,Destiny Udogie,ITA,DF,Udinese,19,2002,30.0,3,27,7,25.9,0.90,0.23,0.11,0.43,13.7,0,0,0,2.9,2.9,0.11,+0.1,+0.1
543,Samir Ujkani,KVX,GK,Empoli,34,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
544,Samuel Umtiti,FRA,DF,Lecce,28,1993,23.5,0,12,0,0.0,0.51,0.00,0.00,,16.4,0,0,0,0.8,0.8,0.07,-0.8,-0.8
545,Diego Valencia,CHI,MF|FW,Salernitana,22,2000,2.6,0,1,1,100.0,0.39,0.39,0.00,0.00,10.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
546,Emanuele Valeri,ITA,DF,Cremonese,23,1998,30.9,2,40,6,15.0,1.29,0.19,0.05,0.33,21.5,3,0,0,2.2,2.2,0.05,-0.2,-0.2
547,Mattia Valoti,ITA,MF|FW,Monza,28,1993,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,9.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
548,Johan Vásquez,MEX,DF,Cremonese,23,1998,20.1,1,12,1,8.3,0.60,0.05,0.08,1.00,12.3,0,0,0,0.7,0.7,0.06,+0.3,+0.3
549,Matías Vecino,URU,MF,Lazio,30,1991,18.8,2,26,5,19.2,1.38,0.27,0.08,0.40,18.5,0,0,0,2.5,2.5,0.10,-0.5,-0.5
550,Miguel Veloso,POR,MF,Hellas Verona,36,1986,12.9,0,16,2,12.5,1.24,0.15,0.00,0.00,23.3,2,0,0,0.5,0.5,0.03,-0.5,-0.5
551,Lorenzo Venuti,ITA,DF,Fiorentina,27,1995,10.3,0,7,4,57.1,0.68,0.39,0.00,0.00,22.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
552,Daniele Verde,ITA,FW|MF,Spezia,26,1996,11.1,3,32,10,31.3,2.89,0.90,0.06,0.20,21.6,1,1,1,2.9,2.1,0.07,+0.1,-0.1
553,Simone Verdi,ITA,MF|FW,Hellas Verona,30,1992,12.2,5,29,10,34.5,2.38,0.82,0.14,0.40,20.9,6,1,1,2.6,1.8,0.06,+2.4,+2.2
