Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
311,Ademola Lookman,NGA,FW|MF,Atalanta,24,1997,19.2,13,5,2,6,5,3,15,20.0,12,18,0,18,4,17,1,0
312,Maxime Lopez,FRA,MF,Sassuolo,24,1997,25.5,42,18,26,12,4,16,56,28.6,40,24,6,18,22,64,21,0
313,Matteo Lovato,ITA,DF,Salernitana,22,2000,9.0,17,14,14,3,0,10,25,40.0,15,8,5,3,13,30,33,2
314,Sandi Lovrić,SVN,MF,Udinese,24,1998,25.9,40,18,16,16,8,25,43,58.1,18,25,2,23,26,66,21,0
315,Hirving Lozano,MEX,FW,Napoli,27,1995,17.8,24,13,10,6,8,9,21,42.9,12,31,0,31,15,39,6,0
316,Jhon Lucumí,COL,DF,Bologna,24,1998,32.2,53,37,39,13,1,24,43,55.8,19,43,26,17,35,88,100,1
317,José Luis Palomino,ARG,DF,Atalanta,32,1990,8.4,23,14,16,7,0,11,19,57.9,8,11,4,7,28,51,20,0
318,Romelu Lukaku,BEL,FW,Inter,29,1993,18.4,3,1,1,0,2,2,5,40.0,3,3,1,2,0,3,16,0
319,Saša Lukić,SRB,MF,Torino,25,1996,13.3,21,14,10,10,1,9,15,60.0,6,17,7,10,13,34,10,0
320,Sebastiano Luperto,ITA,DF,Empoli,25,1996,34.8,33,18,24,8,1,9,20,45.0,11,54,42,12,43,76,163,1
321,Charalambos Lykogiannis,GRE,DF,Bologna,28,1993,12.3,16,8,5,6,5,5,13,38.5,8,9,4,5,15,31,30,0
322,Giulio Maggiore,ITA,MF,Salernitana,24,1998,9.9,20,8,11,6,3,10,21,47.6,11,19,4,15,8,28,10,0
323,Giangiacomo Magnani,ITA,DF,Hellas Verona,26,1995,17.0,33,22,20,11,2,19,25,76.0,6,20,15,5,21,54,76,0
324,Mike Maignan,FRA,GK,Milan,27,1995,22.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,10,1
325,Jordan Majchrzak,POL,FW,Roma,17,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
326,Jean-Victor Makengo,FRA,MF,Udinese,24,1998,8.9,16,13,7,7,2,5,9,55.6,4,8,2,6,9,25,3,0
327,Lorenzo Malagrida,ITA,MF|DF,Sampdoria,18,2003,1.2,1,0,0,0,1,1,3,33.3,2,1,0,1,0,1,1,0
328,Daniel Maldini,ITA,FW|MF,Spezia,20,2001,7.0,12,5,3,4,5,4,11,36.4,7,9,0,9,1,13,8,0
329,Youssef Maleh,MAR,MF,Fiorentina,23,1998,3.3,3,1,0,3,0,0,4,0.0,4,5,0,5,1,4,3,0
330,Youssef Maleh,MAR,MF,Lecce,23,1998,7.5,17,8,3,7,7,6,14,42.9,8,20,1,19,5,22,10,0
331,Ruslan Malinovskyi,UKR,MF|FW,Atalanta,29,1993,6.1,14,8,5,6,3,6,17,35.3,11,8,1,7,5,19,2,0
332,Gianluca Mancini,ITA,DF,Roma,26,1996,31.8,37,19,27,9,1,18,34,52.9,16,38,17,21,46,83,67,0
