Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR
113,Omar Colley,GAM,DF,Sampdoria,25,1992,19.6,1308,176,660,628,32,18,1308,5,5,100.0,0,0.0,766,3786,2033,4,5,1,5,4,837,3
114,Andrea Consigli,ITA,GK,Sassuolo,31,1987,35.7,1280,1080,1274,6,0,0,1280,0,0,,0,,621,3411,2194,0,0,0,2,0,476,0
115,Andrea Conti,ITA,DF,Milan,24,1994,5.6,417,16,89,217,116,8,417,7,5,71.4,2,28.6,248,1390,864,19,14,0,2,0,274,38
116,Gabriele Corbo,ITA,DF,Bologna,18,2000,0.1,5,0,3,2,0,0,5,0,0,,0,,5,13,9,0,0,0,0,0,5,0
117,Ante Ćorić,CRO,MF,Roma,21,1997,0.3,15,0,0,7,8,0,15,0,0,,0,,10,63,37,1,1,0,0,0,11,1
118,Joaquín Correa,ARG,FW|MF,Lazio,23,1994,21.4,1178,14,66,472,660,129,1178,123,70,56.9,53,43.1,806,5955,3237,128,81,53,57,26,973,198
119,Douglas Costa,BRA,FW|MF,Juventus,27,1990,6.9,438,1,37,173,240,24,438,47,30,63.8,17,36.2,335,2951,1532,47,38,13,17,13,364,83
120,Filippo Costa,ITA,DF|FW,SPAL,23,1995,6.3,332,31,113,129,94,2,332,9,7,77.8,2,22.2,136,775,416,16,9,0,9,4,148,18
121,Alessio Cragno,ITA,GK,Cagliari,24,1994,38.0,1388,1202,1386,2,0,0,1388,0,0,,0,,593,3988,3052,0,1,1,2,0,456,0
122,Domenico Criscito,ITA,DF,Genoa,31,1986,34.1,2198,182,691,987,560,19,2197,31,20,64.5,11,35.5,988,5343,3416,72,71,4,18,10,1122,67
123,Lorenzo Crisetig,ITA,MF,Frosinone,25,1993,5.6,254,14,71,167,18,2,254,1,1,100.0,0,0.0,134,599,367,7,4,1,4,1,163,0
124,Bryan Cristante,ITA,MF,Roma,23,1995,26.9,1630,61,305,937,408,41,1630,45,31,68.9,14,31.1,822,4774,2309,39,46,2,28,34,1120,47
125,Alessio da Cruz,,FW|MF,Parma,21,1997,1.6,37,0,4,23,13,2,37,3,2,66.7,1,33.3,29,217,93,1,1,1,5,6,30,5
126,Juan Cuadrado,COL,MF|DF,Juventus,30,1988,13.6,962,14,123,448,398,44,962,32,19,59.4,13,40.6,671,3607,2231,55,47,20,22,15,745,109
127,Patrick Cutrone,ITA,FW,Milan,20,1998,16.2,524,18,47,215,268,73,524,16,5,31.3,11,68.8,355,1835,676,26,11,11,61,26,388,142
128,Marco D'Alessandro,ITA,DF,Udinese,27,1991,16.6,892,38,238,429,247,35,892,50,32,64.0,19,38.0,458,3536,2170,74,41,16,32,15,467,78
129,Danilo D'Ambrosio,ITA,DF,Inter,29,1988,28.7,2183,71,562,1168,463,53,2183,32,13,40.6,19,59.4,1215,4992,2634,57,49,3,26,18,1499,148
130,Bryan Dabo,BFA,MF|DF,Fiorentina,26,1992,9.2,542,27,95,329,126,14,542,19,6,31.6,13,68.4,286,1807,987,28,17,1,15,7,339,36
131,Felipe dal Belo,BRA,DF,SPAL,34,1984,26.2,1494,144,684,735,84,23,1494,6,6,100.0,0,0.0,823,3446,2264,15,13,0,7,2,982,6
132,Nicola Dalmonte,ITA,FW|MF,Genoa,20,1997,0.5,31,0,2,9,21,4,31,0,0,,0,,15,149,64,2,0,0,1,2,19,4
133,Vitalie Damașcan,MDA,MF,Torino,19,1999,0.0,5,0,0,4,1,0,5,1,1,100.0,0,0.0,3,10,1,0,0,0,0,0,4,0
134,Sebastien De Maio,FRA,DF,Udinese,31,1987,13.0,614,109,330,245,44,17,614,6,4,66.7,2,33.3,244,1316,680,9,7,0,5,1,289,3
135,Sebastien De Maio,FRA,DF,Bologna,31,1987,5.5,292,34,147,136,11,2,292,1,0,0.0,1,100.0,157,882,611,10,3,0,0,0,183,1
136,Rodrigo De Paul,ARG,MF|FW,Udinese,24,1994,35.4,2294,19,293,1211,844,51,2288,139,81,58.3,58,41.7,1569,12097,6533,186,144,21,87,65,1617,132
137,Daniele De Rossi,ITA,MF,Roma,35,1983,14.1,1039,52,255,664,127,9,1039,3,2,66.7,1,33.3,526,2499,1414,16,19,0,4,1,766,9
138,Mattia De Sciglio,ITA,DF,Juventus,25,1992,19.4,1361,71,393,694,288,16,1361,12,7,58.3,5,41.7,717,3327,1909,40,30,3,13,10,865,91
139,Lorenzo De Silvestri,ITA,DF,Torino,30,1988,26.8,1507,75,284,727,510,67,1507,15,5,33.3,10,66.7,599,3217,1585,59,37,3,38,20,829,139
140,Grégoire Defrel,MTQ,FW|MF,Sampdoria,27,1991,26.0,1041,11,85,414,551,89,1041,53,28,52.8,25,47.2,704,3637,1433,44,40,15,59,51,813,246
141,Alessandro Deiola,ITA,MF,Cagliari,22,1995,5.0,237,8,50,124,64,6,237,3,0,0.0,3,100.0,131,543,273,6,6,0,7,8,144,19
142,Alessandro Deiola,ITA,MF|FW,Parma,22,1995,6.1,255,14,73,131,54,3,255,9,2,22.2,7,77.8,125,597,258,7,5,1,7,4,133,20
143,Cristian Dell'Orco,ITA,DF,Empoli,24,1994,11.5,642,59,278,321,47,7,642,4,2,50.0,2,50.0,349,2162,1415,10,7,0,11,5,408,7
144,Cristian Dell'Orco,ITA,DF,Sassuolo,24,1994,1.2,81,5,25,38,19,1,81,2,1,50.0,1,50.0,47,148,95,4,2,0,1,0,54,8
145,Merih Demiral,TUR,DF,Sassuolo,20,1998,14.0,870,101,419,428,28,13,870,5,4,80.0,1,20.0,508,2865,1428,3,6,1,1,1,544,3
146,Fabio Depaoli,ITA,DF,Chievo,21,1997,27.4,1551,110,477,689,400,23,1551,29,14,48.3,15,51.7,700,3778,2210,63,47,5,37,17,798,110
147,Kiril Despodov,BUL,FW|MF,Cagliari,21,1996,1.2,26,0,5,12,11,0,26,2,1,50.0,1,50.0,19,131,65,2,0,1,4,1,21,8
148,Daniele Dessena,ITA,MF,Cagliari,31,1987,3.9,224,5,30,132,65,6,224,4,0,0.0,4,100.0,112,436,229,7,5,0,12,2,155,11
149,Mattia Destro,ITA,FW,Bologna,27,1991,5.5,143,5,18,73,55,20,143,5,1,20.0,4,80.0,83,320,118,5,4,1,16,9,102,27
150,Jacopo Dezi,ITA,MF,Parma,26,1992,1.0,56,3,13,36,7,1,56,1,0,0.0,1,100.0,24,117,52,0,0,0,1,0,36,3
151,Federico Di Francesco,ITA,FW|MF,Sassuolo,24,1994,11.9,506,6,91,187,234,46,506,22,13,59.1,9,40.9,336,2027,1090,38,25,11,26,19,380,106
152,Antonio Di Gaudio,ITA,FW,Parma,28,1989,7.8,212,3,38,80,98,32,212,18,6,33.3,12,66.7,143,1150,597,26,16,9,29,8,150,45
153,Giovanni Di Lorenzo,ITA,DF|FW,Empoli,24,1993,37.0,2563,140,593,1161,835,69,2563,62,28,45.2,34,54.8,1510,7345,4149,83,72,12,41,44,1728,219
