Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
24,Simon Asta,GER,DF,Augsburg,17,2001,1.0,1,0,0,1,0,0,1,3,3,0,0,0,4,2,1,66.7
25,Jean-Kévin Augustin,FRA,FW,RB Leipzig,21,1997,5.1,0,0,0,11,16,5,2,3,0,0,0,0,16,1,15,6.3
26,Ludwig Augustinsson,SWE,DF,Werder Bremen,24,1994,33.6,5,0,0,42,26,2,129,38,31,0,1,0,170,63,68,48.1
27,Kaan Ayhan,TUR,DF,Düsseldorf,23,1994,27.2,10,0,0,25,16,2,4,59,29,0,2,0,156,44,29,60.3
28,Florian Baak,GER,MF,Hertha BSC,19,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,Holger Badstuber,GER,DF,Stuttgart,29,1989,5.8,1,0,0,3,3,0,0,9,4,0,0,0,22,9,12,42.9
30,Daniel Baier,GER,MF,Augsburg,34,1984,31.3,7,0,0,51,50,0,20,60,39,0,0,0,251,28,43,39.4
31,Leon Bailey,JAM,FW,Leverkusen,20,1997,21.3,4,0,0,17,34,6,163,14,11,0,0,0,126,13,14,48.1
32,Marvin Bakalorz,GER,MF,Hannover 96,28,1989,16.3,5,0,0,22,25,4,9,28,11,1,0,0,84,30,24,55.6
33,Ridle Baku,GER,MF,Mainz 05,20,1998,10.4,1,0,0,9,13,1,4,8,9,0,0,0,45,9,9,50.0
34,Philipp Bargfrede,GER,MF|DF,Werder Bremen,29,1989,12.0,6,0,0,25,16,0,2,34,15,0,0,0,78,27,19,58.7
35,Aymen Barkok,MAR,MF,Düsseldorf,20,1998,5.7,0,0,0,9,0,0,12,4,6,0,0,0,42,12,8,60.0
36,Leandro Barreiro Martins,LUX,MF,Mainz 05,18,2000,1.0,1,0,0,1,0,0,0,2,4,0,0,0,4,2,1,66.7
37,Fin Bartels,GER,MF|FW,Werder Bremen,31,1987,0.3,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,100.0
38,Robert Bauer,GER,DF,Nürnberg,23,1995,19.1,4,1,1,19,17,0,51,28,29,0,0,0,85,13,26,33.3
39,Oliver Baumann,GER,GK,Hoffenheim,28,1990,33.0,0,0,0,0,6,0,0,2,0,0,0,0,78,6,1,85.7
40,Timo Baumgartl,GER,DF,Stuttgart,22,1996,18.0,2,0,0,12,12,1,5,26,23,0,0,0,94,45,23,66.2
41,Julian Baumgartlinger,AUT,MF,Leverkusen,30,1988,17.3,2,0,0,19,19,0,2,26,30,0,0,0,133,27,25,51.9
42,Christoph Baumgartner,AUT,MF,Hoffenheim,18,1999,0.9,2,1,1,2,3,0,1,0,0,0,0,0,8,1,0,100.0
43,Noah Joel Sarenren Bazee,NGA,FW|MF,Hannover 96,21,1996,1.7,0,0,0,2,2,2,4,0,0,0,0,0,13,0,4,0.0
44,Ihlas Bebou,TOG,MF|FW,Hannover 96,24,1994,11.8,1,0,0,9,21,4,42,9,9,0,0,0,64,20,27,42.6
45,Uffe Bech,DEN,FW,Hannover 96,25,1993,0.2,1,0,0,2,0,0,2,0,0,0,0,0,1,1,1,50.0
46,Andreas Beck,GER,DF,Stuttgart,31,1987,19.7,2,0,0,24,31,0,36,22,19,0,0,0,94,25,25,50.0
47,Hanno Behrens,GER,MF,Nürnberg,28,1990,29.3,3,0,0,40,23,3,4,33,26,0,1,0,145,99,131,43.0
48,Ishak Belfodil,ALG,FW|MF,Hoffenheim,26,1992,20.7,3,0,0,25,14,22,19,3,10,1,0,0,48,48,51,48.5
49,Stefan Bell,GER,DF,Mainz 05,26,1991,25.0,7,0,0,41,14,5,11,54,20,0,0,0,156,92,42,68.7
50,Karim Bellarabi,GER,FW,Leverkusen,28,1990,11.7,4,1,0,16,13,3,63,10,6,0,0,0,60,1,3,25.0
51,Lars Bender,GER,MF|DF,Leverkusen,29,1989,15.1,2,0,0,27,28,1,15,21,29,0,0,0,93,35,37,48.6
52,Sven Bender,GER,DF,Leverkusen,29,1989,22.1,3,0,0,21,12,2,0,52,25,0,0,1,152,73,49,59.8
53,László Bénes,SVK,MF|FW,M'Gladbach,20,1997,0.3,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,
54,Nabil Bentaleb,ALG,MF,Schalke 04,23,1994,19.9,4,0,0,31,16,1,47,35,17,0,0,0,147,38,17,69.1
55,Jordan Beyer,GER,DF,M'Gladbach,18,2000,8.0,1,0,0,7,4,1,1,11,18,0,0,0,22,14,15,48.3
56,Ermin Bičakčić,BIH,DF,Hoffenheim,28,1990,19.9,0,0,0,18,16,2,7,56,19,0,1,1,84,53,31,63.1
57,Leonardo Bittencourt,GER,MF,Hoffenheim,24,1993,11.9,1,0,0,17,30,3,43,13,26,0,0,0,66,6,14,30.0
58,Pablo de Blasis,ARG,FW,Mainz 05,30,1988,1.0,0,0,0,1,0,1,4,1,0,0,0,0,4,2,2,50.0
59,Danny Blum,GER,MF,Eint Frankfurt,27,1991,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,Jérôme Boateng,GER,DF,Bayern Munich,29,1988,18.8,1,0,0,15,9,0,7,25,15,0,2,0,132,30,6,83.3
61,Adam Bodzek,GER,MF|DF,Düsseldorf,32,1985,17.7,5,1,0,32,41,0,0,26,27,0,2,0,63,34,21,61.8
