Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
54,Sven Bender,GER,DF,Leverkusen,29,1989,27,1991,74,65.1,22.1,25,79,19,2,3,2,1.81,49,35,+14,+0.63,+0.38,38.4,27.5,+10.9,+0.49,+0.21
55,László Bénes,SVK,MF|FW,M'Gladbach,20,1997,1,27,27,0.9,0.3,0,,0,1,26,4,1.00,0,0,0,0.00,-0.39,0.1,2.7,-2.6,-8.70,-8.78
56,Nabil Bentaleb,ALG,MF,Schalke 04,23,1994,25,1792,72,58.6,19.9,19,84,14,6,32,0,0.84,22,38,-16,-0.80,-0.66,28.0,29.9,-1.9,-0.10,+0.09
57,Jordan Beyer,GER,DF,M'Gladbach,18,2000,9,720,80,23.5,8.0,8,84,7,1,45,5,1.67,14,7,+7,+0.87,+0.64,13.7,14.0,-0.3,-0.04,-0.05
58,Deji Beyreuther,GER,DF,Eint Frankfurt,18,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
59,Ermin Bičakčić,BIH,DF,Hoffenheim,28,1990,25,1790,72,58.5,19.9,20,84,17,5,23,3,1.72,41,30,+11,+0.55,+0.06,43.1,30.7,+12.3,+0.62,-0.16
60,Leonardo Bittencourt,GER,MF,Hoffenheim,24,1993,21,1069,51,34.9,11.9,13,73,5,8,15,8,1.57,16,21,-5,-0.42,-1.46,21.9,19.8,+2.1,+0.18,-0.78
61,Pablo de Blasis,ARG,FW,Mainz 05,30,1988,1,90,90,2.9,1.0,1,90,1,0,,0,3.00,1,0,+1,+1.00,+1.36,1.2,0.9,+0.4,+0.35,+0.61
62,Danny Blum,GER,MF,Eint Frankfurt,27,1991,1,3,3,0.1,0.0,0,,0,1,2,0,3.00,0,0,0,0.00,-0.35,0.0,0.2,-0.1,-4.02,-4.22
63,Jérôme Boateng,GER,DF,Bayern Munich,29,1988,20,1693,85,55.3,18.8,19,89,18,1,0,11,2.40,51,17,+34,+1.81,+0.36,45.8,15.2,+30.6,+1.63,-0.21
64,Adam Bodzek,GER,MF|DF,Düsseldorf,32,1985,21,1596,76,52.2,17.7,20,79,11,1,20,5,1.48,28,29,-1,-0.06,+0.87,25.9,32.6,-6.7,-0.38,+0.15
