Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
630,Ansou Sow,SEN,MF,Lens,20,2000,1,6,6,0.2,0.1,0,,0,1,6,2,3.00,1,0,+1,+15.00,+15.00,0.9,0.1,+0.8,+11.55,+11.31
631,Saidou Sow,GUI,DF,Saint-Étienne,18,2002,15,1000,67,29.2,11.1,10,86,9,5,29,18,0.73,5,16,-11,-0.99,-0.95,9.5,12.7,-3.2,-0.29,-0.36
632,Kevin Strootman,NED,MF|FW,Marseille,30,1990,11,233,21,6.8,2.6,1,71,0,10,16,6,2.00,5,2,+3,+1.16,+1.05,2.2,3.5,-1.3,-0.51,-0.53
633,Abdoulaye Sylla,GUI,DF,Nantes,20,2000,2,8,4,0.2,0.1,0,,0,2,4,3,0.50,0,1,-1,-11.25,-11.07,0.2,0.1,0.0,+0.60,+0.72
634,Issiaga Sylla,GUI,DF|MF,Lens,26,1994,20,1116,56,32.6,12.4,13,77,6,7,16,8,1.50,19,13,+6,+0.48,+0.68,16.6,12.0,+4.6,+0.37,+0.18
635,Eddy Sylvestre,FRA,FW|MF,Nice,20,1999,4,97,24,2.8,1.1,1,61,0,3,12,2,1.50,2,1,+1,+0.93,+1.04,1.7,1.7,0.0,0.00,+0.20
636,Waniss Taibi,FRA,MF,Angers,18,2002,2,38,19,1.1,0.4,0,,0,2,19,13,0.00,0,1,-1,-2.37,-1.92,0.4,0.3,+0.1,+0.25,+0.54
637,Flavien Tait,FRA,MF|FW,Rennes,27,1993,23,1368,59,40.0,15.2,16,79,7,7,15,5,1.48,27,21,+6,+0.39,+0.13,20.4,15.6,+4.8,+0.32,+0.11
638,Oussama Targhalline,MAR,MF,Marseille,18,2002,0,,,,,0,,,0,,3,,,,,,,,,,,
639,Ciprian Tătărușanu,ROU,GK,Lyon,34,1986,0,,,,,0,,,0,,1,,,,,,,,,,,
640,Heriberto Tavares,POR,FW|MF,Brest,23,1997,4,43,11,1.3,0.5,0,,0,4,11,9,0.00,1,3,-2,-4.19,-3.81,1.4,1.2,+0.2,+0.44,+0.66
641,Warren Tchimbembé,CGO,MF|FW,Metz,22,1998,15,495,33,14.5,5.5,4,68,0,11,20,11,1.40,10,8,+2,+0.36,+0.55,9.5,7.2,+2.4,+0.43,+0.66
