Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
17,Sofiane Alakouch,MAR,DF,Nîmes,22,1998,16.7,4,0,0,25,26,1,19,21,33,1,1,0,106,7,13,35.0
18,Mohamed Ali Cho,FRA,FW|MF,Angers,16,2004,3.9,1,0,0,8,8,0,11,3,7,0,0,0,20,7,9,43.8
19,Rachid Alioui,MAR,FW,Angers,28,1992,0.2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,
20,Saturnin Allagbé,BEN,GK,Dijon,26,1993,12.0,2,0,0,2,1,0,0,0,0,0,1,0,14,3,1,75.0
21,Ibrahim Amadou,FRA,MF,Angers,27,1993,16.7,6,0,0,34,5,0,4,23,26,0,0,0,98,19,17,52.8
22,Romain Amalfitano,FRA,FW|DF,Dijon,30,1989,1.3,0,0,0,2,1,0,5,1,2,0,0,0,6,1,1,50.0
23,Jordan Amavi,FRA,DF,Marseille,26,1994,9.0,3,1,0,13,14,0,10,27,9,1,0,0,46,23,11,67.6
24,Thierry Ambrose,GLP,FW,Metz,23,1997,8.4,4,0,0,22,9,3,19,2,4,0,0,0,33,21,29,42.0
25,Joachim Andersen,DEN,DF,Lyon,24,1996,2.1,1,0,0,5,2,0,0,2,1,0,0,0,10,4,0,100.0
26,Benjamin André,FRA,MF,Lille,29,1990,32.1,10,0,0,70,53,0,14,76,68,0,0,0,276,84,83,50.3
27,Victorien Angban,CIV,MF,Metz,23,1996,18.6,5,0,0,27,27,0,9,19,24,0,0,0,132,13,18,41.9
28,Houssem Aouar,ALG,MF|FW,Lyon,22,1998,19.8,3,1,0,20,23,3,19,17,12,0,0,0,90,4,17,19.0
29,Adil Aouchiche,FRA,MF|FW,Saint-Étienne,18,2002,19.2,2,0,0,20,31,0,130,10,20,0,0,0,100,13,28,31.7
30,Dennis Appiah,FRA,DF,Nantes,28,1992,17.3,3,0,0,16,3,1,47,25,34,0,1,0,99,30,23,56.6
31,Luiz Araújo,BRA,MF,Lille,24,1996,16.6,5,0,0,24,18,0,27,11,25,0,0,0,88,10,20,33.3
32,Karim Aribi,ALG,FW,Nîmes,26,1994,3.3,0,0,0,2,2,0,2,0,2,1,0,0,7,12,39,23.5
33,Roger Assalé,CIV,FW|MF,Dijon,26,1993,9.2,0,1,0,12,27,6,6,2,8,1,0,0,24,5,16,23.8
34,Youcef Atal,ALG,DF|FW,Nice,24,1996,10.6,1,0,0,18,27,7,51,26,12,0,0,0,63,8,20,28.6
35,Jean-Kévin Augustin,FRA,FW,Nantes,23,1997,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
36,Ludovic Baal,GUF,DF|MF,Brest,34,1986,3.3,0,0,0,3,7,0,2,5,5,0,0,0,24,8,7,53.3
37,Loïc Bade,FRA,DF,Lens,20,2000,29.0,11,1,1,44,16,1,5,74,34,0,1,0,212,112,62,64.4
38,Benoît Badiashile,FRA,DF,Monaco,19,2001,31.9,5,0,0,32,15,2,3,58,17,0,0,0,193,108,40,73.0
39,Stéphane Bahoken,CMR,FW,Angers,28,1992,18.0,4,0,0,31,29,17,20,9,6,0,0,0,40,26,55,32.1
40,Stefan Bajic,FRA,GK,Saint-Étienne,18,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,Mitchel Bakker,NED,DF,Paris S-G,20,2000,18.8,1,0,0,16,9,3,51,22,30,0,0,0,124,23,13,63.9
42,Dilane Bakwa,FRA,FW|MF,Bordeaux,17,2002,0.6,0,0,0,1,6,0,0,1,2,0,0,0,6,1,2,33.3
43,Leonardo Balerdi,ARG,DF,Marseille,21,1999,18.2,6,1,0,31,27,2,1,28,18,0,0,0,129,35,42,45.5
44,Fodé Ballo-Touré,SEN,DF,Monaco,23,1997,7.4,2,0,0,10,12,1,39,6,17,1,0,0,37,12,10,54.5
45,Abdoulaye Bamba,CIV,DF,Angers,30,1990,15.0,2,0,0,14,6,0,48,19,17,0,1,0,82,10,9,52.6
46,Jonathan Bamba,CIV,MF,Lille,24,1996,33.2,2,0,0,27,67,3,146,24,23,1,0,0,238,15,27,35.7
47,Robson Bambu,BRA,DF,Nice,22,1997,11.6,3,1,0,19,9,1,1,10,11,0,1,0,80,19,19,50.0
48,Simon Banza,,FW,Lens,23,1996,15.2,6,1,1,29,33,9,11,7,6,1,0,0,41,57,63,47.5
