Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
444,Borja Mayoral,ESP,FW,Getafe,24,1997,18,1044,58,30.5,11.6,11,76,2,7,30,0,1.17,13,10,+3,+0.26,+0.68,11.0,9.5,+1.5,+0.13,+0.54
445,Jordi Mboula,ESP,FW,Mallorca,22,1999,11,434,39,12.7,4.8,5,68,0,6,16,10,1.09,4,6,-2,-0.41,+0.34,4.1,5.5,-1.4,-0.29,-0.02
446,Oscar Medina,,GK,Alavés,,,0,,,,,0,,0,0,,1,,,,,,,,,,,
447,Fernando Medrano,ESP,DF,Celta Vigo,21,2000,0,,,,,0,,0,0,,6,,,,,,,,,,,
448,Óscar Melendo,ESP,MF|FW,Espanyol,23,1997,21,990,47,28.9,11.0,14,59,0,7,24,17,0.95,16,20,-4,-0.36,-0.03,12.6,15.3,-2.8,-0.25,+0.18
449,Gonzalo Melero,ESP,MF,Levante,27,1994,29,1692,58,49.5,18.8,20,73,6,9,26,1,0.97,25,39,-14,-0.74,-0.17,24.8,27.1,-2.3,-0.12,-0.25
450,Memphis,NED,FW,Barcelona,27,1994,28,1851,66,54.1,20.6,20,85,15,8,19,1,1.75,31,21,+10,+0.49,-0.66,31.5,19.3,+12.2,+0.59,-0.37
451,José Menargues,ESP,DF,Valencia,19,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
452,Tomás Mendes,ESP,MF,Alavés,16,2004,1,9,9,0.3,0.1,0,,0,1,9,5,0.00,0,0,0,0.00,+0.90,0.0,0.6,-0.6,-5.72,-5.21
453,Brais Méndez,ESP,MF,Celta Vigo,24,1997,37,3021,82,88.3,33.6,36,83,20,1,45,0,1.22,38,33,+5,+0.15,+1.28,36.9,37.2,-0.3,-0.01,+0.49
454,Édgar Méndez,ESP,FW|MF,Alavés,31,1990,32,1614,50,47.2,17.9,17,73,3,15,25,0,0.78,19,35,-16,-0.89,0.00,19.1,28.0,-8.9,-0.50,+0.04
455,Ferland Mendy,FRA,DF,Real Madrid,26,1995,22,1734,79,50.7,19.3,20,84,14,2,24,2,2.36,41,12,+29,+1.51,+0.44,38.3,20.0,+18.3,+0.95,+0.45
456,Fran Mérida,ESP,MF,Espanyol,31,1990,10,266,27,7.8,3.0,3,58,0,7,13,24,0.91,1,6,-5,-1.69,-1.46,2.2,4.2,-2.0,-0.67,-0.32
457,Mikel Merino,ESP,MF,Real Sociedad,25,1996,34,2890,85,84.5,32.1,33,87,26,1,20,0,1.79,40,24,+16,+0.50,+2.71,44.2,31.8,+12.4,+0.39,+0.32
458,Martín Merquelanz,ESP,FW|MF,Rayo Vallecano,26,1995,4,173,43,5.1,1.9,3,48,0,1,30,0,1.00,4,1,+3,+1.56,+1.95,2.8,2.8,+0.1,+0.05,+0.21
459,Matt Miazga,USA,DF,Alavés,26,1995,11,833,76,24.4,9.3,9,90,9,2,12,21,0.73,3,15,-12,-1.30,-0.53,6.4,15.9,-9.5,-1.03,-0.67
460,Miguel,ESP,FW|MF,Alavés,21,1999,22,829,38,24.2,9.2,10,70,1,12,11,13,0.68,8,13,-5,-0.54,+0.46,9.6,13.8,-4.3,-0.46,+0.07
461,Miguelito,ESP,DF,Mallorca,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
462,Éder Militão,BRA,DF,Real Madrid,23,1998,34,3031,89,88.6,33.7,34,89,32,0,,2,2.18,63,30,+33,+0.98,-2.72,60.7,38.8,+21.9,+0.65,-0.71
463,Luis Milla,ESP,MF,Granada,26,1994,34,2773,82,81.1,30.8,33,83,21,1,45,0,1.09,37,45,-8,-0.26,+0.99,30.0,46.5,-16.5,-0.54,+0.26
464,Pere Milla,ESP,MF|FW,Elche,28,1992,32,1644,51,48.1,18.3,17,77,8,15,22,5,1.16,22,24,-2,-0.11,+0.40,16.6,29.3,-12.6,-0.69,-0.04
465,Santi Mina,ESP,FW,Celta Vigo,25,1995,33,2367,72,69.2,26.3,30,76,14,3,25,0,1.18,28,26,+2,+0.08,+0.25,26.3,30.8,-4.5,-0.17,-0.34
