Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
136,Sergi Darder,ESP,MF,Espanyol,27,1993,34.7,4,0,0,28,38,0,70,26,22,0,0,0,171,12,16,42.9
137,Rodrigo De Paul,ARG,MF,Atlético Madrid,27,1994,23.9,7,0,0,45,59,1,92,21,30,0,0,0,159,17,21,44.7
138,Thomas Delaney,DEN,MF,Sevilla,29,1991,17.2,4,1,1,26,21,1,14,13,24,0,0,0,82,55,35,61.1
139,Ousmane Dembélé,FRA,FW,Barcelona,24,1997,15.7,3,0,0,11,17,4,144,8,16,0,0,0,63,4,5,44.4
140,Yusuf Demir,AUT,FW,Barcelona,18,2003,2.1,0,0,0,0,4,0,2,2,1,0,0,0,9,0,0,
141,Sergiño Dest,USA,DF|FW,Barcelona,20,2000,16.8,2,0,0,17,19,1,59,2,15,0,0,0,93,7,13,35.0
142,Boulaye Dia,SEN,FW,Villarreal,24,1996,14.1,3,0,0,23,13,7,1,5,6,0,0,0,36,31,35,47.0
143,Mouctar Diakhaby,GUI,DF,Valencia,24,1996,21.6,11,0,0,26,16,1,5,30,24,0,1,2,144,33,29,53.2
144,Javier Díaz,ESP,GK,Sevilla,24,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
145,Víctor Díaz,ESP,DF,Granada,33,1988,16.7,5,0,0,15,4,0,13,17,15,0,0,0,71,29,31,48.3
146,Landry Dimata,BEL,FW|MF,Espanyol,23,1997,6.0,0,0,0,14,20,3,0,1,2,0,0,0,14,17,24,41.5
147,Stole Dimitrievski,MKD,GK,Rayo Vallecano,27,1993,30.8,0,0,0,0,6,0,0,1,0,0,0,0,24,11,2,84.6
148,Matías Dituro,ARG,GK,Celta Vigo,34,1987,38.0,1,0,0,1,3,0,0,0,0,0,0,0,51,8,0,100.0
149,Djené,TOG,DF,Getafe,29,1991,34.6,11,1,0,47,36,1,22,59,26,0,2,0,222,52,31,62.7
150,Naïs Djouahra,FRA,FW|MF,Real Sociedad,21,1999,2.4,0,0,0,3,2,1,15,2,3,0,0,0,14,2,2,50.0
151,Marko Dmitrović,SRB,GK,Sevilla,29,1992,6.0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,100.0
152,Jaume Doménech,ESP,GK,Valencia,30,1990,3.8,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
153,Carlos Dominguez,ESP,DF,Celta Vigo,20,2001,3.8,1,0,0,3,4,0,0,4,1,0,1,0,21,10,6,62.5
154,Mario Dominguez,ESP,FW,Valencia,17,2004,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
155,John Donald,ESP,DF,Elche,20,2000,2.0,0,0,0,2,0,0,0,3,4,0,0,0,12,2,4,33.3
156,Domingos Duarte,POR,DF,Granada,26,1995,18.7,7,1,0,24,15,0,1,22,14,0,3,0,93,39,23,62.9
